id,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4102155@線性代數@1@2,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1,4100007@商用軟體應用與設計@1@1,4101155@線性代數@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4103039@電腦網路概論@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4103001@作業系統概論@1@1,4103001@作業系統概論@1@2,4103020@程式語言導論@1@1,4103022@軟體工程@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4103080@作業系統設計與實作@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104005@編譯器設計@2@2,4104011@影像處理概論@2@1,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5,4103066@人工智慧導論@1@1,4103069@易數邏輯@1@1,4104801@專題實驗（二）@1@1,4104801@專題實驗（二）@1@2,4104801@專題實驗（二）@1@3,4104801@專題實驗（二）@1@4,4104801@專題實驗（二）@1@5,4102161@電腦軟體設計@2@1,4104052@嵌入式系統軟體設計與實作@2@1,4104801@專題實驗（二）@2@1,4103061@數值分析@2@1,4102170@統計學@2@1
400410002,68,NaN,60,NaN,NaN,NaN,60,18,NaN,NaN,NaN,NaN,73,NaN,64,NaN,64,NaN,NaN,79,NaN,70,NaN,74,60,84,NaN,60,NaN,60,60,68,NaN,71,60,NaN,67,NaN,65,61,66,72,NaN,63,73,NaN,60,70,45,75,NaN,NaN,NaN,66,61,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN
400410003,92,84,NaN,84,NaN,NaN,NaN,NaN,90,NaN,80,71,NaN,NaN,86,NaN,NaN,NaN,86,NaN,NaN,71,NaN,NaN,62,NaN,97,70,61,NaN,60,70,NaN,67,NaN,91,70,NaN,69,71,NaN,76,NaN,60,79,NaN,NaN,69,NaN,81,62,NaN,NaN,64,NaN,85,93,80,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410004,73,NaN,60,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,45,NaN,NaN,24,NaN,24,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410005,70,NaN,70,NaN,70,NaN,NaN,51,80,NaN,NaN,65,NaN,NaN,86,NaN,86,NaN,NaN,NaN,NaN,65,NaN,65,84,94,NaN,64,NaN,73,73,62,NaN,76,74,NaN,NaN,82,81,73,NaN,65,NaN,74,82,88,NaN,77,NaN,76,NaN,94,NaN,66,80,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
400410006,74,NaN,83,NaN,NaN,NaN,83,32,NaN,NaN,NaN,NaN,63,NaN,78,NaN,NaN,NaN,78,NaN,90,64,NaN,63,66,80,NaN,60,68,NaN,68,61,NaN,80,74,NaN,NaN,71,67,61,NaN,82,NaN,66,70,78,71,NaN,61,79,70,83,NaN,60,NaN,75,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,68,NaN,NaN,NaN,NaN
400410007,80,NaN,61,NaN,61,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,29,NaN,29,NaN,NaN,NaN,NaN,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410008,69,NaN,82,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,99,NaN,99,NaN,NaN,90,NaN,74,NaN,67,92,94,NaN,60,74,NaN,60,NaN,62,78,NaN,89,12,60,61,56,24,33,12,60,66,64,64,NaN,61,80,NaN,69,NaN,4,NaN,60,NaN,NaN,NaN,NaN,88,NaN,40,95,NaN,NaN,NaN,NaN,93,32,80,NaN,NaN,NaN
400410009,80,NaN,78,NaN,78,NaN,NaN,NaN,NaN,80,87,91,NaN,NaN,90,NaN,NaN,NaN,90,NaN,NaN,82,NaN,NaN,100,96,NaN,88,86,NaN,99,94,NaN,84,91,NaN,100,NaN,94,89,95,95,NaN,84,98,93,NaN,91,NaN,87,NaN,NaN,NaN,92,NaN,95,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
400410010,73,98,NaN,98,NaN,NaN,NaN,51,NaN,NaN,NaN,NaN,67,99,NaN,99,NaN,NaN,NaN,90,NaN,60,NaN,NaN,60,NaN,85,64,71,NaN,71,60,NaN,76,NaN,86,NaN,83,71,61,NaN,NaN,73,53,66,NaN,67,NaN,60,79,60,NaN,NaN,65,67,NaN,NaN,NaN,NaN,NaN,85,NaN,49,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
400410011,90,80,NaN,80,NaN,NaN,NaN,NaN,NaN,70,93,88,NaN,78,NaN,78,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,100,84,NaN,71,NaN,83,83,NaN,91,84,90,NaN,98,NaN,75,82,85,92,NaN,75,94,NaN,NaN,80,NaN,80,79,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410012,80,68,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,55,69,NaN,66,NaN,66,NaN,NaN,NaN,NaN,90,64,NaN,70,60,84,NaN,79,12,69,65,NaN,70,78,NaN,88,41,100,67,64,72,66,NaN,70,60,NaN,NaN,72,34,88,NaN,NaN,NaN,65,NaN,69,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,31,NaN
400410013,82,NaN,82,NaN,NaN,NaN,82,66,NaN,70,NaN,NaN,71,86,NaN,NaN,NaN,86,NaN,NaN,NaN,84,NaN,NaN,70,NaN,97,66,73,NaN,77,NaN,89,70,73,NaN,NaN,90,87,72,NaN,72,60,NaN,74,75,NaN,NaN,71,81,NaN,NaN,NaN,NaN,NaN,82,44,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
400410014,75,NaN,69,NaN,69,NaN,NaN,60,NaN,NaN,NaN,NaN,63,NaN,70,NaN,NaN,NaN,70,NaN,90,73,NaN,NaN,89,NaN,98,70,NaN,80,63,NaN,75,73,NaN,93,91,NaN,80,83,NaN,89,78,NaN,81,82,NaN,85,NaN,82,NaN,NaN,NaN,78,NaN,92,73,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410015,82,70,NaN,70,NaN,NaN,NaN,73,NaN,70,NaN,80,NaN,80,NaN,80,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,89,96,NaN,83,NaN,78,82,73,NaN,82,89,NaN,85,NaN,81,81,NaN,NaN,NaN,77,92,NaN,83,90,NaN,76,97,NaN,NaN,91,NaN,98,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410016,74,NaN,70,NaN,70,NaN,NaN,NaN,NaN,NaN,79,64,NaN,NaN,71,NaN,71,NaN,NaN,NaN,90,68,NaN,NaN,69,95,NaN,60,NaN,72,60,63,NaN,76,NaN,89,73,NaN,71,87,91,NaN,NaN,81,NaN,87,NaN,93,NaN,72,96,NaN,NaN,75,NaN,84,NaN,NaN,NaN,NaN,NaN,93,86,NaN,NaN,NaN,89,NaN,NaN,99,NaN,NaN,NaN,NaN
400410017,82,77,NaN,77,NaN,NaN,NaN,NaN,90,NaN,48,38,76,80,NaN,80,NaN,NaN,NaN,NaN,NaN,70,NaN,74,78,93,NaN,75,NaN,68,70,NaN,63,79,NaN,88,62,NaN,75,73,NaN,NaN,NaN,68,78,NaN,60,62,NaN,64,NaN,NaN,NaN,74,NaN,81,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
