id,4100003@計算機概論@1@2,4100004@計算機導論@1@1,4101033@程式設計實習（一）@1@4,4100008@程式語言@2@1,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102090@工程數學@1@1,4101013@機率論@2@2,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@2,4102085@離散數學@2@1,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102160@物件導向程式設計@2@1,4102062@資料結構@1@1,4103001@作業系統概論@1@2,4103022@軟體工程@1@1,4103055@計算機組織@1@1,4103066@人工智慧導論@1@1,4103800@資訊工程研討@1@1,4101032@程式設計（二）@2@1,4101034@程式設計實習（二）@2@3,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102150@系統程式@2@2,4102160@物件導向程式設計@2@2,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104061@資料庫系統@2@1,4104800@專題實驗（一）@2@1,4103001@作業系統概論@1@1,4104801@專題實驗（二）@1@1,4104800@專題實驗（一）@2@5
402210048,88,NaN,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210001,NaN,81,NaN,91,91,79,NaN,79,90,90,90,95,NaN,NaN,NaN,91,-1,-1,NaN,NaN,82,NaN,80,NaN,86,96,86,86,NaN,93,75,87,NaN,-1,-1,NaN,87,NaN,-1
402210003,NaN,72,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210004,NaN,71,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210005,NaN,70,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210006,NaN,72,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210007,NaN,99,NaN,99,90,99,NaN,99,78,78,76,73,82,85,85,89,78,88,96,77,81,81,87,80,75,83,NaN,NaN,89,NaN,NaN,NaN,70,95,95,90,NaN,86,NaN
402210009,NaN,69,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210010,NaN,66,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210011,NaN,79,NaN,99,NaN,80,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210012,NaN,63,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210013,NaN,80,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
