id,4153211@電腦網路導論@1@1,4153011@機率@2@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@2,4152009@電工實驗（一）@1@1,4152009@電工實驗（一）@1@2,4152011@邏輯設計@1@1,4152018@微分方程@1@1,4152201@資料結構@1@1,4152005@電路學（二）@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@2,4152010@電工實驗（二）@2@1,4152019@電機工程導論@2@1,4153201@訊號與系統@2@2,4152012@邏輯設計實驗@1@2,4152014@FPGA數位設計實驗@1@2,4153002@電磁學（二）@1@1,4153204@微處理機@1@1,4153205@電機機械@1@1,4153013@數位訊號處理實驗@2@1,4153014@IC設計實驗@2@1,4153207@電磁波@2@1,4153213@數位訊號處理導論@2@1,4153244@工程倫理@2@1,4153901@計算機組織@2@2,4154028@超大型積體電路專題（一）@2@1,4152017@數位系統設計@1@1,4153206@超大型積體電路設計導論@1@1,4153208@控制系統@1@1,4153219@電力電子導論@1@1,4153244@工程倫理@1@1,4153015@微處理機實驗@2@1,4153218@自動控制系統設計@2@1,4153228@綠色能源專題（一）@2@1,4152015@工數（三）︰複變@1@1
401410037,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410007,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410017,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410024,NaN,NaN,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410044,62,NaN,60,88,85,NaN,61,63,61,70,60,86,94,77,73,73,90,81,NaN,71,86,83,71,74,NaN,77,83,46,75,75,82,NaN,NaN,72,92,45
401410090,NaN,NaN,NaN,40,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
