id,4151004@計算機概論@1@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@1,4152009@電工實驗（一）@1@1,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152018@微分方程@1@1,4151008@程式設計@2@1,4151010@程式設計實習@2@3,4151011@線性代數@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@1,4152010@電工實驗（二）@2@1,4152019@電機工程導論@2@1,4152801@再生能源導論@2@1,4153011@機率@2@1,4153201@訊號與系統@2@2,4153901@計算機組織@2@1,4152014@FPGA數位設計實驗@1@1,4152201@資料結構@1@2,4153002@電磁學（二）@1@1,4153203@通訊原理@1@1,4153208@控制系統@1@1,4153918@電磁科技導論@1@1,4152005@電路學（二）@2@1,4153017@電磁工程實驗@2@1,4153207@電磁波@2@1,4153213@數位訊號處理導論@2@1,4153218@自動控制系統設計@2@1,4153252@電磁積體電路專題（一）@2@1,4152006@電子學（一）@1@2,4153219@電力電子導論@1@1,4153244@工程倫理@1@1,4153304@電磁積體電路專題（二）@1@1,4151008@程式設計@2@2,4151010@程式設計實習@2@2,4153016@通訊系統實驗@2@1
402220014,91,84,70,88,85,93,70,68,86,81,74,92,93,72,NaN,73,84,85,86,80,98,99,86,99,99,92,94,91,65,97,NaN,90,NaN,98,NaN,NaN,-1
402220043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,-1,-1,NaN
402220005,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402220018,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402220033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402220016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402220019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402220004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402220039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402220042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402220036,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN
