id,4151004@計算機概論@1@1,4151004@計算機概論@1@2,4151888@學系服務學習@1@1,4151888@學系服務學習@1@2,4152011@邏輯設計@1@1,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152012@邏輯設計實驗@1@2,4152014@FPGA數位設計實驗@1@2,4151008@程式設計@2@1,4151008@程式設計@2@2,4151010@程式設計實習@2@1,4151010@程式設計實習@2@2,4151010@程式設計實習@2@3,4151010@程式設計實習@2@4,4151011@線性代數@2@1,4151888@學系服務學習@2@1,4151888@學系服務學習@2@2,4152019@電機工程導論@2@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@1,4152006@電子學（一）@1@2,4152009@電工實驗（一）@1@1,4152009@電工實驗（一）@1@2,4152014@FPGA數位設計實驗@1@1,4152017@數位系統設計@1@1,4152018@微分方程@1@1,4152201@資料結構@1@1,4152201@資料結構@1@2,4152005@電路學（二）@2@1,4152007@電子學（二）@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@1,4152008@電磁學（一）@2@2,4152010@電工實驗（二）@2@1,4152010@電工實驗（二）@2@2,4152801@再生能源導論@2@1,4153011@機率@2@1,4153201@訊號與系統@2@1,4153201@訊號與系統@2@2,4153244@工程倫理@2@1,4153901@計算機組織@2@1,4153901@計算機組織@2@2,4153002@電磁學（二）@1@1,4153203@通訊原理@1@1,4153204@微處理機@1@1,4153205@電機機械@1@1,4153206@超大型積體電路設計導論@1@1,4153208@控制系統@1@1,4153211@電腦網路導論@1@1,4153214@數據通訊@1@1,4153219@電力電子導論@1@1,4153244@工程倫理@1@1,4153250@類比積體電路設計導論@1@1,4153255@演算法導論@1@1,4153913@離散數學@1@1,4153916@多媒體系統導論@1@1,4153918@電磁科技導論@1@1,4153919@影像處理導論@1@1,4152201@資料結構@2@1,4153013@數位訊號處理實驗@2@1,4153014@IC設計實驗@2@1,4153015@微處理機實驗@2@1,4153016@通訊系統實驗@2@1,4153018@電腦網路實驗@2@1,4153207@電磁波@2@1,4153209@計算機結構@2@1,4153213@數位訊號處理導論@2@1,4153218@自動控制系統設計@2@1,4153228@綠色能源專題（一）@2@1,4153234@智慧型系統專題製作（一）@2@1,4153251@通訊系統專題（一）@2@1,4153301@作業系統導論@2@1,4153306@數位訊號處理專題（一）@2@1,4153307@網路技術與應用專題（一）@2@1,4153308@能源與電力系統專題（一）@2@1,4153906@數位通訊導論@2@1,4154022@電力系統@2@1,4154028@超大型積體電路專題（一）@2@1,4154102@電力與能源設備檢驗實務@2@1
403415001,73,NaN,NaN,88,NaN,70,NaN,86,NaN,67,NaN,83,NaN,NaN,NaN,57,NaN,NaN,88,80,NaN,72,75,NaN,79,62,30,NaN,74,69,64,NaN,71,NaN,NaN,81,73,60,48,-1,-1,NaN,60,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403415003,82,NaN,NaN,88,NaN,64,NaN,83,75,73,NaN,89,NaN,NaN,NaN,67,NaN,NaN,87,60,72,NaN,NaN,82,NaN,68,66,NaN,60,85,68,NaN,NaN,84,80,NaN,-1,55,65,NaN,NaN,57,-1,NaN,NaN,NaN,NaN,73,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
403415005,60,NaN,NaN,88,52,70,71,NaN,NaN,69,NaN,58,NaN,70,NaN,63,NaN,NaN,78,27,60,NaN,62,NaN,70,60,68,NaN,NaN,62,75,NaN,NaN,100,73,NaN,-1,NaN,71,NaN,-1,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,64,75,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403415007,82,NaN,NaN,86,75,NaN,75,NaN,NaN,NaN,71,NaN,84,NaN,NaN,86,NaN,NaN,92,76,NaN,88,NaN,89,92,83,75,NaN,89,NaN,85,NaN,97,NaN,82,NaN,87,75,86,NaN,-1,NaN,89,NaN,99,90,NaN,NaN,NaN,97,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
403415009,80,NaN,88,NaN,30,NaN,NaN,77,76,-1,49,NaN,NaN,NaN,72,60,NaN,NaN,-1,27,NaN,NaN,74,NaN,NaN,NaN,38,NaN,10,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403415011,70,NaN,88,NaN,84,NaN,NaN,74,86,76,NaN,73,NaN,NaN,NaN,75,NaN,NaN,82,60,73,NaN,78,NaN,NaN,60,71,76,NaN,83,NaN,80,NaN,94,NaN,81,68,63,60,NaN,NaN,60,NaN,NaN,64,84,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,65,NaN,NaN,NaN,88,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
403415013,80,NaN,88,NaN,64,NaN,NaN,69,NaN,65,NaN,NaN,NaN,66,NaN,26,NaN,NaN,76,45,18,61,78,NaN,72,60,77,20,NaN,70,60,NaN,75,NaN,NaN,77,80,55,44,-1,NaN,-1,NaN,NaN,NaN,NaN,69,NaN,NaN,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
403415015,80,NaN,88,NaN,NaN,87,85,NaN,93,85,NaN,84,NaN,NaN,NaN,84,NaN,NaN,89,66,90,NaN,NaN,92,NaN,78,77,NaN,73,99,NaN,80,NaN,100,82,NaN,86,68,71,NaN,NaN,NaN,88,NaN,90,88,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,90,NaN,93,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
403415017,85,NaN,NaN,88,76,NaN,73,NaN,NaN,74,NaN,NaN,NaN,89,NaN,69,NaN,NaN,76,99,99,NaN,74,NaN,90,76,82,NaN,79,98,NaN,92,94,NaN,92,NaN,NaN,79,NaN,95,NaN,NaN,-1,NaN,95,NaN,NaN,88,NaN,95,NaN,97,NaN,90,94,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403415019,60,NaN,87,NaN,NaN,NaN,60,NaN,64,60,NaN,NaN,NaN,67,NaN,64,NaN,NaN,68,38,66,NaN,75,NaN,NaN,NaN,60,NaN,56,62,60,NaN,87,NaN,79,NaN,NaN,44,NaN,60,NaN,NaN,67,NaN,41,NaN,NaN,NaN,NaN,63,73,NaN,NaN,NaN,57,NaN,70,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
