id,4151004@計算機概論@1@1,4151004@計算機概論@1@2,4151888@學系服務學習@1@1,4151888@學系服務學習@1@2,4152011@邏輯設計@1@1,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152012@邏輯設計實驗@1@2,4151008@程式設計@2@1,4151008@程式設計@2@2,4151010@程式設計實習@2@1,4151010@程式設計實習@2@2,4151010@程式設計實習@2@3,4151010@程式設計實習@2@4,4151011@線性代數@2@1,4151888@學系服務學習@2@1,4151888@學系服務學習@2@2,4152019@電機工程導論@2@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@1,4152006@電子學（一）@1@2,4152009@電工實驗（一）@1@1,4152009@電工實驗（一）@1@2,4152014@FPGA數位設計實驗@1@1,4152014@FPGA數位設計實驗@1@2,4152017@數位系統設計@1@1,4152018@微分方程@1@1,4152201@資料結構@1@1,4152201@資料結構@1@2,4153909@半導體物理導論@1@1,4152005@電路學（二）@2@1,4152007@電子學（二）@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@1,4152008@電磁學（一）@2@2,4152010@電工實驗（二）@2@1,4152010@電工實驗（二）@2@2,4152801@再生能源導論@2@1,4153011@機率@2@1,4153201@訊號與系統@2@1,4153201@訊號與系統@2@2,4153901@計算機組織@2@1,4152015@工數（三）︰複變@1@1,4153002@電磁學（二）@1@1,4153203@通訊原理@1@1,4153204@微處理機@1@1,4153205@電機機械@1@1,4153206@超大型積體電路設計導論@1@1,4153208@控制系統@1@1,4153211@電腦網路導論@1@1,4153214@數據通訊@1@1,4153219@電力電子導論@1@1,4153244@工程倫理@1@1,4153255@演算法導論@1@1,4153913@離散數學@1@1,4153916@多媒體系統導論@1@1,4153918@電磁科技導論@1@1,4152201@資料結構@2@1,4153013@數位訊號處理實驗@2@1,4153014@IC設計實驗@2@1,4153015@微處理機實驗@2@1,4153016@通訊系統實驗@2@1,4153017@電磁工程實驗@2@1,4153018@電腦網路實驗@2@1,4153207@電磁波@2@1,4153209@計算機結構@2@1,4153213@數位訊號處理導論@2@1,4153218@自動控制系統設計@2@1,4153228@綠色能源專題（一）@2@1,4153234@智慧型系統專題製作（一）@2@1,4153244@工程倫理@2@1,4153251@通訊系統專題（一）@2@1,4153252@電磁積體電路專題（一）@2@1,4153301@作業系統導論@2@1,4153306@數位訊號處理專題（一）@2@1,4153307@網路技術與應用專題（一）@2@1,4153308@能源與電力系統專題（一）@2@1,4153901@計算機組織@2@2,4153906@數位通訊導論@2@1,4153914@機器視覺@2@1,4154022@電力系統@2@1,4154028@超大型積體電路專題（一）@2@1,4154102@電力與能源設備檢驗實務@2@1,4153304@電磁積體電路專題（二）@1@1,4153919@影像處理導論@1@1,4154035@數位訊號處理專題（二）@1@1,4154036@超大型積體電路專題（二）@1@1,4154038@網路技術與應用專題（二）@1@1,4154039@通訊系統專題（二）@1@1,4154040@綠色能源專題（二）@1@1,4154041@能源與電力系統專題(二)@1@1,4153250@類比積體電路設計導論@1@1
401415002,60,NaN,NaN,NaN,NaN,60,82,NaN,41,NaN,NaN,60,NaN,NaN,75,NaN,85,81,70,67,NaN,83,NaN,82,NaN,65,81,60,NaN,NaN,85,88,NaN,94,NaN,78,NaN,78,72,NaN,79,NaN,95,NaN,90,NaN,NaN,NaN,64,81,NaN,85,82,NaN,61,83,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN
401415004,82,NaN,NaN,NaN,63,NaN,NaN,91,72,NaN,NaN,95,NaN,NaN,77,90,NaN,83,60,69,NaN,NaN,90,NaN,98,74,68,NaN,92,NaN,81,NaN,NaN,83,NaN,NaN,80,72,79,NaN,NaN,60,80,NaN,70,82,NaN,NaN,NaN,86,NaN,NaN,NaN,74,72,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,68,NaN,77,NaN,NaN,NaN,92,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415006,60,NaN,NaN,NaN,NaN,63,NaN,85,47,NaN,65,NaN,NaN,NaN,73,NaN,80,78,60,NaN,80,NaN,82,NaN,74,73,71,45,63,NaN,74,68,NaN,89,NaN,NaN,83,64,63,NaN,75,NaN,NaN,NaN,72,NaN,NaN,NaN,74,68,NaN,73,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN
401415007,74,NaN,85,NaN,86,NaN,87,NaN,NaN,86,NaN,NaN,NaN,93,90,NaN,NaN,87,96,99,NaN,NaN,94,90,NaN,96,92,80,NaN,NaN,100,NaN,91,NaN,100,94,NaN,NaN,95,NaN,99,100,100,98,99,NaN,NaN,94,93,97,NaN,100,NaN,NaN,NaN,98,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,96,100,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
401415012,60,NaN,86,NaN,76,NaN,NaN,89,72,NaN,65,NaN,NaN,NaN,68,NaN,50,79,60,60,NaN,91,NaN,84,NaN,64,75,66,47,NaN,78,70,NaN,88,NaN,87,NaN,62,73,NaN,66,84,NaN,NaN,81,NaN,NaN,NaN,78,65,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,79,78,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415013,68,NaN,85,NaN,57,85,NaN,92,NaN,83,NaN,NaN,NaN,90,90,NaN,NaN,74,93,71,NaN,86,NaN,NaN,NaN,NaN,75,64,NaN,NaN,95,NaN,60,83,NaN,NaN,83,62,70,NaN,85,71,84,NaN,73,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,83,70,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,65,80,NaN,NaN,NaN,NaN,86,NaN,72,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415019,60,NaN,85,NaN,NaN,63,NaN,89,-1,58,-1,NaN,31,NaN,60,NaN,NaN,77,64,60,NaN,85,NaN,NaN,87,NaN,60,NaN,60,NaN,60,60,NaN,88,NaN,NaN,78,60,52,61,NaN,NaN,NaN,63,38,NaN,60,NaN,45,63,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,90,NaN,72,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN
401415021,61,NaN,85,NaN,20,62,84,NaN,33,63,60,NaN,NaN,NaN,66,NaN,NaN,63,60,63,NaN,91,NaN,75,NaN,60,63,68,NaN,NaN,60,NaN,65,62,NaN,75,NaN,64,51,64,NaN,64,NaN,NaN,63,NaN,15,80,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,80,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,66,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN
401415022,43,68,NaN,NaN,19,80,82,NaN,NaN,61,NaN,NaN,NaN,71,73,90,NaN,73,76,NaN,75,92,NaN,NaN,NaN,NaN,63,NaN,60,NaN,84,NaN,81,90,NaN,NaN,80,84,66,69,42,NaN,65,NaN,NaN,NaN,75,NaN,76,NaN,NaN,82,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,70,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN
401415024,60,NaN,NaN,NaN,69,NaN,84,NaN,60,NaN,NaN,60,NaN,NaN,66,90,NaN,86,63,66,NaN,88,NaN,NaN,92,77,66,60,NaN,NaN,85,66,NaN,NaN,86,82,NaN,NaN,70,NaN,84,74,87,NaN,89,NaN,NaN,84,NaN,84,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,95,NaN,NaN,89,NaN,NaN,NaN,95,92,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN
