id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4203006@專題研究D（一）@1@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202054@實驗方法與量測理論@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203067@專題研究C（二）@2@1,4203068@專題研究D（二）@2@1,4203602@流體力學（一）@2@1,4203753@訊號與影像處理導論@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203104@機械設計@1@1,4203302@電腦輔助工程分析與創新設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204015@工具機概論@1@1,4204110@觸感式手術模擬與醫學應用@1@1,4204251@數值方法@1@1,4204301@應用光學與實務@1@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203066@專題研究B（二）@2@1,4203105@機械設計實習@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203952@工程光學@2@1,4204052@精密機械生產技術實習@2@1,4204159@創意工程設計@2@1,4204353@電腦輔助工程分析與實務運用@2@1,4204012@自動控制實驗@1@1,4204012@自動控制實驗@1@2,4204014@機械工程與綠色科技@1@1,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204703@嵌入式控制器設計@1@1,4204054@專利侵害鑑定理論與實務@2@1,4203104@機械設計@1@2
400420001,27,72,NaN,74,NaN,86,NaN,27,60,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400420002,62,NaN,88,NaN,73,NaN,NaN,62,NaN,88,NaN,79,NaN,88,69,87,70,81,80,70,NaN,81,NaN,NaN,84,76,70,NaN,68,NaN,NaN,60,NaN,87,NaN,NaN,81,85,NaN,71,NaN,95,75,82,NaN,NaN,70,NaN,NaN,NaN,65,NaN,NaN,81,98,NaN,NaN,NaN,97,NaN,83,86,NaN,NaN,NaN,NaN,NaN
400420003,60,75,NaN,81,NaN,NaN,60,60,74,NaN,NaN,77,NaN,NaN,69,84,68,76,63,71,NaN,65,NaN,74,71,62,NaN,85,NaN,NaN,NaN,82,NaN,83,NaN,NaN,71,90,NaN,63,NaN,73,76,82,NaN,NaN,NaN,72,89,NaN,NaN,NaN,77,62,NaN,NaN,NaN,NaN,95,NaN,66,86,NaN,NaN,87,NaN,NaN
400420005,61,73,NaN,71,NaN,84,NaN,60,71,NaN,NaN,60,NaN,NaN,60,NaN,68,77,71,72,NaN,62,NaN,NaN,68,71,NaN,NaN,61,NaN,NaN,69,NaN,NaN,86,NaN,80,84,NaN,75,NaN,60,77,72,NaN,NaN,NaN,66,NaN,NaN,72,NaN,NaN,NaN,65,72,NaN,NaN,98,60,NaN,90,NaN,NaN,72,73,NaN
400420006,77,NaN,89,NaN,75,NaN,NaN,64,NaN,93,NaN,79,NaN,88,61,84,81,86,85,78,NaN,78,NaN,92,77,88,78,NaN,75,NaN,NaN,79,NaN,NaN,89,NaN,89,NaN,NaN,84,NaN,96,75,NaN,NaN,NaN,74,NaN,87,NaN,72,NaN,NaN,81,98,NaN,NaN,NaN,94,NaN,83,86,NaN,NaN,NaN,NaN,NaN
400420008,75,NaN,82,NaN,79,NaN,NaN,62,NaN,88,NaN,73,85,NaN,60,80,69,78,75,71,NaN,66,NaN,87,77,77,NaN,NaN,65,NaN,NaN,73,NaN,86,NaN,NaN,80,94,NaN,NaN,NaN,87,76,84,NaN,NaN,70,NaN,90,NaN,NaN,NaN,NaN,69,96,NaN,NaN,NaN,94,72,NaN,86,NaN,NaN,86,NaN,NaN
400420010,69,NaN,77,NaN,76,NaN,NaN,65,NaN,75,NaN,68,70,NaN,72,60,67,70,60,67,NaN,73,NaN,NaN,68,65,NaN,77,NaN,NaN,NaN,60,NaN,84,NaN,NaN,70,NaN,NaN,NaN,68,NaN,71,84,NaN,NaN,75,NaN,NaN,78,NaN,NaN,NaN,39,NaN,NaN,67,80,78,61,NaN,83,65,NaN,67,74,NaN
400420011,72,NaN,80,NaN,74,89,NaN,64,NaN,80,NaN,79,NaN,NaN,62,80,70,87,87,66,NaN,74,NaN,81,80,68,70,NaN,71,NaN,NaN,62,NaN,NaN,83,NaN,80,NaN,NaN,NaN,82,NaN,73,77,NaN,81,64,NaN,NaN,NaN,NaN,NaN,NaN,80,81,NaN,72,NaN,96,NaN,75,76,NaN,NaN,NaN,NaN,NaN
400420012,55,NaN,72,NaN,75,NaN,NaN,60,NaN,71,NaN,61,NaN,88,60,NaN,60,NaN,NaN,50,NaN,60,82,NaN,44,NaN,NaN,NaN,66,NaN,NaN,54,NaN,NaN,76,NaN,79,NaN,NaN,12,NaN,4,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,65,25,NaN,NaN,NaN
400420013,40,78,NaN,40,NaN,89,NaN,60,60,NaN,NaN,82,NaN,NaN,NaN,71,NaN,66,64,60,NaN,68,NaN,NaN,67,NaN,40,NaN,65,NaN,NaN,66,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
