id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4201151@工程圖學（二）@2@3,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202054@實驗方法與量測理論@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203066@專題研究B（二）@2@1,4203602@流體力學（一）@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203004@專題研究B（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203302@電腦輔助工程分析與創新設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204110@觸感式手術模擬與醫學應用@1@1,4204251@數值方法@1@1,4204703@嵌入式控制器設計@1@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203068@專題研究D（二）@2@1,4203105@機械設計實習@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203952@工程光學@2@1,4204054@專利侵害鑑定理論與實務@2@1,4204159@創意工程設計@2@1,4204353@電腦輔助工程分析與實務運用@2@1,4203005@專題研究C（一）@1@1,4203104@機械設計@1@2,4204012@自動控制實驗@1@1,4204012@自動控制實驗@1@2,4204014@機械工程與綠色科技@1@1,4204015@工具機概論@1@1,4204109@機電整合與應用@1@1,4204301@應用光學與實務@1@1,4203067@專題研究C（二）@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4204353@電腦輔助工程分析與實務運用@1@1
401420001,67,78,NaN,67,NaN,92,NaN,67,63,NaN,NaN,66,NaN,NaN,65,NaN,70,74,63,60,NaN,61,78,NaN,83,72,60,95,44,NaN,73,NaN,86,NaN,NaN,NaN,83,91,NaN,NaN,NaN,62,NaN,84,87,NaN,70,NaN,76,NaN,NaN,NaN,NaN,NaN,78,80,84,NaN,NaN,NaN,NaN,72,91,NaN,74,87,NaN,NaN,NaN,NaN
401420002,60,NaN,87,72,NaN,NaN,NaN,60,NaN,86,NaN,75,NaN,87,60,NaN,61,60,71,63,NaN,60,NaN,64,71,60,52,NaN,65,NaN,72,NaN,83,NaN,64,NaN,85,NaN,NaN,NaN,NaN,63,NaN,84,NaN,NaN,NaN,NaN,74,93,81,NaN,NaN,81,NaN,84,78,NaN,NaN,NaN,NaN,72,89,70,70,NaN,NaN,NaN,45,NaN
401420003,62,82,NaN,78,NaN,81,NaN,60,69,NaN,70,NaN,NaN,NaN,60,77,60,75,76,70,NaN,68,NaN,78,68,82,77,NaN,75,NaN,76,83,NaN,NaN,NaN,NaN,87,90,NaN,77,75,NaN,NaN,NaN,NaN,73,NaN,76,NaN,NaN,72,78,NaN,85,NaN,NaN,NaN,93,NaN,NaN,NaN,84,92,NaN,80,NaN,NaN,73,73,NaN
401420004,60,NaN,82,78,NaN,NaN,NaN,60,NaN,78,NaN,58,NaN,79,60,76,71,69,68,60,78,-1,NaN,43,61,60,NaN,NaN,65,NaN,-1,NaN,80,NaN,NaN,NaN,78,NaN,NaN,72,66,NaN,81,70,NaN,NaN,95,NaN,71,NaN,NaN,73,NaN,60,NaN,78,NaN,NaN,NaN,NaN,70,NaN,90,NaN,53,94,NaN,NaN,NaN,NaN
401420005,79,86,NaN,82,NaN,93,NaN,73,NaN,93,74,NaN,NaN,NaN,88,96,95,92,85,82,NaN,86,NaN,NaN,79,96,NaN,NaN,95,90,84,NaN,90,NaN,NaN,NaN,88,93,NaN,87,80,NaN,95,NaN,NaN,79,NaN,83,NaN,NaN,93,NaN,84,NaN,NaN,78,90,93,NaN,NaN,89,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
401420006,87,NaN,82,73,NaN,NaN,NaN,60,NaN,97,76,NaN,91,NaN,65,88,63,61,75,60,NaN,66,NaN,NaN,73,62,62,NaN,71,84,82,89,NaN,NaN,85,NaN,87,NaN,NaN,83,NaN,72,NaN,84,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,79,75,76,NaN,93,NaN,NaN,NaN,NaN,76,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420007,79,89,NaN,NaN,81,NaN,92,74,80,NaN,85,NaN,NaN,NaN,70,NaN,88,92,88,85,NaN,73,NaN,92,82,95,81,NaN,89,NaN,75,89,NaN,NaN,NaN,NaN,88,NaN,90,92,NaN,93,87,86,NaN,NaN,NaN,83,NaN,NaN,88,88,84,100,92,NaN,NaN,NaN,NaN,NaN,83,NaN,94,NaN,NaN,84,NaN,89,95,NaN
401420008,87,NaN,90,67,NaN,NaN,NaN,91,NaN,60,71,NaN,NaN,78,78,NaN,74,93,80,90,NaN,82,NaN,NaN,90,95,88,88,NaN,NaN,86,84,NaN,NaN,NaN,66,90,90,95,96,NaN,91,NaN,84,NaN,NaN,67,NaN,77,NaN,NaN,94,98,87,NaN,NaN,NaN,85,NaN,NaN,NaN,76,93,78,NaN,75,NaN,NaN,NaN,NaN
401420009,75,78,NaN,77,NaN,81,NaN,60,60,NaN,71,NaN,NaN,NaN,60,NaN,73,77,75,75,NaN,62,NaN,49,62,NaN,70,NaN,71,NaN,64,83,NaN,79,NaN,NaN,82,NaN,83,71,68,NaN,NaN,NaN,NaN,87,95,75,NaN,NaN,NaN,83,68,73,71,NaN,90,NaN,NaN,NaN,75,NaN,90,70,NaN,68,NaN,NaN,NaN,NaN
401420010,68,NaN,85,74,NaN,NaN,88,67,NaN,60,NaN,77,NaN,53,80,NaN,66,61,68,74,NaN,60,NaN,61,62,NaN,NaN,60,NaN,NaN,70,85,NaN,NaN,NaN,NaN,84,NaN,NaN,81,NaN,69,NaN,NaN,NaN,NaN,86,NaN,81,NaN,NaN,77,64,75,NaN,86,86,NaN,NaN,NaN,NaN,69,91,81,60,NaN,NaN,69,NaN,NaN
401420011,66,93,NaN,77,NaN,88,NaN,86,82,NaN,NaN,76,NaN,NaN,84,91,71,99,75,78,NaN,95,NaN,91,76,93,75,NaN,84,NaN,84,NaN,91,NaN,NaN,NaN,83,NaN,92,NaN,NaN,80,NaN,NaN,NaN,88,NaN,81,NaN,90,84,86,84,99,NaN,NaN,NaN,93,NaN,NaN,86,NaN,91,NaN,87,NaN,NaN,NaN,99,NaN
401420012,68,NaN,93,74,NaN,NaN,NaN,71,70,NaN,71,NaN,87,NaN,70,79,68,82,80,70,NaN,72,NaN,NaN,75,84,61,NaN,85,NaN,61,NaN,87,NaN,NaN,NaN,89,NaN,NaN,76,65,NaN,85,70,NaN,NaN,99,78,NaN,NaN,87,NaN,88,93,NaN,NaN,81,NaN,NaN,NaN,79,NaN,92,NaN,NaN,81,NaN,NaN,NaN,NaN
401420013,78,NaN,94,80,NaN,89,NaN,80,NaN,95,88,NaN,NaN,NaN,64,97,80,86,70,71,NaN,61,NaN,NaN,75,92,63,NaN,76,91,76,89,NaN,NaN,86,NaN,86,90,NaN,92,NaN,82,NaN,NaN,NaN,NaN,97,NaN,72,NaN,86,84,68,80,NaN,NaN,NaN,85,NaN,NaN,NaN,74,91,NaN,68,NaN,NaN,79,NaN,NaN
401420014,65,NaN,98,72,NaN,NaN,NaN,66,NaN,75,NaN,83,NaN,79,60,66,68,87,62,68,NaN,69,NaN,92,60,75,NaN,NaN,66,NaN,66,82,NaN,NaN,NaN,NaN,83,NaN,NaN,81,NaN,70,75,NaN,NaN,NaN,97,NaN,77,NaN,80,NaN,80,87,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,94,NaN,NaN,85,NaN,87,NaN,NaN
401420015,97,90,NaN,NaN,77,NaN,95,85,70,NaN,84,NaN,NaN,NaN,94,97,99,99,97,90,NaN,99,97,76,88,99,82,96,NaN,94,98,NaN,91,NaN,NaN,NaN,92,93,88,89,89,NaN,98,NaN,NaN,99,NaN,78,NaN,NaN,NaN,90,92,100,90,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,86,NaN,NaN,85,84,NaN
401420016,34,NaN,87,NaN,71,NaN,NaN,33,68,NaN,NaN,57,NaN,75,NaN,NaN,3,0,NaN,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420017,62,90,NaN,78,NaN,96,NaN,64,NaN,85,79,NaN,NaN,NaN,64,96,69,64,63,65,NaN,61,NaN,NaN,67,71,68,NaN,70,90,65,83,NaN,NaN,NaN,NaN,85,NaN,NaN,67,79,50,NaN,NaN,NaN,NaN,70,NaN,74,NaN,93,70,60,79,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,91,NaN,NaN,NaN,NaN,72,NaN,NaN
401420018,72,81,NaN,63,NaN,NaN,NaN,62,60,NaN,NaN,65,72,NaN,60,NaN,68,74,68,70,NaN,60,NaN,NaN,60,72,NaN,70,NaN,NaN,81,79,NaN,NaN,NaN,NaN,80,NaN,NaN,71,73,NaN,NaN,70,NaN,NaN,71,NaN,66,NaN,84,NaN,79,78,NaN,80,82,NaN,NaN,NaN,71,NaN,89,NaN,NaN,79,NaN,72,NaN,NaN
401420019,69,81,NaN,74,NaN,92,NaN,67,70,NaN,71,NaN,NaN,NaN,74,70,69,75,77,66,NaN,74,NaN,98,67,72,NaN,79,NaN,NaN,61,84,NaN,NaN,NaN,NaN,87,NaN,99,93,NaN,70,76,NaN,75,NaN,71,77,NaN,NaN,80,NaN,87,87,NaN,NaN,80,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420021,66,89,NaN,NaN,71,NaN,95,66,70,NaN,71,NaN,NaN,NaN,73,NaN,78,73,60,68,NaN,69,NaN,43,72,78,70,85,NaN,NaN,67,NaN,88,NaN,NaN,NaN,86,NaN,NaN,68,71,NaN,NaN,74,NaN,60,NaN,77,NaN,90,NaN,72,62,90,NaN,82,89,NaN,NaN,NaN,77,NaN,88,NaN,NaN,NaN,NaN,NaN,15,NaN
401420022,61,NaN,81,74,NaN,NaN,NaN,66,NaN,77,NaN,82,71,NaN,66,NaN,65,91,83,87,NaN,73,NaN,71,81,NaN,72,NaN,81,NaN,68,NaN,84,NaN,NaN,NaN,82,NaN,99,67,71,NaN,NaN,NaN,NaN,NaN,67,74,NaN,NaN,83,75,75,83,NaN,79,73,NaN,NaN,NaN,NaN,74,89,68,NaN,NaN,NaN,NaN,NaN,NaN
401420023,79,85,NaN,74,NaN,92,NaN,60,68,NaN,74,NaN,NaN,NaN,60,87,65,67,60,63,NaN,60,NaN,77,60,65,60,NaN,65,NaN,82,86,NaN,NaN,NaN,NaN,82,88,NaN,80,NaN,77,88,87,NaN,NaN,70,NaN,76,NaN,NaN,79,64,90,NaN,86,NaN,87,NaN,NaN,NaN,68,91,NaN,75,NaN,NaN,NaN,NaN,NaN
401420024,63,NaN,78,71,NaN,NaN,NaN,67,NaN,66,NaN,49,67,NaN,66,60,74,60,70,74,78,60,NaN,NaN,73,60,52,87,47,NaN,73,NaN,83,NaN,NaN,NaN,80,87,NaN,73,NaN,69,NaN,NaN,NaN,NaN,97,NaN,76,NaN,76,70,NaN,73,NaN,85,NaN,NaN,NaN,NaN,64,NaN,90,77,64,NaN,NaN,NaN,NaN,NaN
401420025,68,94,NaN,NaN,70,NaN,92,70,80,NaN,75,NaN,NaN,NaN,60,80,71,73,86,73,NaN,61,NaN,NaN,80,81,60,67,NaN,87,63,86,NaN,NaN,NaN,NaN,86,NaN,89,80,NaN,71,83,NaN,NaN,NaN,NaN,77,NaN,NaN,73,71,78,88,77,79,80,NaN,NaN,NaN,NaN,76,94,NaN,NaN,NaN,NaN,NaN,77,NaN
401420026,88,77,NaN,67,NaN,NaN,NaN,60,60,NaN,61,NaN,68,NaN,60,81,66,67,71,62,NaN,61,NaN,NaN,63,76,60,61,NaN,30,68,NaN,86,NaN,NaN,NaN,73,88,NaN,72,63,NaN,NaN,NaN,NaN,NaN,93,NaN,76,NaN,82,NaN,NaN,77,NaN,79,90,83,NaN,NaN,64,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
