id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4202002@物件導向程式設計@1@1,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202001@工程數學（一）@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203065@專題研究A(二)@2@1,4203602@流體力學（一）@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203004@專題研究B（一）@1@1,4203005@專題研究C（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204353@電腦輔助工程分析與實務運用@1@1,4204703@嵌入式控制器設計@1@1,4202054@實驗方法與量測理論@2@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203067@專題研究C（二）@2@1,4203068@專題研究D（二）@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203755@機電專題實作(一)@2@1,4203755@機電專題實作(一)@2@2,4203952@工程光學@2@1,4204159@創意工程設計@2@1
403420001,68,67,NaN,75,NaN,NaN,83,NaN,70,89,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,31,NaN,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403420002,63,NaN,71,NaN,75,100,NaN,82,70,92,NaN,NaN,79,NaN,0,NaN,60,71,69,72,60,61,NaN,66,70,-1,74,NaN,NaN,66,82,NaN,NaN,NaN,NaN,NaN,72,84,69,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
403420003,66,60,NaN,75,NaN,85,NaN,76,70,NaN,83,NaN,NaN,64,NaN,NaN,60,62,63,57,63,-1,NaN,-1,60,NaN,60,NaN,NaN,-1,NaN,85,NaN,NaN,NaN,NaN,61,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403420004,74,NaN,85,NaN,83,NaN,NaN,96,60,NaN,92,NaN,90,NaN,NaN,80,64,68,62,60,75,-1,NaN,76,-1,66,85,NaN,-1,-1,NaN,90,NaN,NaN,84,NaN,60,NaN,80,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN
403420005,83,70,NaN,78,NaN,90,NaN,99,86,97,NaN,NaN,NaN,95,NaN,NaN,89,100,99,89,99,94,NaN,100,99,NaN,100,NaN,NaN,98,NaN,92,NaN,NaN,NaN,93,90,NaN,95,90,NaN,89,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403420006,72,88,NaN,NaN,81,NaN,NaN,82,-1,NaN,90,93,NaN,NaN,82,NaN,56,61,60,60,60,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,76,NaN,NaN,80,NaN,60,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403420007,65,72,NaN,77,NaN,NaN,NaN,90,74,NaN,97,59,NaN,84,NaN,NaN,4,62,79,63,70,60,NaN,66,72,NaN,NaN,72,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,72,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1
403420009,60,79,NaN,77,NaN,87,NaN,75,66,92,NaN,86,NaN,NaN,NaN,NaN,60,64,67,75,60,-1,NaN,63,NaN,-1,60,NaN,NaN,-1,NaN,72,NaN,NaN,NaN,NaN,64,NaN,NaN,65,NaN,88,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420010,63,NaN,60,NaN,74,NaN,NaN,71,83,91,NaN,86,NaN,NaN,NaN,92,66,61,69,65,70,60,NaN,73,NaN,-1,60,NaN,NaN,66,84,NaN,NaN,NaN,NaN,NaN,72,99,NaN,NaN,73,85,NaN,NaN,80,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420012,77,NaN,76,NaN,79,NaN,NaN,79,60,NaN,97,82,NaN,NaN,NaN,99,96,90,99,99,94,100,NaN,89,87,76,NaN,96,NaN,78,NaN,95,NaN,88,NaN,NaN,75,NaN,84,85,NaN,87,NaN,90,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
403420013,70,78,NaN,80,NaN,88,NaN,85,60,92,NaN,NaN,78,NaN,NaN,NaN,77,92,83,92,83,68,NaN,77,77,78,NaN,64,-1,65,NaN,89,88,NaN,NaN,NaN,75,NaN,73,83,NaN,87,NaN,92,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
403420014,82,NaN,87,NaN,84,NaN,NaN,91,60,90,NaN,NaN,NaN,84,80,NaN,67,64,62,70,60,-1,NaN,-1,60,NaN,NaN,72,NaN,-1,NaN,90,NaN,NaN,NaN,NaN,66,NaN,65,68,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
403420015,69,76,NaN,79,NaN,NaN,61,68,60,92,NaN,NaN,80,NaN,NaN,NaN,60,74,80,73,61,60,NaN,77,-1,NaN,NaN,70,NaN,60,84,NaN,NaN,NaN,NaN,NaN,63,NaN,66,NaN,85,84,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403420016,89,NaN,85,NaN,83,NaN,NaN,90,62,88,NaN,NaN,88,NaN,85,NaN,86,94,99,92,87,90,NaN,95,99,90,NaN,96,NaN,80,NaN,98,91,NaN,NaN,NaN,77,NaN,87,NaN,94,86,NaN,95,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403420017,60,73,NaN,73,NaN,83,NaN,90,70,86,NaN,70,NaN,NaN,NaN,NaN,60,65,69,60,68,60,NaN,62,NaN,NaN,NaN,61,NaN,60,88,NaN,NaN,NaN,NaN,NaN,63,64,NaN,71,NaN,90,NaN,NaN,73,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403420018,82,NaN,82,NaN,80,NaN,NaN,92,60,NaN,95,NaN,67,NaN,NaN,80,73,78,95,78,79,-1,NaN,73,95,-1,78,NaN,NaN,74,83,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,87,88,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420019,62,94,NaN,83,NaN,87,NaN,78,67,90,NaN,87,NaN,NaN,NaN,NaN,62,67,69,60,60,-1,NaN,80,-1,NaN,73,NaN,NaN,-1,NaN,82,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,69,87,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
403420020,76,NaN,80,NaN,74,NaN,NaN,98,65,NaN,92,NaN,NaN,76,85,NaN,85,93,91,87,91,74,NaN,83,97,NaN,NaN,98,NaN,78,NaN,92,NaN,NaN,NaN,93,81,NaN,84,NaN,96,88,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403420021,73,83,NaN,83,NaN,85,NaN,95,60,90,NaN,NaN,88,NaN,NaN,NaN,74,64,65,74,65,-1,NaN,62,54,NaN,67,NaN,NaN,-1,NaN,83,NaN,NaN,81,NaN,70,NaN,NaN,NaN,84,86,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
403420022,78,NaN,77,NaN,78,NaN,NaN,87,65,NaN,95,79,NaN,NaN,NaN,99,66,79,70,71,74,60,78,76,77,NaN,NaN,76,NaN,69,NaN,85,NaN,76,NaN,NaN,60,NaN,78,NaN,93,88,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN
403420023,64,86,NaN,76,NaN,NaN,61,88,83,92,NaN,87,NaN,NaN,NaN,NaN,70,73,77,83,72,60,NaN,72,85,-1,NaN,67,NaN,60,NaN,83,NaN,NaN,NaN,NaN,64,NaN,NaN,73,NaN,83,NaN,NaN,68,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN
403420024,88,NaN,90,NaN,76,NaN,NaN,90,68,90,NaN,NaN,NaN,72,NaN,99,72,89,94,90,90,71,93,88,93,NaN,NaN,98,NaN,93,89,NaN,92,NaN,NaN,NaN,68,94,87,NaN,89,88,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403420025,74,83,NaN,80,NaN,88,NaN,NaN,60,97,NaN,NaN,92,NaN,NaN,NaN,74,81,71,79,67,64,85,70,72,NaN,NaN,69,NaN,78,NaN,93,NaN,NaN,79,NaN,73,NaN,66,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403420026,75,NaN,86,NaN,85,NaN,NaN,90,66,NaN,91,90,NaN,NaN,NaN,93,38,61,65,75,65,65,93,64,60,-1,73,NaN,NaN,65,89,NaN,NaN,NaN,88,NaN,68,NaN,72,72,NaN,85,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403420027,60,76,NaN,78,NaN,NaN,83,83,-1,88,NaN,77,NaN,NaN,NaN,NaN,70,68,77,69,82,60,NaN,79,-1,79,85,NaN,NaN,-1,84,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403420028,96,NaN,93,NaN,76,NaN,NaN,NaN,62,NaN,93,NaN,89,NaN,92,NaN,81,86,94,88,88,85,NaN,92,96,88,93,NaN,NaN,91,NaN,88,76,NaN,NaN,NaN,86,99,83,90,NaN,NaN,NaN,NaN,81,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420029,94,88,NaN,76,NaN,NaN,91,NaN,68,NaN,91,67,NaN,NaN,NaN,NaN,81,93,94,92,92,92,NaN,91,94,84,NaN,100,NaN,85,91,NaN,NaN,NaN,91,NaN,90,NaN,NaN,99,NaN,NaN,NaN,90,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420030,60,NaN,73,NaN,68,100,NaN,90,80,88,NaN,NaN,39,80,0,NaN,86,58,62,69,60,-1,NaN,66,-1,NaN,74,NaN,NaN,-1,NaN,75,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420031,90,85,NaN,80,NaN,85,NaN,NaN,65,95,NaN,NaN,73,NaN,NaN,NaN,90,89,99,93,83,100,NaN,92,99,88,NaN,95,NaN,90,NaN,95,NaN,NaN,NaN,NaN,75,NaN,89,99,NaN,NaN,NaN,92,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
