id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4202501@熱力學（一）@1@1,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202553@熱力學（二）@2@1
405420002,81,NaN,72,NaN,88,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
405420003,79,73,NaN,68,NaN,NaN,25,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405420004,61,NaN,60,NaN,60,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
405420005,74,72,NaN,60,NaN,100,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
405420006,81,NaN,67,NaN,69,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
405420007,69,80,NaN,69,NaN,100,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405420008,89,NaN,65,NaN,69,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
405420009,75,73,NaN,78,NaN,100,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405420010,83,NaN,83,NaN,81,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
405420011,81,80,NaN,70,NaN,NaN,8,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
405420012,79,NaN,69,NaN,63,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,-1,NaN
405420013,76,70,NaN,75,NaN,100,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
405420014,94,NaN,83,NaN,89,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
405420015,74,0,NaN,60,NaN,NaN,8,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405420016,63,NaN,69,NaN,60,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
405420017,69,71,NaN,87,NaN,100,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
405420018,66,NaN,81,NaN,72,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
405420019,91,73,NaN,87,NaN,100,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405420020,93,NaN,73,NaN,78,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
405420021,79,67,NaN,74,NaN,NaN,60,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405420022,78,NaN,71,NaN,78,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
405420023,76,72,NaN,81,NaN,100,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405420025,61,75,NaN,68,NaN,100,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
405420026,73,NaN,64,NaN,73,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
405420027,90,79,NaN,79,NaN,100,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405420028,72,NaN,91,NaN,71,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,-1,NaN
405420029,85,80,NaN,82,NaN,100,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405420031,87,63,NaN,90,NaN,100,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405420033,23,68,NaN,40,NaN,NaN,92,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
405420036,83,NaN,78,NaN,67,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,-1,NaN
405420037,27,70,NaN,45,NaN,NaN,62,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
405420038,51,NaN,74,NaN,43,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN
405420039,87,72,NaN,82,NaN,NaN,93,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
