id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202054@實驗方法與量測理論@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4204015@工具機概論@1@1,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201151@工程圖學（二）@2@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203062@熱工與流力實驗@2@1,4203066@專題研究B（二）@2@1,4203068@專題研究D（二）@2@1,4203602@流體力學（一）@2@1,4203952@工程光學@2@1,4204052@精密機械生產技術實習@2@1,4204552@機械工程CFD 分析與軟體應用@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203004@專題研究B（一）@1@1,4203005@專題研究C（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204012@自動控制實驗@1@2,4204016@精密工具機技術@1@1,4204106@光學實驗@1@1,4204109@機電整合與應用@1@1,4204110@觸感式手術模擬與醫學應用@1@1,4204251@數值方法@1@1,4204703@嵌入式控制器設計@1@1,4202054@實驗方法與量測理論@2@1,4203062@熱工與流力實驗@2@2,4203067@專題研究C（二）@2@1,4203105@機械設計實習@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203753@訊號與影像處理導論@2@1,4204053@積層製造（立體列印）@2@1,4204159@創意工程設計@2@1,4203003@專題研究A（一）@1@1,4203302@電腦輔助工程分析與創新設計@1@1,4204012@自動控制實驗@1@1,4204014@機械工程與綠色科技@1@1,4204301@應用光學與實務@1@1,4203754@訊號與影像處理導論@2@1,4204109@機電整合與應用@2@1,4204017@專利寫作理論與實務@1@1,4204054@專利侵害鑑定理論與實務@2@1,4201101@工程圖學（一）@1@2,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@2
499420048,68,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420104,69,NaN,83,67,86,98,NaN,98,87,90,88,89,83,74,85,86,NaN,88,90,NaN,81,NaN,NaN,NaN,91,75,NaN,NaN,NaN,92,NaN,NaN,NaN,89,65,83,NaN,87,NaN,NaN,NaN,NaN,93,92,87,NaN,NaN,89,NaN,NaN,77,80,NaN,81,95,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420105,NaN,NaN,81,NaN,83,99,NaN,74,85,82,96,84,78,67,84,86,NaN,80,79,NaN,NaN,69,78,NaN,NaN,60,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,65,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,86,NaN,NaN,73,88,72,88,NaN,86,NaN,NaN,67,90,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN
499420004,74,NaN,82,NaN,76,81,NaN,76,90,75,81,89,70,NaN,NaN,83,NaN,85,89,72,68,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,87,NaN,88,NaN,77,NaN,76,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,85,NaN,NaN,71,78,NaN,83,92,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,70,94,81
499420005,64,84,NaN,68,65,80,NaN,72,80,70,74,77,76,79,72,85,NaN,72,73,NaN,60,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,71,NaN,73,64,NaN,77,86,NaN,NaN,84,NaN,79,NaN,77,NaN,NaN,NaN,69,NaN,76,73,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420007,65,86,NaN,66,45,NaN,60,53,78,66,65,NaN,67,61,79,13,NaN,60,53,NaN,NaN,65,NaN,NaN,NaN,62,NaN,48,NaN,82,NaN,NaN,NaN,NaN,46,NaN,NaN,33,NaN,60,NaN,NaN,NaN,NaN,NaN,69,NaN,77,NaN,NaN,40,NaN,59,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420008,70,NaN,84,NaN,60,60,NaN,60,60,60,42,NaN,50,NaN,NaN,52,81,52,47,NaN,47,NaN,NaN,NaN,NaN,37,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,60,NaN,54,38,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,75,63
499420009,73,87,NaN,74,64,92,NaN,92,69,77,82,89,61,NaN,78,65,99,67,55,NaN,NaN,60,80,NaN,NaN,67,NaN,83,NaN,92,NaN,NaN,NaN,NaN,72,NaN,NaN,78,NaN,NaN,89,NaN,NaN,92,NaN,81,NaN,NaN,NaN,NaN,NaN,70,66,NaN,NaN,NaN,NaN,NaN,NaN,66,95,91,77,NaN,NaN,NaN,NaN,78,NaN
499420010,70,NaN,81,NaN,82,95,80,78,86,81,86,NaN,66,NaN,NaN,76,NaN,94,68,70,NaN,72,78,NaN,NaN,68,NaN,67,NaN,88,NaN,NaN,NaN,NaN,65,66,NaN,78,NaN,NaN,NaN,NaN,NaN,87,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,82,70,90,95,NaN,NaN,NaN,77,89,NaN,NaN,NaN,NaN,NaN,73,78,66
499420011,70,82,NaN,72,70,NaN,73,60,75,60,74,73,60,61,72,80,NaN,70,71,50,NaN,67,80,NaN,NaN,60,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,88,NaN,86,84,NaN,60,NaN,NaN,NaN,83,NaN,76,NaN,NaN,NaN,82,70,76,NaN,74,83,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420012,70,78,NaN,76,60,87,65,64,69,72,60,73,62,NaN,NaN,60,78,60,50,33,NaN,60,NaN,NaN,NaN,63,NaN,64,NaN,NaN,70,NaN,NaN,NaN,60,NaN,NaN,NaN,68,NaN,70,NaN,NaN,76,NaN,83,NaN,72,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,70,NaN,NaN,65,85,NaN,NaN,NaN,NaN,NaN,NaN,62,65
