id,4251010@化學工程概論@1@1,4251888@學系服務學習@1@1,4251020@化工質能均衡@2@1,4251888@學系服務學習@2@1,4251910@計算機概論@2@1,4252100@工程數學（一）@1@1,4252300@數值計算方法@1@1,4252410@工程力學@1@1,4252700@生物學@1@1,4252710@生物化學@1@1,4252800@材料科學@1@1,4252912@化學工業安全概論@1@1,4252200@工程數學（二）@2@1,4252400@單元操作與輸送現象（一）@2@1,4252810@無機材料物性@2@1,4252920@應用統計學@2@1,4253700@生物技術概論@2@1,4253720@生醫材料@2@1,4253400@單元操作與輸送現象（二）@1@1,4253410@化工熱力學@1@1,4253500@儀器分析@1@1,4253910@高分子概論@1@1,4253001@化工專題研究（一）@2@1,4253100@程序控制@2@1,4253402@化學工程實驗（一）@2@1,4253402@化學工程實驗（一）@2@2,4253403@單元操作與輸送現象（三）@2@1,4253501@儀器分析實驗@2@1,4253501@儀器分析實驗@2@2,4253730@分離程序@2@1,4253911@高分子加工概論@2@1,4253940@觸媒化學概論@2@1,4254410@化工反應工程@2@1,4253800@組織工程概論@1@1,4254001@化工專題研究（二）@1@1,4254100@程序設計@1@1,4254100@程序設計@1@2,4254402@化學工程實驗（二）@1@1,4254402@化學工程實驗（二）@1@2,4253910@高分子概論@2@1,4254200@化工學士畢業專題@2@1,4254500@組織工程實驗@2@1,4254970@專題討論與文獻選讀@2@1
402425003,71,77,65,NaN,56,40,60,NaN,NaN,NaN,76,66,NaN,-1,NaN,-1,NaN,66,49,73,63,NaN,NaN,-1,70,NaN,-1,NaN,84,NaN,NaN,NaN,6,66,NaN,74,NaN,75,NaN,NaN,NaN,NaN,-1
402425004,79,NaN,60,87,NaN,60,66,NaN,67,NaN,69,NaN,60,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402425005,68,76,71,NaN,54,60,69,74,NaN,NaN,60,78,49,-1,NaN,67,-1,90,61,77,75,NaN,NaN,60,80,NaN,60,NaN,88,-1,66,NaN,-1,62,NaN,70,NaN,85,NaN,-1,NaN,NaN,-1
402425006,79,NaN,76,91,87,65,70,66,76,NaN,83,79,78,84,NaN,78,NaN,NaN,78,81,72,73,NaN,77,NaN,83,71,87,NaN,NaN,74,-1,83,NaN,NaN,NaN,79,NaN,85,NaN,NaN,NaN,-1
402425007,84,77,60,NaN,NaN,49,60,61,61,NaN,63,74,39,61,NaN,60,-1,64,60,67,71,60,NaN,60,77,NaN,60,NaN,83,NaN,60,NaN,-1,NaN,NaN,60,NaN,77,NaN,NaN,NaN,NaN,-1
402425008,73,NaN,64,84,NaN,60,60,NaN,68,NaN,64,74,60,61,NaN,60,77,NaN,87,82,69,80,NaN,80,NaN,91,80,89,NaN,NaN,92,90,66,NaN,NaN,NaN,77,NaN,91,NaN,NaN,NaN,-1
402425009,77,65,82,NaN,NaN,65,68,NaN,90,NaN,75,81,66,79,NaN,NaN,NaN,72,75,81,77,79,NaN,70,80,NaN,63,NaN,90,NaN,90,95,65,NaN,NaN,78,NaN,80,NaN,NaN,NaN,NaN,-1
402425010,72,NaN,60,81,66,68,68,NaN,61,66,67,77,73,80,76,NaN,NaN,NaN,68,85,72,63,NaN,76,NaN,90,69,87,NaN,NaN,68,80,70,NaN,NaN,NaN,78,NaN,83,NaN,NaN,NaN,-1
402425011,80,79,73,NaN,NaN,78,66,NaN,67,NaN,NaN,75,60,60,NaN,NaN,73,NaN,73,75,68,73,NaN,66,86,NaN,61,NaN,86,-1,81,77,-1,NaN,NaN,66,NaN,84,NaN,NaN,-1,NaN,-1
402425012,81,NaN,72,91,82,82,82,NaN,84,NaN,80,89,78,69,NaN,83,NaN,NaN,75,79,77,78,NaN,68,NaN,87,78,92,NaN,NaN,77,-1,80,NaN,NaN,NaN,67,NaN,83,NaN,NaN,NaN,-1
