id,4251910@計算機概論@2@1,4251010@化學工程概論@1@1,4252100@工程數學（一）@1@1,4252300@數值計算方法@1@1,4252410@工程力學@1@1,4252800@材料科學@1@1,4252912@化學工業安全概論@1@1,4251020@化工質能均衡@2@1,4252200@工程數學（二）@2@1,4252400@單元操作與輸送現象（一）@2@1,4252920@應用統計學@2@1,4253700@生物技術概論@2@1,4253970@特用化學品@2@1,4253400@單元操作與輸送現象（二）@1@1,4253410@化工熱力學@1@1,4253500@儀器分析@1@1,4253800@組織工程概論@1@1,4253001@化工專題研究（一）@2@1,4253100@程序控制@2@1,4253402@化學工程實驗（一）@2@2,4253403@單元操作與輸送現象（三）@2@1,4253501@儀器分析實驗@2@1,4253720@生醫材料@2@1,4253910@高分子概論@2@1,4254410@化工反應工程@2@1
403235014,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235004,NaN,75,58,65,62,71,NaN,70,56,72,-1,NaN,80,70,50,76,60,NaN,-1,-1,-1,-1,NaN,-1,-1
403235032,NaN,78,77,NaN,85,91,93,86,72,83,80,78,NaN,90,84,88,83,-1,-1,-1,-1,-1,NaN,-1,-1
403235038,NaN,NaN,NaN,NaN,NaN,75,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235039,NaN,NaN,NaN,NaN,NaN,92,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235048,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235009,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235051,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
