id,4255011@專題討論（一）@1@1,4255211@膠體與界面現象@1@1,4255245@超臨界流體操作概論@1@1,4255400@高等化工熱力學@1@1,4255531@高分子材料合成@1@1,4255560@反應工程與反應器設計@1@1,4255580@生化工程@1@1,4255724@系統生物學@1@1,4255742@生物工程特論@1@1,4255743@生物高分子@1@1,4255924@電子構裝@1@1,4255926@半導體製程技術@1@1,4255930@精密陶瓷製造@1@1,4257730@軟質材料@1@1,4257750@化工單元操作應用實務@1@1,4257760@光散射之複雜流體分析@1@1,4257762@生物精煉與生質能源@1@1,4255022@專題討論（二）@2@1,4255050@碩士論文（一）@2@1,4255210@高等輸送現象@2@1,4255250@粉粒體技術@2@1,4255251@奈米製造技術@2@1,4255330@非線性動態學@2@1,4255570@工業觸媒@2@1,4255572@精密材料合成@2@1,4255723@電腦在生化系統之應用@2@1,4255740@生物技術@2@1,4255745@生物醫學特論@2@1,4255803@材料相平衡@2@1,4255932@分子螢光學之原理與應用@2@1,4257761@軟物質材料之多尺度模擬法@2@1
605425001,88,NaN,NaN,NaN,99,93,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,86,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
605425002,88,NaN,NaN,NaN,97,93,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,76,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
605425003,93,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,93,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
605425005,88,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,84,NaN,NaN,NaN,88,87,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
605425006,88,NaN,NaN,NaN,88,95,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,88,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
605425008,99,NaN,NaN,NaN,94,90,94,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
605425010,93,NaN,NaN,NaN,NaN,88,NaN,NaN,92,NaN,NaN,98,NaN,91,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
605425011,88,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,99,NaN,84,85,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
605425014,99,NaN,NaN,NaN,NaN,86,87,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,98,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
605425016,93,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,88,NaN,99,88,NaN,89,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605425019,93,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,87,NaN,NaN,NaN,93,88,NaN,89,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
605425020,99,NaN,NaN,NaN,NaN,90,85,87,NaN,81,NaN,NaN,NaN,NaN,85,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
605425021,88,NaN,NaN,NaN,87,91,NaN,NaN,NaN,84,NaN,89,NaN,88,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
605425022,88,NaN,NaN,NaN,NaN,90,83,88,NaN,85,NaN,NaN,NaN,NaN,85,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
605425023,88,NaN,NaN,NaN,90,93,NaN,NaN,NaN,86,NaN,NaN,NaN,91,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
605425024,88,90,NaN,NaN,NaN,86,70,NaN,90,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
605425025,88,80,NaN,NaN,NaN,84,70,NaN,92,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
605425027,93,NaN,NaN,NaN,73,80,72,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
605425028,88,NaN,NaN,NaN,89,93,NaN,NaN,NaN,NaN,NaN,94,NaN,77,85,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
