id,4301002@計算機概論@1@1,4301004@邏輯設計實驗@1@1,4301005@邏輯設計@1@1,4301005@邏輯設計@1@2,4301888@學系服務學習@1@1,4301001@線性代數@2@1,4301003@程式設計@2@1,4301003@程式設計@2@2,4301006@程式設計實習@2@1,4301006@程式設計實習@2@2,4301006@程式設計實習@2@3,4301006@程式設計實習@2@4,4301888@學系服務學習@2@1,4302001@電路學（一）@1@1,4302002@電子學（一）@1@1,4302002@電子學（一）@1@2,4302003@電工實驗（一）@1@1,4302004@微分方程@1@1,4302005@資料結構@1@1,4302005@資料結構@1@2,4302009@FPGA數位設計實驗@1@1,4302018@數位系統設計@1@1,4303042@數據通訊@1@1,4304004@工程倫理@1@1,4302010@訊號與系統@2@1,4302010@訊號與系統@2@2,4302011@電路學（二）@2@1,4302012@電子學（二）@2@1,4302012@電子學（二）@2@2,4302013@電工實驗（二）@2@1,4302015@機率@2@1,4302016@計算機組織@2@1,4302017@電磁學（一）@2@1,4302017@電磁學（一）@2@2,4302019@再生能源導論@2@1,4302020@通訊工程導論@2@1,4304004@工程倫理@2@1,4303002@通訊原理@1@1,4303004@電磁學（二）@1@1,4303005@複變@1@1,4303013@電腦網路導論@1@1,4303024@離散數學@1@1,4303033@電磁科技導論@1@1,4303035@演算法導論@1@1,4303039@電機機械@1@1,4303043@電力電子導論@1@1,4302005@資料結構@2@1,4302016@計算機組織@2@2,4303001@作業系統導論@2@1,4303010@電磁波@2@1,4303012@數位通訊導論@2@1,4303015@通訊系統專題（一）@2@1,4303016@電磁積體電路專題（一）@2@1,4303028@通訊系統實驗@2@1,4303029@電腦網路實驗@2@1,4303030@電磁工程實驗@2@1,4303031@網路技術與應用專題（一）@2@1,4303038@數位訊號處理導論@2@1
403430002,92,80,97,NaN,NaN,78,93,NaN,NaN,NaN,79,NaN,80,95,87,NaN,85,93,NaN,76,88,79,92,NaN,98,NaN,99,NaN,90,96,92,-1,95,NaN,83,93,NaN,93,NaN,87,93,NaN,NaN,85,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1
403430003,65,76,60,NaN,85,54,NaN,60,NaN,82,NaN,NaN,NaN,40,NaN,60,65,37,15,NaN,75,30,NaN,NaN,NaN,25,31,10,NaN,62,46,25,60,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403430004,85,94,82,NaN,NaN,81,NaN,69,NaN,NaN,NaN,86,80,86,73,NaN,92,78,NaN,68,88,74,89,NaN,83,NaN,92,80,NaN,90,83,-1,92,NaN,NaN,83,NaN,76,NaN,79,91,NaN,NaN,71,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430005,36,45,60,NaN,85,-1,NaN,60,NaN,NaN,NaN,72,NaN,67,NaN,71,76,68,NaN,45,NaN,NaN,NaN,NaN,NaN,-1,51,NaN,NaN,81,62,NaN,60,NaN,67,75,-1,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403430006,79,80,63,NaN,NaN,61,70,NaN,64,NaN,NaN,NaN,80,49,NaN,60,69,55,NaN,43,NaN,NaN,NaN,NaN,25,-1,NaN,40,NaN,79,-1,60,71,NaN,NaN,83,-1,60,NaN,NaN,NaN,76,NaN,66,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430007,74,70,61,NaN,85,64,67,49,NaN,81,NaN,NaN,NaN,62,79,NaN,73,71,NaN,NaN,NaN,NaN,NaN,NaN,47,NaN,-1,65,NaN,75,70,NaN,82,NaN,69,82,-1,60,NaN,NaN,37,NaN,NaN,48,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403430008,62,77,63,NaN,NaN,83,70,NaN,NaN,NaN,64,NaN,80,70,88,NaN,78,81,NaN,60,80,45,NaN,NaN,67,NaN,60,64,NaN,82,71,NaN,86,NaN,73,86,-1,79,NaN,NaN,54,NaN,NaN,NaN,43,97,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
403430009,82,77,NaN,82,85,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,75,86,75,NaN,61,NaN,60,NaN,NaN,82,NaN,77,72,NaN,84,66,NaN,96,NaN,NaN,86,89,87,NaN,80,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
403430010,69,89,72,NaN,NaN,71,NaN,75,NaN,NaN,NaN,78,80,63,60,NaN,84,73,NaN,68,85,60,85,NaN,77,NaN,-1,77,NaN,87,80,87,91,NaN,76,83,-1,73,87,NaN,72,NaN,NaN,77,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1
403430011,94,85,NaN,86,85,87,NaN,NaN,NaN,83,NaN,NaN,NaN,99,NaN,82,79,93,NaN,70,NaN,68,96,NaN,86,NaN,99,85,NaN,97,91,NaN,100,NaN,NaN,82,86,90,NaN,NaN,96,NaN,NaN,95,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
