id,4301004@邏輯設計實驗@1@1,4302002@電子學（一）@1@2,4302004@微分方程@1@1,4302005@資料結構@1@1,4302005@資料結構@1@2,4302018@數位系統設計@1@1,4303002@通訊原理@1@1,4303004@電磁學（二）@1@1,4303005@複變@1@1,4303013@電腦網路導論@1@1,4304002@通訊系統專題（二）@1@1,4304003@電磁積體電路專題（二）@1@1,4304004@工程倫理@1@1,4304007@智慧型手機程式設計@1@1,4301001@線性代數@2@2,4301003@程式設計@2@1,4302011@電路學（二）@2@1,4302012@電子學（二）@2@1,4302012@電子學（二）@2@2,4302015@機率@2@1,4302016@計算機組織@2@1,4302016@計算機組織@2@2,4302017@電磁學（一）@2@1,4303001@作業系統導論@2@1,4303010@電磁波@2@1,4303012@數位通訊導論@2@1,4303015@通訊系統專題（一）@2@1,4303027@計算機結構@2@1,4303028@通訊系統實驗@2@1,4303029@電腦網路實驗@2@1,4303030@電磁工程實驗@2@1,4303031@網路技術與應用專題（一）@2@1,4303034@通訊工程導論@2@1,4301005@邏輯設計@1@2,4303035@演算法導論@1@1,4301001@線性代數@2@1,4302017@電磁學（一）@2@2,4302019@再生能源導論@2@1,4301002@計算機概論@1@1,4301005@邏輯設計@1@1,4301007@通訊工程導論@1@1,4301006@程式設計實習@2@1,4301002@計算機概論@1@2,4302001@電路學（一）@1@1,4302001@電路學（一）@1@2,4302002@電子學（一）@1@1,4302003@電工實驗（一）@1@1,4302004@微分方程@1@2,4302009@FPGA數位設計實驗@1@1,4301003@程式設計@2@2,4301006@程式設計實習@2@2,4302010@訊號與系統@2@1,4302010@訊號與系統@2@2,4302013@電工實驗（二）@2@1,4303016@電磁積體電路專題（一）@2@1
497430050,79,74,60,NaN,75,67,60,63,NaN,73,NaN,NaN,85,97,NaN,NaN,60,60,NaN,77,NaN,67,78,65,NaN,84,NaN,NaN,NaN,73,NaN,86,89,NaN,NaN,66,NaN,NaN,NaN,70,NaN,90,NaN,60,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,60,84,NaN
497430051,81,68,77,NaN,100,NaN,91,78,NaN,81,NaN,NaN,89,97,NaN,82,67,NaN,68,70,NaN,74,83,NaN,NaN,96,99,NaN,93,NaN,NaN,NaN,90,NaN,NaN,92,NaN,NaN,85,64,NaN,99,NaN,69,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,92,82,NaN
497430025,61,30,60,62,NaN,65,61,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,65,51,NaN,12,54,NaN,64,63,63,NaN,80,90,60,88,NaN,NaN,NaN,NaN,49,67,65,NaN,NaN,43,66,62,90,60,NaN,62,28,82,40,NaN,NaN,NaN,60,NaN,95,NaN
497430031,68,NaN,54,75,NaN,NaN,81,79,83,NaN,NaN,NaN,83,87,NaN,60,80,70,NaN,66,NaN,NaN,82,NaN,74,76,95,NaN,89,NaN,87,NaN,NaN,66,NaN,61,NaN,NaN,76,56,83,60,NaN,66,NaN,60,83,NaN,NaN,NaN,NaN,68,NaN,95,NaN
497430033,61,64,83,78,NaN,NaN,63,63,72,NaN,90,NaN,65,93,NaN,69,64,NaN,68,68,NaN,53,NaN,NaN,NaN,83,90,NaN,88,NaN,83,NaN,NaN,55,NaN,60,69,NaN,60,71,65,90,NaN,NaN,70,NaN,80,50,NaN,NaN,NaN,66,NaN,79,NaN
497430046,68,NaN,54,62,20,50,56,65,3,71,NaN,NaN,70,87,0,61,62,NaN,63,70,NaN,55,68,54,NaN,73,NaN,NaN,NaN,21,NaN,5,NaN,NaN,NaN,48,NaN,NaN,74,62,70,90,NaN,NaN,66,NaN,78,NaN,76,NaN,NaN,NaN,65,85,NaN
497430029,87,62,70,43,NaN,NaN,62,73,73,61,NaN,NaN,69,NaN,78,60,83,NaN,62,38,NaN,NaN,NaN,NaN,62,69,90,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,43,62,NaN,79,64,61,60,NaN,NaN,62,NaN,85,55,94,NaN,NaN,65,NaN,94,NaN
497430038,71,NaN,70,NaN,78,60,68,60,77,NaN,97,NaN,85,88,NaN,63,82,NaN,62,76,NaN,NaN,69,NaN,NaN,90,93,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,85,74,87,68,NaN,71,NaN,83,80,NaN,93,NaN,NaN,70,NaN,93,NaN
497430006,73,NaN,NaN,69,NaN,61,62,62,79,NaN,NaN,NaN,81,88,NaN,NaN,80,68,NaN,72,NaN,NaN,79,NaN,NaN,95,68,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,45,62,74,60,71,73,NaN,70,82,60,91,60,NaN,66,NaN,88,NaN
497430034,86,NaN,70,81,NaN,54,77,82,82,80,97,NaN,75,88,NaN,70,82,67,NaN,76,67,NaN,79,68,NaN,80,95,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,67,66,81,75,NaN,79,NaN,78,73,NaN,89,NaN,NaN,NaN,72,90,NaN
