id,4305019@錯誤更正碼@2@1,4305129@高等電腦網路@2@1,4305132@專題演講（二）@2@1,4305173@被動光接取網路@2@1,4305017@隨機程序@1@1,4305034@數位通訊@1@1,4305038@專題演講（一）@1@1,4305062@網路管理@1@1,4305065@網路安全@1@1,4305066@偵測與估計@1@1,4305070@無線區域網路@1@1,4305087@消息理論@1@1,4305113@電腦網路結構@1@1,4305116@網路程式設計@1@1,4305122@個人及行動通訊@1@1,4305146@通訊訊號處理專論@1@1,4305159@網路最佳化@1@1,4305162@異質無線網路漫遊與換手技術@1@1,4305175@微處理機系統與介面技術@1@1,4305176@嵌入式聯網感測系統專論@1@1,4305070@無線區域網路@2@1,4305077@區域網路設備實作技術及效能分析@2@1,4305079@正交分頻多重進接技術@2@1,4305099@高存活網路與安全確保@2@1,4305110@格網結構@2@1,4305135@光通訊網路@2@1,4305153@錯誤更正碼專論@2@1,4305156@頻譜分析與方位估計@2@1,4305160@智慧型天線專論@2@1,4305165@合作式通訊@2@1,4305167@多天線多重輸入輸出技術@2@1,4305171@無線感測網路@2@1,4305174@網路路由與傳輸控制專論@2@1,4305177@JAVA在網路的應用@2@1,4305153@錯誤更正碼專論@1@1,4305157@前瞻網路技術專論@1@1,4305164@下世代行動通訊系統(一)@1@1,4305166@多天線信號處理專論@1@1,4305178@新興網路架構專論@1@1,4305179@嵌入式作業系統@1@1,4305104@排隊理論@2@1,4305144@網路安全專論@2@1,4305168@網路最佳化專論@2@1,4305172@合作式通訊專論@2@1,4305180@聯網嵌入式系統@2@1,4305181@無線通訊理論@2@1,4305182@下世代行動通訊系統(二)@2@1,4305156@頻譜分析與方位估計@1@1
601430012,80,80,81,94,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,96,95,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430008,NaN,NaN,89,NaN,85,95,86,NaN,NaN,89,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,94,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430010,NaN,NaN,89,NaN,94,NaN,86,NaN,NaN,NaN,NaN,99,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430023,NaN,NaN,89,NaN,63,85,86,NaN,NaN,84,NaN,72,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,90,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430027,NaN,NaN,86,NaN,86,87,86,NaN,NaN,88,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,85,83,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430028,NaN,NaN,89,NaN,86,88,88,NaN,NaN,89,NaN,NaN,NaN,NaN,84,95,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,92,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430043,NaN,NaN,80,NaN,73,97,84,NaN,NaN,NaN,NaN,70,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
601430054,NaN,NaN,83,NaN,99,83,86,NaN,NaN,88,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,97,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430065,NaN,NaN,86,NaN,86,94,82,NaN,NaN,NaN,NaN,72,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
601430066,NaN,NaN,89,NaN,93,86,88,NaN,NaN,83,NaN,NaN,NaN,NaN,98,95,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,85,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430069,NaN,NaN,86,NaN,94,93,86,NaN,NaN,70,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,99,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430071,NaN,NaN,83,NaN,78,NaN,84,NaN,NaN,NaN,NaN,93,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430073,NaN,NaN,86,NaN,95,92,84,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,88,NaN,90,88,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430076,NaN,NaN,89,NaN,81,96,86,NaN,NaN,80,NaN,70,60,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,89,NaN,70,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,NaN
601430081,NaN,NaN,86,NaN,91,93,86,NaN,NaN,83,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,95,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430082,NaN,NaN,89,NaN,100,91,86,NaN,NaN,95,NaN,NaN,NaN,NaN,89,95,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,91,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430083,NaN,NaN,89,NaN,90,NaN,84,NaN,NaN,84,NaN,77,61,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,89,NaN,84,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,NaN
