id,4305079@正交分頻多重進接技術@2@1,4305106@適應性陣列信號處理@2@1,4305110@格網結構@2@1,4305132@專題演講（二）@2@1,4305165@合作式通訊@2@1,4305167@多天線多重輸入輸出技術@2@1,4305180@聯網嵌入式系統@2@1,4305017@隨機程序@1@1,4305034@數位通訊@1@1,4305038@專題演講（一）@1@1,4305062@網路管理@1@1,4305065@網路安全@1@1,4305066@偵測與估計@1@1,4305070@無線區域網路@1@1,4305113@電腦網路結構@1@1,4305116@網路程式設計@1@1,4305122@個人及行動通訊@1@1,4305153@錯誤更正碼專論@1@1,4305156@頻譜分析與方位估計@1@1,4305164@下世代行動通訊系統(一)@1@1,4305168@網路最佳化專論@1@1,4305174@網路路由與傳輸控制專論@1@1,4305179@嵌入式作業系統@1@1,4305019@錯誤更正碼@2@1,4305087@消息理論@2@1,4305104@排隊理論@2@1,4305129@高等電腦網路@2@1,4305130@通訊系統模擬@2@1,4305133@網路互連@2@1,4305136@網路模擬技術與應用@2@1,4305144@網路安全專論@2@1,4305166@多天線信號處理專論@2@1,4305172@合作式通訊專論@2@1,4305177@JAVA在網路的應用@2@1,4305182@下世代行動通訊系統(二)@2@1,4305146@通訊訊號處理專論@1@1,4305169@分散式訊源編碼@1@1,4305175@微處理機系統與介面技術@1@1,4305099@高存活網路與安全確保@2@1,4305157@前瞻網路技術專論@2@1,4305183@最佳化導論@2@1
604430025,77,73,NaN,92,91,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430012,NaN,NaN,91,89,NaN,NaN,84,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430001,NaN,NaN,NaN,82,NaN,91,NaN,82,93,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,90,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430002,NaN,NaN,NaN,83,NaN,84,NaN,81,NaN,82,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,84,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430003,NaN,NaN,NaN,83,NaN,83,NaN,81,NaN,81,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,72,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430005,NaN,NaN,NaN,83,NaN,NaN,NaN,78,70,85,NaN,NaN,NaN,82,89,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,84,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
604430006,NaN,NaN,NaN,82,NaN,NaN,-1,63,NaN,85,NaN,NaN,NaN,83,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,90,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN
604430008,NaN,NaN,NaN,83,NaN,NaN,-1,47,NaN,85,NaN,NaN,NaN,88,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,91,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430028,NaN,NaN,NaN,85,NaN,90,NaN,84,86,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,71,NaN,NaN,NaN,93,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
604430030,NaN,NaN,NaN,85,NaN,82,NaN,80,70,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,70,NaN,NaN,NaN,86,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN
604430038,85,NaN,NaN,85,NaN,84,NaN,95,70,82,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,74,54,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
