id,4305132@專題演講（二）@2@1,4305017@隨機程序@1@1,4305034@數位通訊@1@1,4305038@專題演講（一）@1@1,4305062@網路管理@1@1,4305065@網路安全@1@1,4305066@偵測與估計@1@1,4305113@電腦網路結構@1@1,4305122@個人及行動通訊@1@1,4305146@通訊訊號處理專論@1@1,4305156@頻譜分析與方位估計@1@1,4305168@網路最佳化專論@1@1,4305175@微處理機系統與介面技術@1@1,4305179@嵌入式作業系統@1@1,4305019@錯誤更正碼@2@1,4305070@無線區域網路@2@1,4305079@正交分頻多重進接技術@2@1,4305099@高存活網路與安全確保@2@1,4305106@適應性陣列信號處理@2@1,4305127@資料網路規劃與設計@2@1,4305129@高等電腦網路@2@1,4305133@網路互連@2@1,4305135@光通訊網路@2@1,4305157@前瞻網路技術專論@2@1,4305160@智慧型天線專論@2@1,4305167@多天線多重輸入輸出技術@2@1,4305174@網路路由與傳輸控制專論@2@1,4305180@聯網嵌入式系統@2@1,4305183@最佳化導論@2@1
605430011,85,NaN,NaN,85,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430022,87,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430003,-1,72,79,85,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
605430008,-1,87,87,85,NaN,NaN,73,NaN,82,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430009,-1,87,70,85,NaN,NaN,73,NaN,86,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430014,-1,94,NaN,85,NaN,NaN,99,NaN,91,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430015,-1,89,94,85,NaN,NaN,92,NaN,91,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430016,-1,83,75,78,NaN,NaN,NaN,NaN,70,NaN,88,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
605430026,-1,78,NaN,85,NaN,NaN,73,NaN,70,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430029,-1,89,74,85,NaN,NaN,90,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
