id,4415001@專題討論@1@1,4415057@色彩工程學@1@1,4415082@石墨烯製程、檢測及應用@1@1,4415091@平面顯示器@1@1,4415092@光機電材料@1@1,4415093@光電元件物理（一）@1@1,4415095@奈米元件製程與檢測@1@1,4415096@寬能隙半導體@1@1,4415100@光機電整合工程導論@1@1,4415001@專題討論@2@1,4415015@光電工程實驗@2@1,4415018@有機電激發光元件及顯示器@2@1,4415042@光電材料分析技術@2@1,4415066@新能源技術與節能減碳應用@2@1,4415078@固態物理導論@2@1,4415087@高科技專利取得與攻防@2@1,4415088@光電子學@2@1,4415089@科學研究概論-以石墨烯為例@2@1,4415098@光機系統設計@2@1,4415099@奈米科技專論@2@1,4415035@精密機械設計@1@1,4415085@前瞻綠能與環保科技導論@1@1,4415044@奈米製程與檢測實驗@2@1
603441002,86,84,NaN,NaN,NaN,95,96,93,86,89,94,NaN,NaN,NaN,NaN,NaN,96,92,NaN,92,NaN,NaN,NaN
603441005,92,76,NaN,NaN,NaN,95,94,95,83,85,88,NaN,NaN,NaN,NaN,NaN,94,90,NaN,94,NaN,NaN,NaN
603441007,92,87,98,NaN,NaN,96,90,NaN,86,85,93,NaN,NaN,NaN,91,NaN,76,92,NaN,NaN,NaN,NaN,NaN
603441008,82,NaN,NaN,NaN,NaN,86,NaN,NaN,74,88,70,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN
603441014,90,83,97,NaN,NaN,96,93,NaN,87,89,89,NaN,NaN,NaN,95,NaN,84,95,NaN,NaN,NaN,NaN,NaN
603441018,95,NaN,NaN,NaN,NaN,92,NaN,NaN,87,85,86,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
603441019,95,NaN,NaN,NaN,NaN,84,NaN,NaN,85,88,80,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN
603441021,86,80,NaN,NaN,NaN,71,78,NaN,82,90,90,79,NaN,NaN,NaN,88,NaN,NaN,88,NaN,76,NaN,NaN
603441027,89,88,NaN,NaN,NaN,77,NaN,NaN,88,90,92,72,88,NaN,NaN,86,NaN,NaN,90,NaN,75,NaN,NaN
603441028,90,NaN,NaN,NaN,NaN,87,NaN,NaN,89,92,92,93,84,94,NaN,NaN,NaN,NaN,89,NaN,NaN,95,NaN
603441029,87,80,NaN,NaN,NaN,70,83,NaN,85,90,89,81,NaN,NaN,NaN,86,NaN,NaN,87,NaN,77,NaN,NaN
603441030,85,83,NaN,82,82,NaN,NaN,NaN,83,80,89,NaN,85,NaN,NaN,NaN,83,85,87,NaN,NaN,NaN,NaN
603441032,87,86,NaN,NaN,NaN,78,NaN,NaN,86,95,77,78,88,NaN,NaN,90,NaN,NaN,96,NaN,70,NaN,NaN
603441033,85,83,NaN,NaN,91,51,NaN,NaN,85,92,97,85,84,NaN,NaN,88,NaN,NaN,88,NaN,71,NaN,NaN
603441036,90,84,NaN,NaN,NaN,86,87,94,85,85,89,NaN,NaN,NaN,NaN,NaN,92,92,NaN,96,NaN,NaN,NaN
603441037,81,79,NaN,82,82,NaN,NaN,NaN,73,82,83,NaN,89,NaN,NaN,NaN,88,90,82,NaN,NaN,NaN,NaN
603441038,84,86,NaN,95,95,NaN,NaN,NaN,72,82,88,NaN,94,NaN,NaN,NaN,85,87,83,NaN,NaN,NaN,NaN
603441039,83,76,97,NaN,94,90,85,NaN,74,85,70,NaN,NaN,NaN,84,NaN,60,90,NaN,NaN,NaN,NaN,NaN
603441042,86,85,NaN,95,95,NaN,NaN,NaN,73,85,94,NaN,90,NaN,NaN,NaN,90,89,84,NaN,NaN,NaN,NaN
603441043,80,72,NaN,NaN,NaN,90,92,91,80,88,88,NaN,NaN,NaN,NaN,NaN,87,84,NaN,93,NaN,NaN,NaN
603441041,90,NaN,NaN,NaN,NaN,83,75,NaN,80,-1,86,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,86
