id,4415001@專題討論@1@1,4415005@光電子學（一）@1@1,4415035@精密機械設計@1@1,4415057@色彩工程學@1@1,4415062@非線性光學@1@1,4415085@前瞻綠能與環保科技導論@1@1,4415091@平面顯示器@1@1,4415092@光機電材料@1@1,4415100@光機電整合工程導論@1@1,4415102@科學研究概論@1@1,4415104@自動化光學檢測技術與實作@1@1,4415001@專題討論@2@1,4415015@光電工程實驗@2@1,4415018@有機電激發光元件及顯示器@2@1,4415036@新式節能材料在光電產業的應用@2@1,4415038@奈米光電@2@1,4415042@光電材料分析技術@2@1,4415078@固態物理導論@2@1,4415082@石墨烯製程、檢測及應用@2@1,4415084@螢光材料@2@1,4415087@高科技專利取得與攻防@2@1,4415098@光機系統設計@2@1
605441002,90,82,NaN,NaN,NaN,NaN,NaN,NaN,70,95,NaN,-1,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1
605441004,90,NaN,77,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
605441006,96,89,NaN,NaN,NaN,NaN,NaN,89,83,94,NaN,-1,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
605441008,98,86,NaN,NaN,NaN,NaN,94,94,90,94,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
605441009,92,NaN,NaN,NaN,NaN,90,90,85,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
605441011,91,NaN,79,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
605441012,98,87,NaN,NaN,NaN,NaN,95,91,89,93,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
605441017,92,88,NaN,NaN,NaN,NaN,NaN,86,80,97,NaN,-1,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
605441018,94,NaN,NaN,90,NaN,NaN,NaN,NaN,78,NaN,90,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
605441020,95,NaN,NaN,NaN,NaN,89,89,87,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
605441021,96,90,NaN,NaN,NaN,NaN,NaN,NaN,83,92,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
605441022,95,NaN,NaN,89,NaN,NaN,NaN,NaN,81,NaN,91,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
605441023,91,NaN,78,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
605441024,90,89,NaN,NaN,NaN,NaN,90,93,84,90,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
605441025,92,NaN,NaN,88,NaN,NaN,NaN,NaN,79,NaN,83,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
605441026,95,NaN,87,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
605441028,91,NaN,NaN,88,NaN,NaN,NaN,NaN,84,NaN,83,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
605441031,92,NaN,83,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
605441033,90,95,NaN,NaN,NaN,NaN,91,92,95,90,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
605441035,92,NaN,NaN,79,NaN,NaN,NaN,NaN,72,NaN,82,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
605441036,92,83,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
605441037,95,NaN,76,NaN,NaN,NaN,NaN,NaN,76,NaN,86,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
605441038,94,92,NaN,NaN,NaN,NaN,93,93,88,95,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
605441039,89,NaN,NaN,NaN,91,NaN,91,90,72,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1
605441040,93,90,NaN,NaN,NaN,NaN,92,95,96,93,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
605441041,95,NaN,NaN,NaN,NaN,91,NaN,88,93,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
605441042,98,NaN,NaN,91,NaN,NaN,NaN,NaN,83,NaN,82,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
