id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@4,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@4,5101004@基礎總體經濟學@2@1,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5104811@國際經濟組織（一）@1@1,5101002@經濟學原理（二）@2@3,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5102401@管制經濟學@2@1,5103020@經濟思想史@2@1,5103604@公共經濟學@2@1,5103700@財政學@2@1,5101001@經濟學原理（一）@1@5,5102360@數理經濟學@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103401@國際貿易理論與政策（一）@1@2,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103915@訊息經濟學@1@1,5104920@經濟政策@1@1,5103160@產業經濟學@2@1,5103312@計量經濟學（二）@2@1,5103920@統計軟體應用@2@1,5104101@個體經濟理論應用@2@1,5104710@國際貿易實務@2@1,5103307@高等統計學（一）@1@1,5103620@亞太地區經濟@1@1,5103920@統計軟體應用@1@1,5103308@高等統計學（二）@2@1,5103366@賽局理論（二）@2@1,5104102@總體經濟理論應用@2@1,5103405@國際貿易與全球化專題@2@1
401510001,76,NaN,NaN,NaN,81,NaN,NaN,NaN,71,NaN,NaN,NaN,88,NaN,82,NaN,NaN,79,NaN,NaN,70,NaN,86,NaN,84,79,NaN,80,NaN,NaN,67,88,NaN,82,NaN,NaN,NaN,NaN,80,82,85,NaN,71,NaN,92,NaN,76,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,86,NaN
401510002,70,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,85,NaN,74,NaN,69,NaN,NaN,86,80,NaN,85,NaN,85,NaN,89,77,NaN,71,NaN,NaN,93,77,82,72,75,NaN,66,NaN,85,80,87,NaN,79,NaN,NaN,NaN,86,NaN,NaN,70,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
401510003,82,NaN,NaN,NaN,NaN,100,87,NaN,NaN,NaN,NaN,NaN,86,NaN,74,NaN,NaN,93,95,NaN,NaN,NaN,90,NaN,NaN,80,NaN,75,NaN,NaN,96,75,94,NaN,72,NaN,NaN,NaN,95,90,85,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
401510005,66,NaN,NaN,NaN,89,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,70,NaN,71,75,NaN,NaN,NaN,NaN,60,83,NaN,75,61,NaN,NaN,60,70,84,NaN,67,NaN,NaN,NaN,70,66,78,NaN,60,NaN,NaN,NaN,67,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510006,84,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,96,88,NaN,85,NaN,NaN,81,82,85,NaN,NaN,90,NaN,87,85,NaN,NaN,80,NaN,74,NaN,91,93,76,NaN,NaN,NaN,92,NaN,87,NaN,66,NaN,91,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510009,90,NaN,NaN,NaN,87,NaN,84,NaN,NaN,NaN,NaN,NaN,77,NaN,84,NaN,NaN,85,97,NaN,NaN,NaN,92,NaN,90,76,NaN,68,NaN,NaN,87,85,NaN,70,NaN,NaN,NaN,76,NaN,80,88,NaN,79,NaN,82,NaN,98,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510010,77,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,90,NaN,NaN,60,60,NaN,NaN,73,71,NaN,82,NaN,NaN,70,80,61,NaN,69,NaN,NaN,73,77,80,NaN,NaN,NaN,NaN,NaN,83,77,87,NaN,70,NaN,NaN,NaN,62,NaN,89,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN
401510011,93,NaN,NaN,NaN,89,NaN,100,NaN,NaN,NaN,NaN,NaN,99,NaN,100,NaN,99,NaN,99,94,NaN,NaN,99,NaN,NaN,97,NaN,NaN,NaN,99,NaN,NaN,99,NaN,100,NaN,NaN,90,NaN,NaN,NaN,100,NaN,100,90,NaN,99,92,94,96,NaN,93,92,NaN,-1,NaN,NaN,NaN
401510013,81,NaN,NaN,NaN,89,NaN,NaN,76,NaN,NaN,NaN,NaN,75,NaN,85,NaN,NaN,93,73,NaN,86,NaN,75,NaN,NaN,75,NaN,85,NaN,NaN,97,81,NaN,NaN,65,NaN,NaN,NaN,91,80,88,NaN,84,NaN,NaN,NaN,74,NaN,89,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510015,26,10,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510017,71,NaN,NaN,NaN,87,NaN,74,NaN,NaN,NaN,NaN,NaN,76,NaN,67,NaN,NaN,84,87,NaN,88,NaN,83,NaN,86,66,NaN,NaN,73,NaN,78,74,NaN,60,77,NaN,NaN,NaN,86,NaN,80,NaN,69,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
