id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@3,5101001@經濟學原理（一）@1@4,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5102201@總體經濟學（一）@1@1,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@4,5101004@基礎總體經濟學@2@1,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102240@貨幣銀行學@2@2,5102401@管制經濟學@2@1,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102101@個體經濟學（一）@1@3,5102103@個體經濟學@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5102360@數理經濟學@1@1,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5104811@國際經濟組織（一）@1@1,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102102@個體經濟學（二）@2@3,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5103020@經濟思想史@2@1,5103604@公共經濟學@2@1,5103700@財政學@2@1,5104101@個體經濟理論應用@2@1,5103307@高等統計學（一）@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103401@國際貿易理論與政策（一）@1@2,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103620@亞太地區經濟@1@1,5103915@訊息經濟學@1@1,5103920@統計軟體應用@1@1,5101002@經濟學原理（二）@2@5,5101002@經濟學原理（二）@2@6,5103160@產業經濟學@2@1,5103308@高等統計學（二）@2@1,5103312@計量經濟學（二）@2@1,5103366@賽局理論（二）@2@1,5103920@統計軟體應用@2@1,5104102@總體經濟理論應用@2@1,5103405@國際貿易與全球化專題@2@1,5103600@發展經濟學@2@1,5103915@訊息經濟學@2@1,5104710@國際貿易實務@2@1
402510002,82,NaN,NaN,NaN,NaN,NaN,NaN,92,88,NaN,NaN,NaN,90,NaN,82,NaN,NaN,82,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,95,NaN,62,NaN,NaN,71,NaN,NaN,61,NaN,95,NaN,NaN,NaN,81,NaN,89,NaN,84,NaN,80,NaN,84,NaN,NaN,NaN,NaN,83,-1,NaN,NaN,90,87,NaN,NaN,NaN,NaN
402510003,41,NaN,NaN,NaN,47,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510009,77,NaN,NaN,NaN,NaN,NaN,88,75,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,26,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,77,90,NaN,87,NaN,90,-1,90,NaN,NaN,NaN,NaN,95,72,NaN,82,NaN,87,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,87,NaN,NaN,-1,-1,-1
402510013,68,NaN,NaN,NaN,NaN,NaN,80,60,60,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,60,NaN,NaN,NaN,NaN,69,NaN,86,NaN,NaN,NaN,67,NaN,82,61,NaN,60,NaN,94,81,NaN,NaN,NaN,NaN,NaN,91,85,NaN,89,NaN,78,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,85,-1,NaN,-1,-1,-1,NaN
402510015,66,NaN,NaN,NaN,NaN,91,NaN,51,74,NaN,NaN,NaN,NaN,NaN,NaN,73,67,NaN,NaN,NaN,NaN,NaN,73,75,82,NaN,NaN,60,NaN,NaN,82,-1,57,NaN,-1,54,-1,NaN,66,NaN,NaN,NaN,62,71,NaN,70,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402510016,70,NaN,NaN,NaN,NaN,NaN,NaN,60,64,NaN,NaN,NaN,90,NaN,NaN,80,NaN,63,NaN,NaN,NaN,NaN,84,NaN,81,NaN,NaN,NaN,70,NaN,79,72,NaN,68,NaN,62,74,NaN,NaN,NaN,NaN,NaN,86,70,NaN,84,NaN,78,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,81,86,NaN,NaN,NaN,NaN,NaN
402510019,97,NaN,NaN,NaN,NaN,NaN,80,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510020,71,NaN,NaN,NaN,NaN,NaN,NaN,78,75,NaN,NaN,NaN,NaN,90,NaN,86,NaN,82,NaN,NaN,NaN,NaN,81,85,81,NaN,NaN,NaN,98,NaN,NaN,89,NaN,80,NaN,91,NaN,NaN,95,NaN,NaN,NaN,97,72,NaN,91,NaN,85,NaN,NaN,93,NaN,NaN,95,-1,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN
402510021,63,NaN,NaN,NaN,NaN,91,NaN,71,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,74,67,75,NaN,NaN,NaN,81,NaN,84,64,NaN,73,NaN,68,75,87,61,NaN,NaN,NaN,90,67,NaN,82,NaN,78,NaN,NaN,84,NaN,NaN,82,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN
402510022,75,NaN,NaN,NaN,NaN,NaN,NaN,73,65,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,76,44,NaN,NaN,NaN,NaN,79,NaN,NaN,68,NaN,65,NaN,85,84,NaN,78,NaN,NaN,NaN,92,81,NaN,89,77,NaN,NaN,78,NaN,NaN,NaN,78,NaN,NaN,83,84,NaN,NaN,NaN,NaN,NaN
