id,5151032@初級會計學（一）@1@1,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5151013@經濟學原理（二）@2@1,5151033@初級會計學（二）@2@1,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@2,5153173@金融倫理學@1@1,5154441@不動產概論@1@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@2,5152200@投資學@2@1,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5152400@商用軟體應用與設計@2@2,5153351@財務風險管理@2@1,5152100@財務管理（一）@1@3,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153300@金融市場與機構@1@1,5153300@金融市場與機構@1@2,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5153340@期貨與選擇權@1@2,5154172@財務金融個案研究@1@1,5154220@證券分析@1@1,5154314@金融風險與金控公司管理@1@1,5154400@風險管理與保險@1@1,5152101@財務管理（二）@2@3,5153100@財務理論與政策@2@1,5154171@高階財務管理@2@1,5154180@國際財務管理@2@1,5154180@國際財務管理@2@2,5154340@實質選擇權@2@1,5154411@人身風險與退休規畫@2@1,5154661@財務預測@2@1,5154172@財務金融個案研究@1@2,5154210@投資組合分析@1@1,5154350@國際金融市場@1@1,5153174@企業價值評估@2@1,5154315@銀行管理@2@1,5154320@投資銀行@2@1,5154400@風險管理與保險@2@1
401515001,88,NaN,85,92,82,NaN,NaN,NaN,86,82,NaN,82,NaN,NaN,100,86,NaN,93,NaN,NaN,87,NaN,NaN,84,86,91,NaN,81,75,NaN,NaN,NaN,96,NaN,NaN,92,NaN,NaN,94,NaN,NaN,90,90,NaN,NaN,NaN,NaN,NaN,NaN
401515002,71,NaN,NaN,68,73,82,NaN,NaN,82,75,NaN,80,NaN,NaN,72,74,NaN,91,NaN,NaN,83,82,NaN,72,82,75,NaN,84,72,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,77,NaN,86,78,86,94,NaN,NaN,NaN,NaN,NaN
401515003,87,NaN,80,82,67,NaN,NaN,NaN,72,77,NaN,82,NaN,NaN,84,72,NaN,97,NaN,NaN,84,NaN,NaN,76,85,NaN,90,82,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN
401515004,71,NaN,NaN,71,70,83,NaN,NaN,78,73,NaN,81,NaN,NaN,85,73,NaN,NaN,81,NaN,94,78,NaN,81,80,NaN,80,80,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,85,83,NaN,NaN,NaN,NaN,90,NaN
401515005,83,80,NaN,76,82,NaN,NaN,NaN,73,83,NaN,81,NaN,NaN,100,85,NaN,NaN,80,NaN,84,NaN,NaN,92,88,NaN,82,84,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,87,91,NaN,NaN,NaN,NaN,NaN,NaN
401515006,70,NaN,NaN,77,67,82,NaN,NaN,74,70,NaN,72,NaN,NaN,77,NaN,89,80,NaN,NaN,81,NaN,NaN,70,85,77,NaN,81,78,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,82,NaN,87,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
401515007,91,NaN,85,82,83,NaN,NaN,NaN,84,86,NaN,79,NaN,NaN,86,76,NaN,89,NaN,NaN,86,87,NaN,80,92,NaN,88,88,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,87,NaN,NaN,91,87,93,NaN,NaN,NaN,90,NaN
401515008,84,NaN,NaN,70,77,NaN,82,NaN,66,74,NaN,79,NaN,NaN,89,81,NaN,92,NaN,NaN,86,78,NaN,73,87,NaN,85,88,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,86,88,90,NaN,NaN,NaN,NaN,NaN
401515009,90,NaN,85,80,81,NaN,NaN,NaN,93,82,NaN,84,NaN,NaN,94,90,NaN,92,NaN,NaN,94,82,NaN,85,91,NaN,92,90,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,91,91,100,NaN,92,NaN,94,NaN
401515010,82,NaN,NaN,77,72,NaN,82,NaN,82,75,NaN,85,NaN,NaN,100,78,NaN,NaN,84,NaN,87,NaN,NaN,80,85,NaN,84,79,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,77,NaN,NaN,90,91,NaN,83,NaN,NaN,88,NaN
