id,5155052@行為財務學@2@1,5155231@期貨市場@2@1,5155235@選擇權市場@2@1,5155562@資本市場與基金組合管理@2@1,5155660@財務報表分析@2@1,5155908@財務金融專題研討（一）@2@1,5156120@財務計劃與管理專題研討@2@1,5156210@投資組合分析@2@1,5157173@公司理財專題研討@2@1,5158210@公司治理專題研討@2@1,5155100@財務管理@1@1,5155100@財務管理@1@2,5155200@投資管理學@1@1,5155200@投資管理學@1@2,5155300@金融市場與機構@1@1,5155300@金融市場與機構@1@2,5155650@計量經濟學（一）@1@1,5155909@財務金融專題研討（二）@1@1,5156121@市場微結構@1@1,5156130@金融倫理學@1@1,5156300@財金個案研究@1@1,5155173@財務程式設計@2@1,5155504@保險財務與精算@2@1,5155653@財務計量與實證@2@1,5156244@結構型證券@2@1,5156382@國際金融@2@1
605515014,91,94,97,98,NaN,96,85,94,NaN,97,NaN,95,NaN,98,NaN,95,96,99,NaN,91,93,NaN,NaN,NaN,NaN,NaN
605515017,91,81,NaN,NaN,-1,86,NaN,NaN,91,NaN,79,NaN,71,NaN,88,NaN,85,99,86,NaN,NaN,NaN,-1,-1,NaN,NaN
605515024,91,93,NaN,NaN,97,96,NaN,NaN,90,97,85,NaN,92,NaN,90,NaN,93,99,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
605515001,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,95,NaN,93,NaN,94,NaN,93,NaN,88,NaN,NaN,NaN,-1,NaN,NaN,NaN
605515002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,87,NaN,90,NaN,87,NaN,93,99,90,NaN,NaN,-1,-1,NaN,NaN,-1
605515005,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,96,NaN,95,NaN,98,NaN,95,NaN,93,NaN,NaN,-1,NaN,-1,-1,NaN
605515006,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,90,NaN,NaN,95,90,NaN,86,NaN,92,NaN,NaN,-1,NaN,NaN,-1,NaN
605515007,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,92,NaN,94,NaN,93,NaN,90,99,84,NaN,NaN,-1,NaN,NaN,NaN,-1
605515009,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,85,NaN,94,NaN,92,NaN,84,NaN,88,NaN,NaN,NaN,-1,-1,NaN,NaN
605515012,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,85,NaN,97,NaN,86,NaN,80,NaN,80,NaN,NaN,NaN,-1,-1,NaN,NaN
605515013,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,74,NaN,90,NaN,88,NaN,77,NaN,80,NaN,NaN,-1,-1,-1,NaN,NaN
605515016,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,77,NaN,90,NaN,85,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
605515019,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,86,NaN,93,NaN,90,NaN,80,NaN,80,NaN,NaN,-1,NaN,-1,NaN,NaN
605515020,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,91,NaN,89,NaN,91,NaN,80,NaN,80,NaN,NaN,-1,NaN,-1,NaN,NaN
605515021,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,86,NaN,81,NaN,87,NaN,85,NaN,87,NaN,NaN,-1,-1,NaN,NaN,-1
605515022,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,89,NaN,94,NaN,89,NaN,92,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
605515023,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,77,NaN,87,NaN,92,NaN,77,NaN,80,NaN,NaN,-1,NaN,-1,NaN,NaN
605515025,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,85,NaN,78,NaN,72,NaN,70,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
605515026,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,90,NaN,88,NaN,93,NaN,92,NaN,87,NaN,NaN,-1,-1,-1,-1,NaN
605515028,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,90,NaN,NaN,93,87,NaN,88,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
605515030,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,98,NaN,88,NaN,NaN,94,90,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
605515035,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,89,NaN,87,NaN,87,NaN,94,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
605515036,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,90,NaN,95,NaN,87,NaN,83,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
605515037,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,87,NaN,96,NaN,94,NaN,90,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
605515040,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,83,NaN,85,NaN,85,NaN,70,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
605515041,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,88,NaN,71,NaN,77,NaN,81,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
