id,5201001@企業概論@1@2,5201001@企業概論@1@4,5201002@管理學@2@1,5201012@統計學（一）@2@1,5201013@企業倫理@2@1,5201001@企業概論@1@3,5202001@行銷管理@1@2,5203083@領導學@1@1,5201002@管理學@2@3,5201007@線性代數@2@1,5201009@商用軟體應用與設計@2@2,5202005@組織行為@2@1,5202012@運籌管理@2@1,5203056@管理時事英文選讀（二）@2@2,5202001@行銷管理@1@1,5202003@統計學（一）@1@2,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5201011@初級會計學(二)@2@2,5202005@組織行為@2@2,5202013@管理資訊系統概論@2@1,5202013@管理資訊系統概論@2@2,5203006@人文與企業倫理專題@2@1,5203082@期貨與選擇權實務@2@1,5204031@廣告管理@2@1,5203002@人力資源管理@1@1,5204002@策略管理@1@1,5204002@策略管理@1@2,5204076@人文思考與創造力@1@1,5204089@人文與企業倫理專題@1@1,5201007@線性代數@2@2,5203079@行銷個案研討@2@1,5204061@專案管理@2@1
401110013,84,NaN,87,97,NaN,NaN,80,NaN,NaN,86,NaN,89,75,NaN,NaN,NaN,80,79,NaN,NaN,88,NaN,89,93,NaN,93,88,NaN,78,NaN,NaN,NaN,NaN
401110029,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110035,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110052,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110039,NaN,NaN,NaN,NaN,85,91,NaN,NaN,93,NaN,84,NaN,80,NaN,78,91,90,75,90,91,NaN,91,86,80,86,88,NaN,86,89,NaN,96,90,67
401110015,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110012,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN
401110020,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110033,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110047,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110041,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
