id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5201002@管理學@2@1,5201002@管理學@2@2,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201012@統計學（一）@2@1,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5203051@管理時事英文選讀（一）@2@1,5201012@統計學（一）@1@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202004@統計學（二）@1@1,5202009@管理科學概論@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5202041@服務業行銷管理@1@1,5203083@領導學@1@1,5202004@統計學（二）@2@1,5202005@組織行為@2@1,5202005@組織行為@2@2,5202012@運籌管理@2@1,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5203006@人文與企業倫理專題@2@1,5203056@管理時事英文選讀（二）@2@1,5203056@管理時事英文選讀（二）@2@2,5203073@消費者行為@2@1,5203082@期貨與選擇權實務@2@1,5204036@衍生性商品與風險管理@2@1,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5203002@人力資源管理@1@1,5203002@人力資源管理@1@2,5203069@產業競爭分析@1@1,5203073@消費者行為@1@1,5204002@策略管理@1@1,5204002@策略管理@1@2,5204051@高階財務管理@1@1,5204070@國際財務管理@1@1,5204076@人文思考與創造力@1@1,5202013@管理資訊系統概論@2@2,5203043@管理經濟學@2@1,5203045@系統模擬@2@1,5203083@領導學@2@1,5204031@廣告管理@2@1,5204061@專案管理@2@1,5204081@品牌管理@2@1,5204036@衍生性商品與風險管理@1@1,5203078@非營利組織會計@2@1,5203079@行銷個案研討@2@1,5203056@管理時事英文選讀（二）@1@1,5203060@訓練與發展@1@1
401520002,82,NaN,NaN,NaN,NaN,88,78,NaN,NaN,83,78,NaN,90,NaN,NaN,NaN,79,96,82,NaN,NaN,89,NaN,NaN,NaN,88,NaN,NaN,92,81,83,NaN,NaN,80,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,80,92,NaN,82,NaN,NaN,NaN,85,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520003,86,NaN,85,NaN,NaN,82,75,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,92,NaN,NaN,83,NaN,NaN,92,92,NaN,NaN,93,NaN,NaN,91,88,92,79,NaN,98,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520004,86,NaN,NaN,NaN,NaN,70,53,73,72,NaN,61,90,NaN,NaN,NaN,76,NaN,80,52,76,78,NaN,80,NaN,NaN,60,NaN,70,NaN,NaN,65,NaN,58,NaN,NaN,NaN,78,NaN,84,NaN,NaN,NaN,84,NaN,78,NaN,NaN,68,NaN,NaN,78,80,64,80,NaN,NaN,NaN,NaN,NaN
401520006,78,NaN,NaN,NaN,NaN,88,85,NaN,91,NaN,86,90,NaN,88,NaN,86,NaN,96,91,NaN,NaN,79,NaN,NaN,NaN,92,NaN,NaN,87,88,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,82,88,NaN,NaN,NaN,89,NaN,NaN,NaN,92,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN
401520008,81,NaN,NaN,NaN,NaN,86,87,NaN,88,NaN,76,90,NaN,NaN,NaN,88,NaN,89,91,NaN,NaN,88,NaN,NaN,NaN,86,NaN,NaN,88,90,90,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,90,93,NaN,89,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520010,69,NaN,NaN,NaN,NaN,74,66,NaN,NaN,NaN,58,90,NaN,NaN,NaN,NaN,20,NaN,NaN,7,3,NaN,86,NaN,NaN,NaN,46,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520012,78,NaN,NaN,NaN,NaN,75,79,NaN,89,NaN,87,90,NaN,76,NaN,NaN,79,NaN,NaN,84,87,NaN,NaN,NaN,83,78,NaN,91,NaN,88,87,73,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,92,86,NaN,89,NaN,82,NaN,NaN,NaN,88,92,85,NaN,NaN,NaN,NaN,NaN,NaN
401520014,73,NaN,NaN,NaN,NaN,68,68,NaN,76,NaN,73,NaN,90,NaN,NaN,NaN,74,NaN,64,NaN,NaN,70,NaN,NaN,61,86,NaN,NaN,78,77,72,NaN,NaN,NaN,78,NaN,NaN,NaN,87,NaN,NaN,72,78,NaN,NaN,NaN,72,NaN,NaN,NaN,68,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520016,72,NaN,NaN,NaN,NaN,78,66,NaN,NaN,75,71,NaN,90,57,NaN,NaN,78,NaN,NaN,67,66,NaN,NaN,NaN,NaN,73,NaN,NaN,69,NaN,83,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,90,NaN,77,NaN,78,NaN,NaN,64,NaN,70,77,NaN,NaN,95,NaN,NaN
401520018,87,NaN,NaN,NaN,NaN,84,NaN,80,NaN,90,80,NaN,90,NaN,NaN,NaN,80,NaN,96,NaN,NaN,75,NaN,NaN,85,NaN,90,NaN,86,81,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520020,76,NaN,NaN,NaN,NaN,77,97,NaN,NaN,86,81,NaN,90,NaN,NaN,NaN,82,NaN,92,NaN,NaN,88,NaN,NaN,80,85,NaN,NaN,87,84,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,77,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520024,94,NaN,NaN,NaN,NaN,94,NaN,100,NaN,89,90,NaN,90,93,NaN,NaN,84,83,NaN,96,80,NaN,NaN,NaN,NaN,90,NaN,NaN,90,89,85,86,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,96,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
401520026,76,NaN,NaN,NaN,NaN,87,NaN,83,NaN,NaN,92,90,NaN,NaN,NaN,NaN,79,NaN,NaN,79,92,NaN,NaN,NaN,NaN,90,NaN,NaN,74,74,82,NaN,89,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,81,NaN,NaN,NaN,NaN
