id,5201001@企業概論@1@4,5201001@企業概論@1@5,5201010@初級會計學(一)@1@2,5202003@統計學（一）@1@1,5201002@管理學@2@2,5201007@線性代數@2@1,5201009@商用軟體應用與設計@2@1,5202005@組織行為@2@1,5202012@運籌管理@2@1,5201001@企業概論@1@3,5202001@行銷管理@1@2,5202009@管理科學概論@1@2,5202011@財務管理@1@2,5204076@人文思考與創造力@1@1,5203056@管理時事英文選讀（二）@1@1,5203060@訓練與發展@1@1,5203073@消費者行為@1@1,5204002@策略管理@1@1,5201001@企業概論@2@1,5201009@商用軟體應用與設計@2@2,5201011@初級會計學(二)@2@2,5202013@管理資訊系統概論@2@2,5203006@人文與企業倫理專題@2@1,5203051@管理時事英文選讀（一）@2@1
402125015,79,NaN,76,75,89,90,87,87,80,NaN,82,100,97,82,NaN,88,98,80,NaN,NaN,NaN,-1,-1,NaN
402125024,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125016,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125009,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125042,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125052,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
402125054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
402125025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
