id,5201001@企業概論@1@4,5201001@企業概論@1@5,5201010@初級會計學(一)@1@2,5202003@統計學（一）@1@1,5201002@管理學@2@1,5201002@管理學@2@2,5201002@管理學@2@3,5201007@線性代數@2@1,5201011@初級會計學(二)@2@1,5202004@統計學（二）@2@1,5202005@組織行為@2@1,5202005@組織行為@2@2,5202012@運籌管理@2@1,5202013@管理資訊系統概論@2@2,5203051@管理時事英文選讀（一）@2@1,5203073@消費者行為@2@1,5204061@專案管理@2@1,5202001@行銷管理@1@2,5202011@財務管理@1@1,5203002@人力資源管理@1@1,5204076@人文思考與創造力@1@1,5201009@商用軟體應用與設計@2@1,5202013@管理資訊系統概論@2@1,5203006@人文與企業倫理專題@2@1,5201001@企業概論@1@3,5202003@統計學（一）@1@2,5202009@管理科學概論@1@1,5202012@運籌管理@1@1,5202041@服務業行銷管理@1@1,5204002@策略管理@1@2,5201001@企業概論@2@1,5203079@行銷個案研討@2@1,5203083@領導學@2@1
402335004,78,NaN,95,97,77,NaN,NaN,92,93,97,NaN,86,81,NaN,NaN,NaN,80,80,90,93,NaN,81,79,83,NaN,NaN,66,NaN,NaN,82,NaN,NaN,NaN
402335007,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402335032,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402335037,75,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,83,80,NaN,NaN,NaN,86,69,87,85,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,90,NaN,NaN,NaN
402335048,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402335011,NaN,81,90,NaN,NaN,71,NaN,-1,NaN,NaN,88,NaN,74,NaN,NaN,NaN,-1,80,73,90,NaN,NaN,81,NaN,NaN,85,NaN,NaN,90,87,NaN,-1,-1
402335012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402335022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402335044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402335036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN
402335046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
