id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201012@統計學（一）@1@1,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5201002@管理學@2@1,5201002@管理學@2@2,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5202004@統計學（二）@2@1,5202012@運籌管理@2@1,5203056@管理時事英文選讀（二）@2@1,5203056@管理時事英文選讀（二）@2@2,5201010@初級會計學(一)@1@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202003@統計學（一）@1@1,5202003@統計學（一）@1@2,5202009@管理科學概論@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5203002@人力資源管理@1@1,5201002@管理學@2@3,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5202005@組織行為@2@1,5202005@組織行為@2@2,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5203006@人文與企業倫理專題@2@1,5203043@管理經濟學@2@1,5203045@系統模擬@2@1,5203051@管理時事英文選讀（一）@2@1,5203073@消費者行為@2@1,5203082@期貨與選擇權實務@2@1,5203084@企業倫理@2@1,5204031@廣告管理@2@1,5204061@專案管理@2@1,5204081@品牌管理@2@1,5201010@初級會計學(一)@1@2,5203002@人力資源管理@1@2,5203073@消費者行為@1@1,5204002@策略管理@1@1,5204002@策略管理@1@2,5204036@衍生性商品與風險管理@1@1,5204076@人文思考與創造力@1@1,5202013@管理資訊系統概論@2@2,5203078@非營利組織會計@2@1,5203079@行銷個案研討@2@1,5203083@領導學@2@1,5202041@服務業行銷管理@1@1,5203056@管理時事英文選讀（二）@1@1,5203060@訓練與發展@1@1,5204070@國際財務管理@1@1,5204089@人文與企業倫理專題@1@1,5202039@組織行為@2@1,5203077@全面品質管理@2@1
402520001,75,NaN,79,NaN,85,78,NaN,96,NaN,NaN,90,NaN,NaN,81,80,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,92,90,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,82,NaN,NaN,NaN,77,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520007,84,NaN,NaN,85,NaN,82,NaN,88,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,94,83,NaN,NaN,80,89,NaN,NaN,NaN,97,NaN,84,85,86,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,85,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
402520009,83,NaN,90,85,NaN,82,NaN,88,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,93,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,-1,NaN,84,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,93,86,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402520013,91,NaN,NaN,85,NaN,88,NaN,100,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN
402520015,86,NaN,NaN,NaN,85,NaN,71,86,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,98,NaN,84,95,NaN,86,NaN,NaN,NaN,94,NaN,85,NaN,90,NaN,NaN,81,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,77,NaN,87,87,92,NaN,NaN,NaN,NaN,NaN,NaN
402520017,72,NaN,NaN,85,NaN,71,NaN,67,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,83,NaN,77,85,NaN,92,NaN,NaN,NaN,NaN,77,60,NaN,90,91,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,75,NaN,94,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520019,81,NaN,77,NaN,85,76,NaN,86,NaN,82,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,92,NaN,NaN,89,91,NaN,NaN,NaN,96,NaN,87,NaN,83,NaN,-1,80,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,90,82,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520021,78,NaN,NaN,85,NaN,75,NaN,69,NaN,84,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,68,NaN,93,NaN,93,90,NaN,88,NaN,NaN,NaN,97,NaN,93,NaN,84,NaN,-1,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,80,NaN,NaN,NaN,67,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520023,65,NaN,NaN,85,NaN,68,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520025,78,NaN,71,85,NaN,NaN,64,NaN,62,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,68,66,NaN,NaN,NaN,NaN,70,82,NaN,NaN,NaN,NaN,NaN,92,NaN,79,74,84,NaN,NaN,85,NaN,87,NaN,NaN,NaN,NaN,NaN,84,85,80,NaN,NaN,NaN,NaN,NaN,94,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520027,78,NaN,NaN,NaN,85,NaN,74,68,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,79,70,NaN,89,NaN,NaN,NaN,93,NaN,77,82,86,NaN,NaN,77,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,-1
402520029,66,NaN,NaN,NaN,85,64,NaN,69,NaN,NaN,83,NaN,NaN,89,NaN,NaN,NaN,61,55,77,NaN,85,NaN,69,83,NaN,86,NaN,NaN,76,79,NaN,81,80,75,NaN,NaN,-1,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
