id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5202003@統計學（一）@1@2,5202009@管理科學概論@1@1,5201002@管理學@2@1,5201002@管理學@2@2,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5202012@運籌管理@2@1,5203051@管理時事英文選讀（一）@2@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202003@統計學（一）@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5203073@消費者行為@1@1,5202004@統計學（二）@2@1,5202005@組織行為@2@1,5202005@組織行為@2@2,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5202013@管理資訊系統概論@2@2,5203006@人文與企業倫理專題@2@1,5203043@管理經濟學@2@1,5203078@非營利組織會計@2@1,5203082@期貨與選擇權實務@2@1,5203083@領導學@2@1,5203084@企業倫理@2@1,5204061@專案管理@2@1,5202007@民法概要@1@1,5202041@服務業行銷管理@1@1,5203002@人力資源管理@1@1,5203002@人力資源管理@1@2,5203056@管理時事英文選讀（二）@1@1,5203060@訓練與發展@1@1,5204002@策略管理@1@1,5204002@策略管理@1@2,5204070@國際財務管理@1@1,5204071@非營利組織財務管理@1@1,5204076@人文思考與創造力@1@1,5202039@組織行為@2@1,5202039@組織行為@2@2,5203045@系統模擬@2@1,5203077@全面品質管理@2@1,5203079@行銷個案研討@2@1
403520002,81,NaN,NaN,73,NaN,NaN,86,77,78,NaN,93,NaN,NaN,NaN,NaN,80,NaN,80,NaN,80,83,NaN,NaN,NaN,NaN,99,92,NaN,NaN,90,94,NaN,-1,-1,86,NaN,NaN,-1,-1,91,NaN,NaN,92,NaN,90,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1
403520006,78,NaN,NaN,93,NaN,NaN,NaN,91,NaN,83,93,NaN,NaN,NaN,86,NaN,NaN,80,89,NaN,NaN,82,93,NaN,79,NaN,NaN,NaN,NaN,91,NaN,-1,NaN,87,NaN,NaN,NaN,NaN,-1,NaN,NaN,92,NaN,91,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520008,75,NaN,NaN,76,NaN,NaN,92,NaN,74,NaN,92,NaN,80,NaN,84,NaN,NaN,80,85,NaN,NaN,73,NaN,81,73,NaN,NaN,NaN,NaN,80,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403520010,83,NaN,NaN,81,NaN,NaN,95,88,NaN,83,83,NaN,81,NaN,NaN,NaN,82,NaN,90,61,NaN,76,NaN,NaN,75,NaN,83,NaN,79,NaN,NaN,NaN,-1,-1,NaN,NaN,84,NaN,NaN,NaN,NaN,90,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520012,75,NaN,NaN,66,NaN,NaN,NaN,83,66,NaN,73,NaN,66,NaN,NaN,66,NaN,85,94,NaN,NaN,78,87,NaN,NaN,90,86,-1,NaN,83,NaN,-1,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,87,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1
403520016,80,NaN,NaN,75,NaN,NaN,85,NaN,74,NaN,NaN,84,78,NaN,NaN,77,NaN,80,-1,NaN,NaN,80,NaN,76,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403520018,75,NaN,NaN,76,NaN,NaN,NaN,63,75,NaN,93,NaN,81,NaN,NaN,84,82,NaN,NaN,NaN,72,NaN,92,NaN,NaN,94,NaN,NaN,74,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,82,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520020,80,NaN,NaN,77,NaN,NaN,89,100,NaN,87,NaN,89,85,NaN,NaN,NaN,82,NaN,94,NaN,NaN,83,NaN,NaN,81,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,90,79,90,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN
403520022,66,NaN,54,26,NaN,NaN,NaN,6,NaN,62,48,60,65,NaN,NaN,NaN,NaN,60,50,NaN,71,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520024,78,NaN,NaN,85,NaN,NaN,69,63,73,NaN,51,48,75,NaN,75,NaN,82,NaN,78,NaN,65,NaN,NaN,NaN,NaN,72,71,NaN,66,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,60,NaN,NaN,NaN,NaN,90,NaN,NaN,92,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,-1
