id,5201001@企業概論@1@2,5201002@管理學@2@3,5201001@企業概論@1@1,5201001@企業概論@1@3,5201001@企業概論@1@4,5201010@初級會計學(一)@1@1,5201015@經濟學原理（一）@1@1,5202001@行銷管理@1@1,5202003@統計學（一）@1@1,5202007@民法概要@1@1,5202009@管理科學概論@1@1,5202041@服務業行銷管理@1@1,5201001@企業概論@2@1,5201002@管理學@2@1,5201007@線性代數@2@1,5201009@商用軟體應用與設計@2@1,5202012@運籌管理@2@1,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@2,5202039@組織行為@2@2,5204061@專案管理@2@1
404335007,61,75,NaN,NaN,NaN,60,NaN,48,NaN,NaN,11,50,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1
404335028,NaN,NaN,88,NaN,NaN,98,NaN,NaN,NaN,83,91,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN
404335006,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335009,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335027,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335041,NaN,NaN,NaN,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335042,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335039,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335050,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335047,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335017,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
