id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5201002@管理學@2@1,5201002@管理學@2@2,5201002@管理學@2@3,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5204061@專案管理@2@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202003@統計學（一）@1@1,5202003@統計學（一）@1@2,5202007@民法概要@1@1,5202009@管理科學概論@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5202041@服務業行銷管理@1@1,5203002@人力資源管理@1@1,5203056@管理時事英文選讀（二）@1@1,5204076@人文思考與創造力@1@1,5201016@經濟學原理(二)@2@1,5202004@統計學（二）@2@1,5202012@運籌管理@2@1,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5202013@管理資訊系統概論@2@2,5202039@組織行為@2@1,5202039@組織行為@2@2,5203006@人文與企業倫理專題@2@1,5203043@管理經濟學@2@1,5203045@系統模擬@2@1,5203051@管理時事英文選讀（一）@2@1,5203078@非營利組織會計@2@1,5203079@行銷個案研討@2@1,5203082@期貨與選擇權實務@2@1,5203083@領導學@2@1,5203084@企業倫理@2@1
404520002,81,NaN,NaN,78,NaN,NaN,73,NaN,NaN,NaN,78,87,NaN,NaN,92,NaN,96,NaN,80,NaN,NaN,91,84,93,NaN,98,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404520004,71,NaN,NaN,60,NaN,NaN,65,NaN,NaN,79,NaN,-1,NaN,72,NaN,NaN,95,NaN,NaN,75,NaN,89,83,79,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
404520006,75,NaN,NaN,74,NaN,NaN,74,NaN,NaN,82,NaN,NaN,NaN,77,NaN,97,NaN,NaN,NaN,78,NaN,88,68,74,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520010,82,NaN,NaN,84,NaN,NaN,82,NaN,NaN,NaN,93,NaN,NaN,84,NaN,98,NaN,NaN,81,NaN,NaN,99,78,97,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
404520011,62,NaN,NaN,64,NaN,70,64,NaN,NaN,45,-1,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,71,NaN,78,NaN,40,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520016,73,NaN,NaN,73,NaN,NaN,NaN,72,NaN,NaN,75,76,NaN,82,NaN,93,NaN,NaN,NaN,75,NaN,89,85,NaN,71,NaN,79,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404520018,80,NaN,NaN,82,NaN,NaN,75,NaN,NaN,NaN,100,89,NaN,90,NaN,96,NaN,NaN,74,NaN,NaN,98,72,100,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520020,72,NaN,NaN,66,NaN,NaN,NaN,73,NaN,NaN,78,NaN,80,73,NaN,94,NaN,NaN,NaN,66,NaN,87,82,NaN,51,NaN,65,NaN,NaN,56,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520021,70,NaN,NaN,54,90,NaN,NaN,69,NaN,81,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,74,88,NaN,74,81,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520026,68,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
