id,5201001@企業概論@1@1,5201002@管理學@2@2,5201002@管理學@2@3,5201001@企業概論@1@4,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5202001@行銷管理@1@2,5202003@統計學（一）@1@1,5202007@民法概要@1@1,5202041@服務業行銷管理@1@1,5201001@企業概論@2@1,5201007@線性代數@2@2,5201011@初級會計學(二)@2@2,5202012@運籌管理@2@1,5202039@組織行為@2@2,5203045@系統模擬@2@1,5203077@全面品質管理@2@1,5203079@行銷個案研討@2@1,5204061@專案管理@2@1
404710010,64,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
404710030,NaN,NaN,97,NaN,86,NaN,76,95,86,90,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1
404710003,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404710016,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404710025,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404710008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404710021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
404710022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
404710027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404710032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404710009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
404710035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
