id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5201015@經濟學原理（一）@1@1,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5201001@企業概論@2@1,5201002@管理學@2@1,5201002@管理學@2@2,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5201016@經濟學原理(二)@2@1,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5203051@管理時事英文選讀（一）@2@1,5203078@非營利組織會計@2@1
405520002,88,NaN,80,NaN,80,93,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520004,88,NaN,NaN,88,NaN,93,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520005,68,NaN,86,NaN,77,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
405520007,62,NaN,70,NaN,77,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405520008,80,NaN,NaN,95,NaN,93,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405520009,84,NaN,89,NaN,80,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
405520010,90,NaN,NaN,78,NaN,98,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405520012,87,NaN,NaN,80,NaN,98,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520013,87,NaN,86,NaN,79,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
405520015,80,NaN,87,NaN,78,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
405520016,93,NaN,NaN,85,NaN,93,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520017,79,NaN,95,NaN,87,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
405520019,40,NaN,61,NaN,74,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
405520021,85,NaN,99,NaN,85,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
405520023,83,NaN,91,NaN,86,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405520024,82,NaN,NaN,73,NaN,93,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520025,60,NaN,83,NaN,76,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
405520027,86,NaN,92,NaN,78,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405520029,82,NaN,97,NaN,81,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
405520031,82,NaN,86,NaN,84,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
405520032,84,NaN,83,NaN,75,93,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405520033,89,NaN,90,NaN,93,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
405520034,76,NaN,85,NaN,76,93,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520037,64,NaN,79,NaN,72,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405520038,60,NaN,66,NaN,69,93,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520039,91,NaN,91,NaN,85,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
405520041,81,NaN,84,NaN,86,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
405520043,73,NaN,90,NaN,80,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1
405520048,82,NaN,82,NaN,80,NaN,91,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520049,81,NaN,79,NaN,78,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
405520051,79,NaN,93,NaN,97,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
405520053,69,NaN,55,NaN,78,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
405520056,81,NaN,88,NaN,81,NaN,90,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1
405520057,60,NaN,42,NaN,70,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
405520061,65,NaN,86,NaN,83,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405520063,60,NaN,40,NaN,67,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405520065,70,NaN,67,NaN,78,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
405520066,62,NaN,NaN,75,NaN,NaN,90,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405520067,83,NaN,NaN,92,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN
405520068,83,NaN,NaN,81,NaN,NaN,90,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
