id,5205001@組織理論與管理@1@1,5205004@人力資源管理@1@1,5205006@行銷管理@1@1,5205008@財務管理@1@1,5205016@運籌管理@1@1,5205069@消費者行為@1@1,5205097@服務業行銷管理@1@1,5205110@組織學習@1@1,5205127@決策分析@1@1,5205159@人文領導與企業倫理@1@1,5205002@研究方法@2@1,5205015@策略管理@2@1,5205054@管理科學@2@1,5205058@投資分析@2@1,5205106@組織發展@2@1,5205109@管理時事英文選讀@2@1,5205122@網路行銷@2@1,5205153@系統思考@2@1,5205199@人力資源發展@2@1,5205210@管理專案實習（一）@2@1,5205215@行銷文案寫作與溝通@2@1,5205216@企業實習@2@1,5206142@電腦套裝軟體應用@2@1,5205005@管理資訊系統@1@1,5205040@多變量分析@1@1,5205056@系統模擬@1@1,5205057@廣告管理@1@1,5205061@專案管理@1@1,5205067@國際企業@1@1,5205200@人力招募與甄選@1@1,5205205@管理專題講座@1@1,5205211@影像．故事．行銷創意@1@1,5205212@管理專案實習（二）@1@1,5205217@國際經營個案@1@1,5205146@環境與市場分析@2@1,5205158@金融市場與機構@2@1,5205203@國際人力資源管理@2@1,5205218@零售管理@2@1,5206200@財務與投資專題研討@2@1,5205164@品牌管理@1@1,5205209@企業形象與招募專題@1@1,5205219@高階財務管理@1@1,5205064@公司理財研討@2@1,5205107@國際財務管理@2@1
603520001,88,88,92,90,85,NaN,NaN,NaN,NaN,NaN,82,94,75,85,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,86,NaN,90,NaN,95,NaN,NaN,91,NaN,90,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN
603520002,86,NaN,90,87,85,NaN,92,82,85,87,91,89,NaN,NaN,NaN,80,NaN,90,96,88,NaN,90,NaN,88,NaN,NaN,NaN,NaN,NaN,90,89,90,91,NaN,NaN,NaN,91,90,NaN,NaN,NaN,NaN,NaN,NaN
603520003,86,86,90,79,86,84,NaN,NaN,NaN,87,85,95,NaN,NaN,93,85,96,NaN,NaN,86,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,94,NaN,89,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520004,89,80,90,89,84,89,NaN,76,NaN,NaN,87,96,79,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,84,NaN,NaN,NaN,94,NaN,NaN,87,88,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520005,87,NaN,91,91,86,NaN,88,NaN,NaN,91,92,96,NaN,NaN,85,87,96,NaN,NaN,88,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,94,NaN,88,NaN,75,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520006,80,80,90,83,88,NaN,88,NaN,NaN,85,83,92,75,87,95,NaN,NaN,NaN,NaN,90,NaN,NaN,86,84,NaN,92,NaN,94,NaN,NaN,87,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520007,79,42,88,80,87,NaN,88,NaN,NaN,NaN,81,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520008,82,78,88,81,90,NaN,NaN,NaN,87,89,76,90,85,NaN,NaN,80,NaN,NaN,NaN,85,NaN,NaN,NaN,74,NaN,86,NaN,NaN,87,NaN,87,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520011,85,78,90,82,86,90,NaN,NaN,NaN,87,89,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,92,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520012,86,81,92,NaN,87,76,NaN,70,NaN,NaN,88,89,NaN,88,NaN,NaN,NaN,NaN,NaN,82,90,NaN,NaN,80,NaN,92,NaN,94,NaN,NaN,87,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
