id,5261104@初級會計學（一）@1@1,5261888@學系服務學習@1@1,5261105@初級會計學（二）@2@1,5261608@資料庫管理@2@1,5261888@學系服務學習@2@1,5262100@中級會計學（一）@1@1,5262207@採購管理@1@1,5262209@商業智慧概論@1@1,5263504@租稅法規@1@1,5263605@企業資源規劃@1@1,5262101@中級會計學（二）@2@1,5262106@成本及管理會計學（一）@2@1,5262300@系統分析與設計@2@1,5262700@投資實務@2@1,5263109@審計學（一）@2@1,5263102@高級會計學（一）@1@1,5263106@成本及管理會計學（二）@1@1,5263613@政府會計@1@1,5263615@中級會計學(三)@1@1,5264001@審計學（二）@1@1,5261609@統計學@2@1,5263019@電腦審計@2@1,5263108@高級會計學（二）@2@1,5264004@會計資訊系統@2@1,5264002@財務報表分析@1@1,5264017@電子商務@1@1,5264019@電腦審計@1@1,5264020@資訊安全與管理@1@1,5261105@初級會計學（二）@2@4,5264000@會計資訊系統@2@1,5263001@中級會計學(三)@1@1
401526001,61,90,65,62,NaN,60,78,76,70,76,64,64,61,78,61,60,66,64,72,78,NaN,NaN,32,NaN,60,NaN,84,75,NaN,88,NaN
401526002,62,NaN,77,68,90,89,77,78,72,77,-1,60,-1,85,-1,60,69,NaN,NaN,73,NaN,NaN,-1,NaN,67,NaN,60,81,NaN,87,NaN
401526003,83,95,85,80,NaN,79,92,NaN,91,96,60,83,80,NaN,71,67,62,68,73,80,NaN,89,60,83,84,NaN,NaN,87,NaN,NaN,NaN
401526004,60,NaN,68,64,90,64,82,73,65,79,60,62,60,NaN,60,60,83,62,63,73,NaN,NaN,60,NaN,74,82,82,75,NaN,86,NaN
401526005,82,90,86,78,NaN,92,78,NaN,84,93,87,75,77,86,92,94,93,NaN,85,86,NaN,NaN,86,NaN,83,91,92,81,NaN,91,NaN
401526006,62,NaN,48,63,90,52,92,79,62,77,46,60,64,88,70,53,65,NaN,60,74,NaN,NaN,41,NaN,83,NaN,74,84,72,90,NaN
401526007,82,95,90,73,NaN,92,90,NaN,89,96,91,95,80,87,93,95,92,NaN,95,90,NaN,84,95,91,89,91,NaN,85,NaN,NaN,NaN
401526008,65,NaN,68,78,90,78,89,NaN,75,84,74,64,78,81,86,84,78,NaN,83,77,NaN,NaN,70,91,90,NaN,84,87,NaN,NaN,NaN
401526009,76,90,84,68,NaN,85,84,76,78,89,82,81,65,85,77,92,79,NaN,75,81,NaN,NaN,79,NaN,78,NaN,84,80,NaN,87,NaN
401526010,62,NaN,74,72,90,76,79,NaN,73,86,60,63,72,85,77,74,64,NaN,74,74,NaN,NaN,60,NaN,80,82,90,83,NaN,87,NaN
