id,5261104@初級會計學（一）@1@1,5261611@商用軟體應用與設計@1@1,5261888@學系服務學習@1@1,5262207@採購管理@1@1,5261105@初級會計學（二）@2@1,5261608@資料庫管理@2@1,5261609@統計學@2@1,5261888@學系服務學習@2@1,5262100@中級會計學（一）@1@1,5263504@租稅法規@1@1,5263605@企業資源規劃@1@1,5261105@初級會計學（二）@2@4,5262101@中級會計學（二）@2@1,5262106@成本及管理會計學（一）@2@1,5262300@系統分析與設計@2@1,5263002@企業分析與評價@2@1,5263109@審計學（一）@2@1,5261104@初級會計學（一）@1@2,5262203@公司法@1@1,5263001@中級會計學(三)@1@1,5263102@高級會計學（一）@1@1,5263106@成本及管理會計學（二）@1@1,5264001@審計學（二）@1@1,5264002@財務報表分析@1@1,5264020@資訊安全與管理@1@1,5261105@初級會計學（二）@2@2,5261611@商用軟體應用與設計@2@1,5262205@政府會計@2@1,5262208@網頁應用與程式設計@2@1,5263108@高級會計學（二）@2@1,5264004@會計資訊系統@2@1
403526002,70,73,NaN,78,70,77,87,90,63,75,85,NaN,77,69,84,NaN,-1,NaN,65,82,86,65,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1
403526003,93,54,90,78,84,83,92,NaN,87,89,60,NaN,87,78,63,NaN,-1,NaN,60,87,80,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403526004,85,NaN,NaN,NaN,77,74,83,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403526005,71,79,90,73,70,66,87,NaN,71,90,80,NaN,75,79,62,NaN,NaN,NaN,61,88,83,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403526006,87,92,NaN,82,77,73,83,90,81,95,80,NaN,85,86,81,NaN,-1,NaN,NaN,96,94,84,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
403526007,76,NaN,90,83,66,74,96,NaN,60,72,78,NaN,-1,60,-1,NaN,-1,NaN,60,NaN,56,46,NaN,68,NaN,NaN,NaN,-1,NaN,-1,NaN
403526008,91,83,NaN,82,84,90,95,90,95,91,87,NaN,90,92,87,NaN,-1,NaN,76,94,97,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403526009,78,75,90,80,81,76,87,NaN,82,85,83,NaN,79,70,64,NaN,-1,NaN,NaN,87,83,86,NaN,NaN,76,NaN,NaN,-1,NaN,-1,-1
403526010,76,NaN,NaN,75,73,75,90,90,87,93,72,NaN,84,70,71,NaN,75,NaN,NaN,90,80,73,70,68,NaN,NaN,NaN,-1,NaN,-1,NaN
403526011,84,84,90,79,75,82,81,NaN,72,78,78,NaN,83,75,86,NaN,-1,NaN,64,89,86,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
