id,5261104@初級會計學（一）@1@1,5261888@學系服務學習@1@1,5262207@採購管理@1@1,5261105@初級會計學（二）@2@1,5261610@民法概要@2@1,5261611@商用軟體應用與設計@2@1,5261888@學系服務學習@2@1,5262205@政府會計@2@1
405526002,77,NaN,NaN,-1,-1,-1,-1,NaN
405526003,78,90,NaN,-1,-1,-1,NaN,NaN
405526004,76,NaN,NaN,-1,-1,-1,-1,NaN
405526005,87,90,NaN,-1,-1,-1,NaN,NaN
405526006,75,NaN,NaN,-1,-1,-1,-1,NaN
405526007,81,90,NaN,-1,-1,-1,NaN,NaN
405526008,30,NaN,NaN,-1,-1,-1,-1,NaN
405526009,82,90,NaN,-1,-1,NaN,NaN,NaN
405526010,74,NaN,NaN,-1,-1,-1,-1,NaN
405526011,70,90,NaN,-1,-1,-1,NaN,NaN
405526013,84,90,NaN,-1,-1,-1,NaN,NaN
405526014,60,NaN,NaN,-1,-1,-1,-1,NaN
405526016,74,NaN,NaN,-1,-1,-1,-1,NaN
405526017,72,90,NaN,NaN,NaN,NaN,NaN,NaN
405526018,70,NaN,NaN,-1,-1,-1,-1,NaN
405526019,63,90,NaN,-1,-1,-1,NaN,NaN
405526020,80,NaN,NaN,-1,-1,-1,-1,NaN
405526021,86,90,NaN,-1,-1,-1,NaN,NaN
405526022,96,NaN,NaN,-1,-1,-1,-1,NaN
405526023,80,90,NaN,-1,-1,-1,NaN,NaN
405526024,73,NaN,NaN,-1,-1,-1,-1,NaN
405526025,70,90,NaN,-1,-1,-1,NaN,NaN
405526026,15,NaN,NaN,-1,-1,NaN,-1,NaN
405526027,36,90,84,-1,-1,-1,NaN,NaN
405526028,77,NaN,88,-1,-1,-1,-1,NaN
405526029,62,90,NaN,-1,-1,-1,NaN,NaN
405526031,53,90,NaN,-1,-1,-1,NaN,NaN
405526032,71,NaN,NaN,-1,-1,NaN,-1,NaN
405526033,73,90,NaN,-1,-1,-1,NaN,NaN
405526034,87,NaN,NaN,-1,-1,-1,-1,NaN
405526035,60,90,NaN,-1,-1,-1,NaN,NaN
405526036,75,NaN,NaN,-1,-1,-1,-1,NaN
405526037,66,90,NaN,-1,-1,-1,NaN,NaN
405526038,66,NaN,NaN,-1,-1,NaN,-1,NaN
405526039,13,90,NaN,-1,-1,NaN,NaN,NaN
405526040,65,NaN,NaN,-1,-1,-1,-1,NaN
405526041,67,90,NaN,-1,-1,-1,NaN,NaN
405526044,64,NaN,NaN,-1,-1,-1,-1,NaN
405526045,78,90,NaN,-1,-1,-1,NaN,NaN
405526046,75,NaN,NaN,-1,-1,-1,-1,NaN
405526047,67,90,NaN,-1,-1,NaN,NaN,NaN
405526048,64,NaN,NaN,-1,-1,-1,-1,NaN
405526049,77,90,NaN,-1,-1,NaN,NaN,NaN
405526050,67,NaN,NaN,-1,-1,-1,-1,NaN
405526051,76,90,NaN,-1,-1,-1,NaN,NaN
405526052,77,NaN,NaN,-1,-1,-1,-1,NaN
405526053,70,90,NaN,-1,-1,-1,NaN,NaN
405526054,87,NaN,NaN,-1,-1,-1,-1,NaN
405526055,98,90,NaN,-1,-1,NaN,NaN,NaN
405526056,60,NaN,NaN,-1,-1,-1,-1,-1
405526057,70,90,NaN,-1,-1,-1,NaN,NaN
