id,5265002@資料庫管理研討@1@1,5265024@企業資源規劃研討@1@1,5265035@會計數量方法@1@1,5265036@研究方法@1@1,5265044@會計實務個案分析@1@1,5265603@高等財務會計理論@1@1,5266007@會計與資訊科技專題研究（一）@1@1,5266009@中級會計學@1@1,5268200@研究方法@1@1,5265026@成本及管理會計學@2@1,5265049@系統分析與設計研討@2@1,5265074@資料探勘之商業應用@2@1,5265078@租稅專題研討@2@1,5265206@統計資料處理在SAS 上的應用@2@1,5266002@ 財務報表分析@2@1,5265022@會計資訊系統研討@1@1,5265040@臺灣多元文化導讀@1@1,5265064@高等管理會計@1@1,5265080@企業評價@1@1,5266008@會計與資訊科技專題研究（二）@1@1,5265100@風險管理與電腦稽核@2@1,5268511@資訊科技研究專題@2@1
600526001,93,87,99,NaN,89,90,93,NaN,NaN,NaN,93,NaN,93,98,NaN,90,NaN,94,97,95,89,NaN
600526005,86,NaN,85,NaN,87,92,93,NaN,NaN,NaN,NaN,NaN,91,88,NaN,NaN,NaN,83,92,90,85,NaN
600526006,95,NaN,94,NaN,85,95,92,NaN,NaN,NaN,NaN,NaN,81,97,NaN,NaN,93,93,NaN,90,89,NaN
600526007,89,85,98,NaN,88,88,92,NaN,NaN,NaN,91,NaN,76,97,NaN,87,94,84,NaN,90,87,NaN
600526009,93,NaN,98,NaN,90,92,92,NaN,NaN,NaN,NaN,NaN,91,95,NaN,NaN,NaN,90,NaN,90,92,NaN
600526011,87,NaN,87,NaN,91,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600526012,97,81,88,NaN,89,79,93,NaN,NaN,NaN,90,NaN,72,90,NaN,88,93,93,NaN,95,88,NaN
600526017,80,83,87,NaN,85,84,92,NaN,NaN,NaN,87,NaN,72,80,NaN,83,NaN,87,91,90,79,NaN
600526023,88,83,NaN,88,88,NaN,92,78,NaN,81,NaN,NaN,85,NaN,92,87,NaN,81,90,90,83,NaN
600526026,84,81,93,93,NaN,70,92,NaN,NaN,NaN,NaN,NaN,88,82,NaN,NaN,NaN,86,87,90,81,NaN
600526028,86,85,83,NaN,86,88,93,NaN,NaN,NaN,90,NaN,87,93,NaN,90,NaN,90,95,95,82,NaN
600526029,89,82,97,NaN,89,85,92,NaN,NaN,NaN,88,NaN,81,86,NaN,86,NaN,90,89,95,81,NaN
600526030,84,83,91,NaN,90,87,92,NaN,NaN,NaN,90,NaN,84,90,NaN,85,93,84,NaN,90,89,NaN
600526031,81,85,82,NaN,85,79,94,NaN,NaN,NaN,86,NaN,82,90,NaN,92,NaN,84,94,95,89,NaN
600526034,82,84,89,NaN,85,82,92,NaN,NaN,NaN,90,NaN,81,NaN,NaN,93,NaN,93,92,95,87,NaN
600526036,73,77,90,NaN,89,70,92,NaN,NaN,NaN,81,NaN,82,NaN,NaN,86,NaN,82,NaN,90,75,NaN
600526038,80,85,94,NaN,88,78,92,NaN,NaN,NaN,89,NaN,79,NaN,NaN,85,NaN,84,NaN,90,78,NaN
600526002,NaN,83,NaN,89,88,NaN,92,90,NaN,84,NaN,NaN,84,NaN,82,94,92,82,91,95,80,NaN
600526014,NaN,84,NaN,91,86,NaN,94,77,NaN,79,NaN,95,70,NaN,86,95,NaN,90,NaN,90,83,90
600526015,NaN,83,NaN,87,80,NaN,92,81,NaN,90,NaN,NaN,74,NaN,89,92,NaN,81,NaN,90,86,NaN
600526016,NaN,82,NaN,NaN,84,NaN,92,84,92,90,NaN,NaN,73,NaN,91,87,NaN,81,NaN,90,83,NaN
600526020,NaN,84,NaN,87,90,NaN,93,85,NaN,89,NaN,NaN,83,NaN,88,93,NaN,80,NaN,90,88,NaN
600526022,NaN,80,NaN,91,89,NaN,93,76,NaN,77,NaN,92,75,NaN,90,94,NaN,91,NaN,90,83,90
600526024,NaN,87,NaN,88,85,NaN,92,76,NaN,70,NaN,NaN,85,NaN,90,83,NaN,84,92,90,70,NaN
600526037,NaN,83,NaN,92,86,NaN,93,77,NaN,80,NaN,NaN,87,NaN,93,92,NaN,85,93,90,82,NaN
600526032,NaN,NaN,NaN,89,85,NaN,92,73,NaN,76,NaN,NaN,77,NaN,90,84,NaN,80,NaN,90,77,NaN
600526035,80,79,74,NaN,88,40,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
