id,5265002@資料庫管理研討@1@1,5265024@企業資源規劃研討@1@1,5265035@會計數量方法@1@1,5265036@研究方法@1@1,5265044@會計實務個案分析@1@1,5265064@高等管理會計@1@1,5265080@企業評價@1@1,5265603@高等財務會計理論@1@1,5266007@會計與資訊科技專題研究（一）@1@1,5265026@成本及管理會計學@2@1,5265038@統計資料分析與應用@2@1,5265049@系統分析與設計研討@2@1,5265074@資料探勘之商業應用@2@1,5265078@租稅專題研討@2@1,5265100@風險管理與電腦稽核@2@1,5266002@ 財務報表分析@2@1,5265022@會計資訊系統研討@1@1,5266008@會計與資訊科技專題研究（二）@1@1,5266009@中級會計學@1@1,5268115@會計期刊導讀與研究方法剖析@1@1,5268510@高等知識管理與商業智慧研究@1@1,5265006@國際會計準則研討@2@1,5265148@衍生性商品與市場@2@1
601526002,82,78,89,NaN,91,88,NaN,85,90,NaN,88,91,NaN,83,83,NaN,88,87,NaN,NaN,NaN,NaN,91
601526004,87,NaN,91,95,87,89,90,90,95,NaN,NaN,NaN,NaN,NaN,86,NaN,90,95,NaN,86,NaN,NaN,NaN
601526006,89,NaN,92,92,NaN,92,92,88,95,NaN,99,NaN,94,NaN,93,NaN,88,96,NaN,NaN,NaN,94,100
601526008,88,86,88,NaN,84,90,93,86,90,NaN,99,94,NaN,NaN,91,NaN,90,92,NaN,NaN,NaN,93,NaN
601526009,87,NaN,97,90,85,91,90,86,90,NaN,99,NaN,94,NaN,93,NaN,88,92,NaN,NaN,NaN,NaN,NaN
601526010,86,87,90,NaN,83,89,94,84,95,NaN,NaN,95,87,85,91,NaN,92,88,NaN,NaN,91,NaN,NaN
601526011,86,82,86,NaN,87,88,NaN,87,90,NaN,82,88,NaN,82,95,NaN,88,94,NaN,NaN,NaN,NaN,85
601526012,83,NaN,86,94,NaN,89,90,83,90,NaN,NaN,NaN,82,NaN,86,NaN,90,89,NaN,NaN,NaN,92,NaN
601526014,83,79,87,NaN,89,88,NaN,83,90,NaN,84,87,NaN,80,85,NaN,88,92,NaN,NaN,NaN,90,NaN
601526022,81,79,78,NaN,87,NaN,NaN,79,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601526023,82,81,93,NaN,85,87,NaN,86,90,NaN,80,90,NaN,88,NaN,NaN,88,88,NaN,NaN,NaN,NaN,NaN
601526025,85,NaN,94,89,84,90,91,87,95,NaN,96,NaN,95,82,90,NaN,88,92,NaN,NaN,NaN,NaN,NaN
601526027,79,83,81,NaN,91,78,NaN,81,90,NaN,70,78,NaN,72,75,NaN,90,86,NaN,NaN,NaN,87,NaN
601526028,89,88,91,NaN,90,86,NaN,84,90,NaN,85,90,NaN,98,83,96,88,89,95,NaN,NaN,NaN,NaN
601526029,83,81,90,NaN,89,88,NaN,86,90,NaN,88,89,NaN,83,87,NaN,90,94,NaN,NaN,NaN,90,NaN
601526032,85,83,88,NaN,85,87,NaN,85,90,NaN,85,86,NaN,80,88,NaN,88,93,NaN,NaN,NaN,92,NaN
601526033,84,76,90,NaN,87,88,NaN,82,90,NaN,86,89,NaN,83,84,NaN,88,91,NaN,NaN,NaN,90,NaN
601526035,73,77,81,NaN,87,90,NaN,88,95,NaN,80,83,NaN,80,80,NaN,90,96,NaN,NaN,NaN,NaN,84
601526036,81,78,90,89,81,87,NaN,84,90,NaN,83,NaN,NaN,82,83,NaN,88,90,NaN,NaN,NaN,NaN,77
601526003,NaN,85,NaN,89,80,88,NaN,NaN,90,90,NaN,NaN,83,73,90,94,90,87,78,NaN,NaN,NaN,81
601526005,NaN,81,88,NaN,85,93,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601526015,NaN,82,NaN,88,87,88,NaN,NaN,90,97,NaN,NaN,92,80,88,92,90,88,70,NaN,NaN,89,NaN
601526016,NaN,85,NaN,89,83,85,NaN,NaN,90,85,NaN,NaN,95,80,80,95,92,92,79,NaN,90,NaN,NaN
601526017,NaN,82,NaN,87,85,85,NaN,NaN,90,91,NaN,NaN,80,76,80,93,88,90,70,NaN,NaN,NaN,77
601526018,NaN,82,NaN,87,83,85,NaN,NaN,90,86,NaN,NaN,92,78,83,96,90,88,78,NaN,NaN,NaN,83
601526020,NaN,80,NaN,91,80,84,NaN,NaN,90,71,NaN,NaN,81,70,81,92,90,89,75,NaN,NaN,89,NaN
601526021,NaN,78,NaN,90,85,88,NaN,NaN,90,85,NaN,NaN,92,80,87,95,90,88,78,NaN,NaN,NaN,86
601526031,NaN,80,NaN,92,91,88,NaN,NaN,90,90,NaN,NaN,91,83,88,96,90,88,78,NaN,NaN,NaN,80
601526034,NaN,79,NaN,86,83,88,NaN,NaN,90,86,NaN,NaN,94,80,81,93,90,94,75,NaN,92,NaN,NaN
