id,5265001@計量經濟學@1@1,5265002@資料庫管理研討@1@1,5265005@公司治理@1@1,5265022@會計資訊系統研討@1@1,5265024@企業資源規劃研討@1@1,5265036@研究方法@1@1,5265044@會計實務個案分析@1@1,5265603@高等財務會計理論@1@1,5266007@會計與資訊科技專題研究（一）@1@1,5266011@財務會計實證專題研討@1@1,5265026@成本及管理會計學@2@1,5265036@研究方法@2@1,5265049@系統分析與設計研討@2@1,5265072@投資實務@2@1,5265074@資料探勘之商業應用@2@1,5265078@租稅專題研討@2@1,5265079@企業評價分析@2@1,5266002@ 財務報表分析@2@1
605526007,90,82,91,NaN,86,NaN,88,91,96,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN
605526010,81,77,NaN,NaN,89,92,87,82,86,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN
605526016,95,85,NaN,NaN,86,91,90,93,99,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
605526024,85,75,91,NaN,88,NaN,84,92,96,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN
605526026,79,77,82,NaN,86,NaN,89,91,91,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN
605526030,85,84,NaN,NaN,88,92,85,81,91,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN
605526001,NaN,84,NaN,95,90,90,89,84,98,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
605526002,NaN,87,NaN,NaN,88,NaN,88,91,91,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN
605526003,NaN,82,NaN,NaN,89,90,86,NaN,86,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1
605526004,NaN,80,NaN,94,NaN,92,NaN,95,99,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
605526006,NaN,84,NaN,91,NaN,92,89,89,91,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
605526011,NaN,84,86,NaN,89,NaN,86,88,96,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
605526012,NaN,83,91,NaN,90,NaN,86,88,91,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
605526013,NaN,84,93,NaN,86,NaN,87,83,96,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
605526017,NaN,83,89,NaN,87,NaN,89,86,96,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN
605526021,NaN,81,82,NaN,83,NaN,85,87,91,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN
605526022,NaN,87,89,NaN,90,NaN,86,86,96,92,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
605526025,NaN,80,82,NaN,88,92,86,85,96,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN
605526027,NaN,85,NaN,NaN,87,NaN,89,90,91,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN
605526028,NaN,74,93,NaN,86,NaN,87,91,99,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN
605526033,NaN,86,81,NaN,87,NaN,86,86,96,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
605526034,NaN,82,82,NaN,87,NaN,88,87,91,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN
605526035,NaN,84,93,NaN,87,93,85,85,96,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
605526036,NaN,83,89,NaN,90,NaN,87,85,96,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN
605526038,NaN,83,86,NaN,92,NaN,NaN,87,96,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN
605526039,NaN,76,81,NaN,88,NaN,90,84,96,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN
605526040,NaN,77,86,NaN,88,NaN,87,89,91,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN
605526018,NaN,NaN,86,NaN,86,89,86,NaN,81,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1
605526005,NaN,NaN,NaN,NaN,88,89,90,NaN,81,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1
