id,5301106@商用電腦概論@1@1,5301888@學系服務學習@1@1,5302102@程式語言與設計@1@1,5301213@離散數學@2@1,5301214@物件導向技術（一）－JAVA@2@1,5301215@科技法律@2@1,5301888@學系服務學習@2@1,5302115@醫療資訊系統@2@1,5302104@統計學（一）@1@1,5302203@資料結構@1@1,5302214@網頁程式設計@1@1,5302216@資訊管理導論@1@1,5303228@作業系統@1@1,5302201@統計學（二）@2@1,5302202@資料庫管理@2@1,5302205@企業資料通訊與網路@2@1,5302215@管理學@2@1,5303111@網路行銷@2@1,5303211@軟體工程@2@1,5303213@會計資訊系統@2@1,5303224@醫務管理@2@1,5301216@程式設計@1@1,5303102@系統分析與設計@1@1,5303222@多媒體系統@1@1,5303227@電子商務@1@1,5303230@網路社群分析與管理@1@1,5302117@XML 與網際網路服務@2@1,5303225@健康保險@2@1,5303229@專案開發（一）@2@1,5304217@專案開發（二）@2@1,5304219@策略資訊管理@2@1,5302218@科技法律@1@1,5303110@行銷管理@1@1,5303224@醫務管理@1@1,5303229@專案開發（一）@1@1,5304217@專案開發（二）@1@1,5304218@管理資訊系統@1@1,5304220@資訊管理個案研究@1@1,5301217@資訊管理導論@2@1,5304214@顧客關係管理@2@1,5303101@管理科學概論@1@1,5303222@多媒體系統@2@1
400530001,73,80,57,NaN,64,80,NaN,91,64,66,67,77,60,78,68,60,NaN,88,NaN,78,89,83,71,NaN,65,85,53,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,89,69,NaN,NaN,NaN,NaN,NaN
400530002,62,NaN,52,NaN,19,55,85,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400530004,76,NaN,80,NaN,65,90,85,73,64,68,75,76,65,90,90,76,NaN,94,NaN,92,NaN,NaN,70,NaN,90,84,NaN,NaN,90,85,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400530005,60,80,45,NaN,89,70,NaN,88,64,82,80,74,71,84,83,60,NaN,91,NaN,85,NaN,78,78,93,67,90,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,88,78,NaN,NaN,NaN,NaN,NaN
400530006,60,NaN,54,NaN,79,82,85,79,66,95,66,78,60,73,80,69,NaN,90,NaN,NaN,NaN,76,69,93,70,90,NaN,89,88,NaN,NaN,NaN,NaN,NaN,NaN,90,84,NaN,NaN,85,NaN,NaN
400530007,62,80,60,NaN,86,100,NaN,92,67,87,81,80,83,93,94,99,NaN,94,NaN,94,98,NaN,81,NaN,88,NaN,NaN,99,94,NaN,NaN,NaN,NaN,NaN,NaN,88,86,NaN,NaN,NaN,NaN,NaN
400530008,80,NaN,73,77,72,75,85,77,61,77,89,78,77,80,83,81,99,NaN,NaN,83,NaN,NaN,76,89,72,85,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,89,85,NaN,NaN,NaN,NaN,NaN
400530009,74,80,34,NaN,87,72,NaN,86,82,71,89,76,NaN,72,80,67,NaN,NaN,NaN,NaN,88,89,80,91,74,89,86,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,90,86,NaN,NaN,NaN,NaN,NaN
400530010,70,NaN,55,NaN,66,85,85,90,73,61,70,78,NaN,71,77,78,NaN,89,NaN,80,NaN,70,73,NaN,61,90,NaN,81,85,88,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,85,NaN,NaN
400530011,61,80,50,NaN,28,39,NaN,NaN,0,3,NaN,0,NaN,NaN,34,23,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,69,NaN,50,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
400530012,86,NaN,62,NaN,NaN,100,85,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400530013,65,80,46,NaN,77,94,NaN,88,72,65,73,79,60,74,76,82,NaN,NaN,NaN,81,NaN,76,72,92,72,90,NaN,89,88,NaN,NaN,NaN,NaN,NaN,NaN,90,82,NaN,NaN,81,NaN,NaN
400530014,76,NaN,63,NaN,NaN,82,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400530015,66,80,58,NaN,71,82,NaN,88,61,70,81,78,75,87,84,60,NaN,89,NaN,76,NaN,95,81,95,68,87,88,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,90,80,NaN,NaN,NaN,NaN,NaN
400530016,64,NaN,81,NaN,66,78,85,89,87,67,70,79,NaN,82,75,60,NaN,88,NaN,88,92,NaN,73,90,86,89,92,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,88,81,NaN,NaN,NaN,NaN,NaN
400530017,70,80,63,NaN,80,61,NaN,80,87,73,82,71,60,77,71,79,NaN,NaN,NaN,80,79,NaN,68,82,75,85,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,80,85,NaN,NaN,NaN,NaN,NaN
400530019,67,80,52,NaN,64,79,NaN,92,91,74,68,77,77,78,87,61,NaN,92,NaN,NaN,NaN,73,75,NaN,82,82,84,NaN,90,NaN,NaN,NaN,81,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
400530023,67,80,73,NaN,81,94,NaN,84,87,84,54,77,82,73,86,85,NaN,92,85,NaN,NaN,NaN,76,NaN,79,82,85,NaN,90,NaN,NaN,NaN,84,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
400530024,69,NaN,71,NaN,67,100,85,87,87,66,83,78,67,76,85,72,NaN,NaN,NaN,74,80,NaN,70,85,72,85,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,89,82,NaN,NaN,NaN,NaN,NaN
400530025,67,80,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,79,82,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400530026,81,NaN,47,NaN,83,78,85,82,70,82,79,80,60,81,81,79,NaN,NaN,NaN,NaN,NaN,88,79,97,67,87,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,90,NaN,82,NaN,NaN,NaN,NaN,NaN
400530027,65,80,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400530029,65,80,62,NaN,60,70,NaN,90,87,52,NaN,78,62,84,60,76,NaN,NaN,NaN,81,85,NaN,60,NaN,68,84,NaN,86,NaN,80,NaN,NaN,NaN,NaN,86,NaN,83,84,NaN,NaN,NaN,NaN
400530030,61,NaN,50,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400530031,67,80,76,NaN,38,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400530032,77,NaN,87,76,82,80,85,91,96,84,83,80,79,86,90,82,NaN,90,NaN,80,NaN,NaN,78,93,73,87,97,NaN,NaN,88,NaN,NaN,NaN,NaN,91,NaN,77,NaN,NaN,NaN,NaN,NaN
400530033,80,80,82,NaN,79,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400530035,93,80,61,NaN,64,100,NaN,91,76,79,76,80,74,78,75,96,NaN,92,NaN,86,NaN,NaN,81,93,74,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,87,NaN,90,NaN,NaN,NaN,NaN,NaN
400530036,84,NaN,61,NaN,90,80,85,88,98,63,87,77,NaN,NaN,75,88,NaN,NaN,NaN,83,NaN,NaN,80,NaN,79,87,80,NaN,NaN,90,NaN,NaN,NaN,85,87,NaN,81,NaN,NaN,NaN,NaN,78
400530038,71,NaN,66,NaN,65,94,85,88,68,64,71,77,65,74,80,65,99,92,NaN,NaN,NaN,NaN,73,92,60,87,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,89,NaN,79,NaN,NaN,NaN,NaN,NaN
400530039,76,80,73,95,84,100,NaN,85,81,87,80,80,89,84,93,95,NaN,89,NaN,90,NaN,NaN,84,94,82,90,99,NaN,NaN,90,NaN,NaN,NaN,NaN,90,NaN,89,NaN,NaN,NaN,NaN,NaN
400530040,62,NaN,52,NaN,79,95,85,76,62,65,65,77,62,81,67,72,NaN,NaN,NaN,80,83,70,75,84,63,85,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,87,NaN,81,NaN,NaN,NaN,NaN,NaN
400530041,66,80,54,NaN,72,100,NaN,81,0,78,66,65,60,NaN,74,14,NaN,NaN,NaN,82,95,84,66,86,60,92,NaN,94,NaN,94,NaN,NaN,NaN,NaN,88,NaN,70,NaN,NaN,NaN,NaN,NaN
400530042,70,NaN,55,NaN,93,80,85,87,73,72,83,78,68,75,92,82,NaN,88,NaN,77,NaN,90,73,93,65,90,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,88,NaN,81,NaN,NaN,NaN,NaN,NaN
400530044,73,NaN,71,83,73,100,85,91,84,61,76,81,67,88,87,83,99,93,NaN,84,NaN,NaN,76,93,72,87,94,NaN,NaN,88,NaN,NaN,NaN,NaN,90,NaN,79,NaN,NaN,NaN,NaN,NaN
400530046,60,NaN,55,68,71,70,85,92,0,85,85,52,NaN,NaN,72,NaN,NaN,NaN,NaN,82,NaN,67,73,NaN,83,82,50,NaN,95,NaN,NaN,NaN,83,NaN,NaN,89,86,NaN,81,NaN,80,NaN
400530049,80,80,91,NaN,NaN,NaN,NaN,87,84,80,NaN,NaN,NaN,72,NaN,67,NaN,90,NaN,80,NaN,NaN,77,95,NaN,NaN,79,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN
400530050,80,80,82,NaN,79,96,NaN,78,83,NaN,NaN,82,NaN,72,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN
400530052,74,NaN,NaN,NaN,74,92,80,81,82,62,86,74,NaN,83,78,77,NaN,NaN,84,86,85,NaN,70,85,67,89,NaN,80,NaN,90,NaN,NaN,NaN,NaN,86,NaN,78,NaN,NaN,NaN,NaN,NaN
400530051,NaN,80,74,NaN,NaN,86,NaN,88,83,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,88,NaN,74,NaN,NaN,NaN,NaN,66,90,69,NaN,NaN,85,NaN,NaN,NaN,NaN,88,NaN,80,NaN,NaN,NaN,NaN,NaN
