id,5301105@計算機概論@1@1,5301216@程式設計@1@1,5301888@學系服務學習@1@1,5301214@物件導向技術（一）－JAVA@2@1,5301217@資訊管理導論@2@1,5301888@學系服務學習@2@1,5303225@健康保險@2@1,5302203@資料結構@1@1,5302214@網頁程式設計@1@1,5302218@科技法律@1@1,5303230@網路社群分析與管理@1@1,5302117@XML 與網際網路服務@2@1,5302202@資料庫管理@2@1,5302205@企業資料通訊與網路@2@1,5303101@管理科學概論@1@1,5303102@系統分析與設計@1@1,5303210@資訊安全@1@1,5303224@醫務管理@1@1,5303227@電子商務@1@1,5303229@專案開發（一）@1@1,5303232@財務管理@1@1,5303233@專案開發(二)@1@1,5303111@網路行銷@2@1,5303213@會計資訊系統@2@1,5303222@多媒體系統@2@1,5303229@專案開發（一）@2@1,5303233@專案開發(二)@2@1,5304214@顧客關係管理@2@1,5302221@醫療資訊管理概論@1@1,5303228@作業系統@1@1,5304218@管理資訊系統@1@1,5304220@資訊管理個案研究@1@1,5303216@人工智慧與專家系統@2@1,5304219@策略資訊管理@2@1,5304222@資料探勘與應用@2@1
402530005,82,20,94,12,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530007,76,77,94,73,83,NaN,NaN,72,75,77,87,69,75,70,NaN,73,NaN,NaN,78,93,83,NaN,85,78,72,NaN,86,NaN,NaN,NaN,82,NaN,NaN,NaN,-1
402530008,86,93,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530009,87,73,94,84,79,NaN,NaN,90,80,85,NaN,NaN,78,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530010,79,80,NaN,67,83,94,NaN,81,78,95,NaN,74,74,77,NaN,76,83,95,84,90,83,NaN,88,84,NaN,NaN,89,NaN,NaN,NaN,95,NaN,NaN,NaN,-1
402530011,86,100,94,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530012,90,71,NaN,64,82,92,NaN,71,74,77,89,72,75,62,NaN,68,75,NaN,85,90,NaN,NaN,84,82,82,NaN,89,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN
402530013,78,40,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530014,88,73,NaN,67,78,88,NaN,82,90,65,NaN,NaN,72,74,88,74,NaN,84,69,90,82,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1
402530016,96,99,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
