id,5301105@計算機概論@1@1,5301216@程式設計@1@1,5301888@學系服務學習@1@1,5301214@物件導向技術（一）－JAVA@2@1,5301217@資訊管理導論@2@1,5301888@學系服務學習@2@1,5302203@資料結構@1@1,5302218@科技法律@1@1,5302221@醫療資訊管理概論@1@1,5303101@管理科學概論@1@1,5303210@資訊安全@1@1,5303228@作業系統@1@1,5302117@XML 與網際網路服務@2@1,5302202@資料庫管理@2@1,5302205@企業資料通訊與網路@2@1,5303111@網路行銷@2@1,5303213@會計資訊系統@2@1,5303216@人工智慧與專家系統@2@1,5304214@顧客關係管理@2@1
404530002,78,79,NaN,79,66,72,66,76,90,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530003,82,68,85,17,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404530004,84,76,NaN,74,81,73,85,87,90,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530005,79,67,85,86,97,NaN,66,87,95,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
404530006,62,28,NaN,-1,62,73,48,55,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN
404530007,70,63,85,72,96,NaN,69,85,90,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1
404530013,80,73,85,82,76,NaN,79,83,NaN,88,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530014,86,61,NaN,77,84,74,77,85,90,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530015,83,63,80,63,67,NaN,77,83,90,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530016,69,40,NaN,62,77,74,78,89,78,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404530017,73,53,85,67,74,NaN,71,79,90,86,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404530018,72,19,NaN,-1,76,74,68,75,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404530019,71,72,75,76,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404530020,71,76,NaN,76,85,71,61,76,NaN,NaN,NaN,75,-1,-1,-1,NaN,NaN,NaN,NaN
404530021,80,69,85,72,80,NaN,76,80,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530022,77,78,NaN,75,76,71,82,78,NaN,86,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
404530023,74,69,85,73,70,NaN,79,79,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530024,85,87,NaN,74,89,74,87,81,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530025,84,85,85,71,92,NaN,69,82,83,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404530026,80,64,NaN,NaN,75,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404530027,71,70,80,66,74,NaN,66,71,90,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404530029,61,60,85,73,80,NaN,71,73,67,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN
