id,5301105@計算機概論@1@1,5301216@程式設計@1@1,5301888@學系服務學習@1@1,5303101@管理科學概論@1@1,5303228@作業系統@1@1,5301214@物件導向技術（一）－JAVA@2@1,5301217@資訊管理導論@2@1,5301888@學系服務學習@2@1,5303111@網路行銷@2@1,5303213@會計資訊系統@2@1,5303216@人工智慧與專家系統@2@1
405530001,81,62,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530002,85,65,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530003,89,42,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530004,87,50,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530006,91,96,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530007,74,38,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530008,82,42,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530009,84,55,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530010,76,34,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530011,88,72,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530012,90,61,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530013,89,69,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530014,68,30,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530015,81,77,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530016,89,67,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530018,89,77,NaN,NaN,91,-1,-1,-1,-1,NaN,-1
405530019,79,36,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530020,87,87,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530021,81,60,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530022,82,60,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN
405530023,68,25,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530024,68,58,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530026,77,63,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530027,70,47,70,NaN,NaN,-1,-1,NaN,-1,-1,NaN
405530028,82,57,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530029,82,76,70,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
405530030,77,35,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530032,85,35,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530033,81,63,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530034,90,67,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530035,90,71,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530036,79,35,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530038,88,76,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530039,76,27,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530040,66,24,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530041,72,22,70,NaN,NaN,-1,-1,NaN,NaN,-1,NaN
405530042,77,73,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530043,79,24,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530044,69,20,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405530045,75,44,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530046,81,65,NaN,90,NaN,NaN,-1,NaN,NaN,NaN,NaN
405530047,86,72,70,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
405530049,82,62,70,NaN,NaN,-1,-1,NaN,NaN,-1,NaN
405530050,81,64,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
