id,5305202@資料通訊與網路@1@1,5305209@決策支援系統@1@1,5305221@研究方法@1@1,5305242@物件導向系統分析與設計@1@1,5305244@醫療決策支援系統@1@1,5307124@電子化供應鏈管理@1@1,5307125@醫務品質管理@1@1,5307128@顧客關係管理@1@1,5307138@高等統計學@1@1,5305226@多變量資料分析@2@1,5305231@策略與資訊管理@2@1,5305233@企業資源規劃@2@1,5305241@英文學術論文寫作@2@1,5305245@資料探勘與應用@2@1,5306116@電子商務與應用@2@1,5306201@資訊科技管理@2@1,5306206@資訊安全管理@2@1,5306210@統計分析應用研究@2@1,5306211@行銷資訊系統@2@1,5307127@醫學影像處理@2@1,5307134@機器學習@2@1,5305240@科技法律@1@1,5306208@管理資訊系統研究@1@1,5306209@遠距健康照護@1@1,5307137@結構方程模式之原理與應用@1@1,5307143@高等資料庫管理@1@1,5305208@人工智慧與專家系統@2@1,5305243@資訊系統專案管理@2@1
601530001,93,83,85,89,NaN,NaN,NaN,75,NaN,84,NaN,NaN,76,NaN,90,NaN,78,92,NaN,NaN,86,NaN,88,NaN,NaN,NaN,NaN,NaN
601530003,91,86,92,88,NaN,NaN,NaN,NaN,NaN,82,NaN,91,96,NaN,93,NaN,NaN,NaN,86,NaN,NaN,89,91,NaN,91,NaN,NaN,NaN
601530005,95,NaN,92,84,NaN,NaN,86,NaN,NaN,94,NaN,91,92,NaN,84,92,NaN,NaN,NaN,NaN,NaN,91,90,NaN,88,NaN,NaN,NaN
601530006,95,89,90,90,NaN,94,NaN,NaN,NaN,92,NaN,NaN,97,NaN,94,NaN,NaN,90,NaN,93,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
601530009,94,89,89,94,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,86,88,90,NaN,NaN,NaN,90,NaN,NaN,91,87,NaN,NaN,NaN,NaN,90
601530011,92,NaN,90,82,NaN,NaN,NaN,NaN,83,83,NaN,NaN,79,90,87,NaN,NaN,NaN,NaN,93,NaN,NaN,90,NaN,87,NaN,NaN,NaN
601530012,93,NaN,91,86,NaN,NaN,NaN,NaN,84,80,NaN,NaN,84,NaN,87,NaN,NaN,NaN,NaN,84,NaN,NaN,90,NaN,89,NaN,NaN,NaN
601530013,83,NaN,89,92,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,88,NaN,88,NaN,NaN,NaN,87,87,NaN,88,88,NaN,84,85,NaN,NaN
601530014,97,84,90,91,NaN,NaN,NaN,86,NaN,95,87,NaN,95,NaN,80,NaN,NaN,NaN,NaN,95,NaN,90,91,NaN,NaN,NaN,NaN,NaN
601530017,92,86,90,81,NaN,93,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,90,NaN,NaN,91,90,NaN,NaN,93,86,NaN,NaN,NaN,NaN,90
601530024,84,78,83,86,93,NaN,NaN,NaN,NaN,86,NaN,NaN,86,NaN,84,NaN,74,NaN,NaN,91,96,NaN,85,NaN,NaN,NaN,NaN,NaN
601530026,90,NaN,90,86,NaN,NaN,NaN,NaN,85,82,NaN,NaN,85,90,84,NaN,NaN,NaN,NaN,83,NaN,88,90,NaN,87,NaN,NaN,NaN
601530027,92,82,83,87,NaN,NaN,NaN,NaN,85,87,NaN,NaN,87,NaN,76,NaN,NaN,90,83,NaN,NaN,NaN,87,NaN,87,NaN,NaN,NaN
601530028,77,81,83,82,NaN,NaN,NaN,NaN,83,82,NaN,NaN,86,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,86,92,NaN,NaN
601530029,94,NaN,92,97,NaN,NaN,88,NaN,NaN,96,NaN,93,88,NaN,76,NaN,NaN,90,NaN,NaN,NaN,91,85,NaN,88,NaN,NaN,NaN
601530030,92,NaN,92,89,NaN,NaN,NaN,NaN,84,90,NaN,92,86,NaN,83,93,NaN,NaN,NaN,NaN,NaN,91,90,NaN,86,NaN,NaN,NaN
601530031,92,87,90,82,NaN,NaN,NaN,86,NaN,91,86,NaN,88,NaN,80,NaN,NaN,NaN,89,NaN,NaN,89,87,NaN,NaN,NaN,NaN,NaN
601530033,88,NaN,89,85,NaN,94,NaN,NaN,NaN,87,NaN,NaN,93,NaN,92,NaN,82,93,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,88
