id,6101021@民法總則（一）@1@1,6101031@刑法總則（一）@1@1,6101041@憲法（一）@1@1,6101054@英美法導論@1@1,6101095@拉丁法諺（一）@1@1,6101888@學系服務學習@1@1,6102001@法學方法論@1@1,6102025@民法親屬@1@1,6102062@德文（一）@1@1,6102064@法學英文（一）@1@1,6104076@多元文化與全球正義（一）@1@1,6101001@法學緒論@2@1,6101022@民法總則（二）@2@1,6101032@刑法總則（二）@2@1,6101042@憲法（二）@2@1,6101096@拉丁法諺(二)@2@1,6101888@學系服務學習@2@1,6102063@德文（二）@2@1,6102065@法學英文 (二)@2@1,6104029@多元文化與全球社會 (二)@2@1,6104075@法律倫理學@2@1,6102019@民法債編總論（一）@1@1,6102023@民法物權（一）@1@1,6102031@刑法分則（一）@1@1,6102035@刑事政策@1@1,6102040@國際公法@1@1,6102043@行政法總論（一）@1@1,6102060@日文（一）@1@1,6103022@票據法@1@1,6104003@法律社會學導論@1@1,6104006@強制執行法@1@1,6104080@網際網路：全球文化及跨國規範@1@1,6104084@新移民、弱勢族群與人性尊嚴（一）@1@1,6102020@民法債編總論（二）@2@1,6102024@民法物權（二）@2@1,6102026@民法繼承@2@1,6102032@刑法分則（二）@2@1,6102044@行政法總論（二）@2@1,6102082@日文（二）@2@1,6103023@保險法@2@1,6103024@海商法@2@1,6103090@國際環境法@2@1,6104009@法理學（二）@2@1,6104064@刑事政策（二）@2@1,6104081@網際網路：全球文化及跨國規範 (二)@2@1,6103025@民法債編各論（一）@1@1,6103033@刑事訴訟法（一）@1@1,6103041@民事訴訟法（一）@1@1,6103071@法制史（一）@1@1,6103096@國際公法案例研究@1@1,6104001@訴願及行政訴訟法（一）@1@1,6104002@法理學（一）@1@1,6104061@刑法實例演習（一）@1@1,6101097@法學緒論@2@1,6103026@民法債編各論（二）@2@1,6103034@刑事訴訟法（二）@2@1,6103042@民事訴訟法（二）@2@1,6103068@日文法學名著選讀 (四)@2@1,6104008@訴願及行政訴訟法（二）@2@1,6104062@刑法實例演習（二）@2@1,6102089@羅馬法史導論@1@1,6103094@國際人權法@1@1,6104014@國際私法@1@1,6103087@企業併購法@2@1,6104045@智慧財產權法實例演習@2@1,6104093@法律實習@2@1
402610003,65,80,70,72,NaN,90,84,87,NaN,NaN,NaN,72,77,75,77,NaN,NaN,NaN,NaN,NaN,81,80,79,84,80,82,55,84,74,70,84,NaN,NaN,74,72,78,82,61,NaN,78,NaN,NaN,83,NaN,NaN,67,79,88,NaN,NaN,83,80,NaN,NaN,73,82,90,NaN,-1,NaN,NaN,NaN,71,NaN,NaN,NaN
402610005,80,89,85,99,NaN,90,89,85,99,NaN,NaN,80,93,84,90,NaN,NaN,94,NaN,NaN,91,84,86,83,NaN,91,79,88,82,72,NaN,NaN,NaN,100,85,94,85,92,93,88,74,NaN,77,NaN,NaN,84,82,93,84,NaN,96,83,NaN,NaN,83,87,93,NaN,-1,NaN,NaN,NaN,89,NaN,NaN,NaN
402610006,86,85,75,74,NaN,NaN,88,81,NaN,NaN,NaN,79,85,76,88,NaN,90,NaN,NaN,NaN,74,82,84,80,NaN,84,79,NaN,81,95,86,NaN,NaN,82,85,90,81,81,85,89,80,NaN,78,NaN,NaN,75,83,NaN,NaN,NaN,93,80,NaN,NaN,80,89,NaN,NaN,-1,-1,NaN,NaN,78,NaN,NaN,NaN
402610007,86,83,75,80,NaN,90,80,71,97,NaN,NaN,74,85,79,82,NaN,NaN,93,NaN,NaN,83,69,79,84,NaN,83,85,90,79,81,91,NaN,NaN,86,77,NaN,83,72,NaN,95,86,NaN,79,89,90,83,81,83,NaN,NaN,89,78,75,NaN,85,85,92,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402610008,75,85,70,76,NaN,NaN,81,65,91,70,86,73,66,74,77,NaN,90,NaN,NaN,NaN,73,80,64,80,NaN,67,68,NaN,69,95,88,NaN,NaN,60,67,84,81,61,NaN,65,81,94,80,NaN,NaN,70,81,83,NaN,95,67,93,NaN,NaN,75,80,92,NaN,-1,NaN,NaN,NaN,86,NaN,NaN,NaN
402610010,80,85,70,80,NaN,NaN,86,83,98,NaN,NaN,84,80,77,71,NaN,90,96,NaN,NaN,69,90,85,85,NaN,74,79,86,86,74,80,NaN,NaN,97,72,84,79,81,NaN,80,83,NaN,68,NaN,NaN,83,82,87,NaN,NaN,96,83,80,NaN,80,89,NaN,NaN,-1,83,NaN,NaN,NaN,NaN,NaN,NaN
402610011,70,85,80,80,NaN,90,88,NaN,NaN,NaN,NaN,79,78,79,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402610012,75,82,70,84,65,NaN,91,76,98,NaN,NaN,80,78,79,82,NaN,90,99,NaN,NaN,87,97,79,82,NaN,83,89,91,79,74,90,NaN,NaN,77,76,86,80,88,NaN,86,79,90,81,NaN,NaN,62,77,88,NaN,NaN,90,81,76,NaN,80,86,93,NaN,-1,NaN,NaN,NaN,78,NaN,NaN,-1
402610013,75,84,70,74,50,90,72,83,NaN,NaN,NaN,67,74,76,82,NaN,NaN,92,NaN,90,71,81,74,79,NaN,69,61,94,78,95,80,NaN,NaN,73,74,92,78,66,90,83,67,NaN,72,NaN,NaN,75,78,83,NaN,NaN,83,76,NaN,NaN,74,81,93,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402610014,70,84,70,83,NaN,NaN,91,81,99,70,NaN,79,80,79,85,NaN,95,97,NaN,NaN,83,67,70,81,NaN,78,63,NaN,75,83,86,NaN,NaN,78,74,75,81,60,NaN,84,60,86,80,NaN,NaN,62,78,78,NaN,NaN,79,78,78,NaN,73,84,90,NaN,-1,NaN,NaN,NaN,70,NaN,NaN,NaN
402610015,81,82,75,87,NaN,90,83,83,93,NaN,84,74,80,78,83,NaN,NaN,NaN,NaN,NaN,74,87,82,88,NaN,81,70,NaN,90,95,85,88,NaN,89,74,93,88,80,NaN,80,84,NaN,79,89,NaN,65,79,85,NaN,NaN,92,83,81,NaN,76,83,87,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
402610016,67,80,65,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402610017,80,82,80,84,NaN,90,88,75,98,NaN,NaN,80,75,80,88,NaN,NaN,95,NaN,NaN,80,98,91,88,NaN,81,82,88,NaN,95,NaN,NaN,NaN,97,90,93,84,82,89,NaN,80,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,80,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,83,NaN,NaN,NaN
402610018,80,85,80,91,NaN,NaN,88,90,85,70,NaN,76,84,79,83,NaN,95,NaN,NaN,NaN,-1,96,72,82,NaN,71,62,NaN,60,65,80,NaN,NaN,NaN,62,72,78,60,NaN,82,68,85,-1,NaN,NaN,61,72,87,NaN,NaN,42,66,NaN,NaN,62,67,84,NaN,-1,NaN,NaN,NaN,43,NaN,NaN,NaN
402610019,82,88,75,88,75,90,89,76,NaN,NaN,NaN,83,75,82,88,NaN,NaN,NaN,NaN,93,79,94,80,85,NaN,85,88,NaN,NaN,90,85,95,NaN,100,76,92,86,78,NaN,80,NaN,NaN,85,NaN,95,83,80,97,83,NaN,60,93,NaN,NaN,75,87,87,NaN,-1,NaN,NaN,NaN,67,NaN,NaN,NaN
402610020,79,79,70,72,NaN,NaN,82,83,86,NaN,NaN,85,85,81,88,NaN,90,89,NaN,NaN,74,90,84,78,NaN,67,65,90,89,78,80,NaN,NaN,100,92,87,81,94,NaN,78,89,NaN,78,NaN,86,96,81,NaN,NaN,NaN,99,73,NaN,NaN,80,89,NaN,NaN,-1,NaN,NaN,NaN,82,NaN,NaN,NaN
402610021,74,76,60,71,NaN,90,NaN,NaN,NaN,NaN,NaN,73,60,79,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402610022,60,68,65,72,80,NaN,72,68,NaN,76,NaN,NaN,76,64,71,70,90,NaN,65,NaN,-1,64,60,79,NaN,71,NaN,NaN,49,85,NaN,NaN,NaN,83,60,70,69,-1,-1,NaN,66,NaN,NaN,NaN,NaN,65,76,NaN,NaN,80,60,NaN,NaN,79,65,-1,NaN,NaN,-1,NaN,NaN,75,NaN,NaN,NaN,NaN
402610023,69,84,65,78,65,98,82,71,91,NaN,NaN,67,60,80,80,NaN,NaN,96,NaN,NaN,81,82,74,80,NaN,73,77,90,87,81,85,NaN,NaN,84,79,87,80,83,NaN,94,81,NaN,77,NaN,NaN,87,81,NaN,NaN,NaN,99,80,77,NaN,90,88,NaN,NaN,-1,-1,NaN,NaN,93,NaN,NaN,NaN
402610024,66,79,70,70,60,NaN,87,76,95,NaN,NaN,74,60,78,82,NaN,90,93,NaN,NaN,72,88,73,84,NaN,84,63,96,83,80,90,NaN,NaN,69,74,83,80,61,NaN,83,68,84,75,NaN,NaN,72,80,82,NaN,NaN,71,75,78,NaN,76,82,89,NaN,-1,NaN,NaN,NaN,69,NaN,NaN,NaN
402610025,68,81,75,88,NaN,98,78,89,89,NaN,NaN,80,75,82,78,NaN,NaN,NaN,NaN,NaN,80,86,74,79,NaN,80,63,NaN,67,65,88,NaN,NaN,65,74,81,80,62,NaN,79,67,88,-1,NaN,96,71,NaN,89,NaN,95,73,82,NaN,NaN,75,NaN,92,NaN,-1,-1,NaN,NaN,77,NaN,NaN,NaN
402610026,70,81,70,77,NaN,NaN,82,81,98,NaN,NaN,75,68,80,85,NaN,90,89,NaN,NaN,85,81,77,78,NaN,76,67,90,86,76,88,NaN,NaN,90,76,NaN,82,84,NaN,93,80,NaN,76,88,91,80,77,93,NaN,NaN,95,79,NaN,NaN,78,85,93,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402610027,60,74,60,67,NaN,88,74,71,NaN,NaN,NaN,NaN,68,71,70,NaN,NaN,NaN,NaN,NaN,68,78,74,81,NaN,64,60,75,69,80,84,NaN,NaN,-1,72,85,72,60,NaN,79,76,32,72,NaN,75,63,76,89,80,NaN,83,78,NaN,88,70,76,91,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402610028,83,89,90,83,92,NaN,90,86,98,NaN,NaN,79,82,84,92,85,90,96,NaN,NaN,81,98,85,89,NaN,86,91,NaN,76,78,80,NaN,NaN,92,84,88,90,89,NaN,82,79,NaN,84,NaN,NaN,90,81,81,NaN,NaN,90,82,81,NaN,92,89,NaN,NaN,89,-1,NaN,NaN,NaN,NaN,NaN,-1
402610029,84,87,80,91,60,90,90,89,NaN,NaN,NaN,81,70,82,89,NaN,NaN,NaN,NaN,NaN,83,82,81,84,87,78,82,84,91,79,85,NaN,NaN,94,78,92,81,83,NaN,87,81,NaN,82,NaN,NaN,77,84,88,NaN,NaN,99,75,NaN,NaN,78,80,94,NaN,-1,NaN,NaN,NaN,69,NaN,NaN,NaN
402610030,64,78,70,79,NaN,NaN,74,86,88,NaN,NaN,70,80,76,70,NaN,90,90,NaN,NaN,77,86,78,81,62,79,79,84,84,85,88,NaN,NaN,89,89,85,78,83,NaN,75,77,NaN,76,NaN,NaN,81,78,86,NaN,NaN,63,68,NaN,NaN,86,81,92,NaN,67,NaN,NaN,NaN,NaN,-1,NaN,NaN
