id,6201021@民法總則（一）@1@1,6201031@刑法總則（一）@1@1,6201041@憲法（一）@1@1,6201888@學系服務學習@1@1,6203063@勞動法總論@1@1,6201022@民法總則（二）@2@1,6201032@刑法總則（二）@2@1,6201042@憲法（二）@2@1,6201888@學系服務學習@2@1,6203043@警察法@2@1,6202017@民法債編總論（一）@1@1,6202023@民法物權（一）@1@1,6202025@民法親屬@1@1,6202031@刑法分則（一）@1@1,6202043@行政法總論（一）@1@1,6203020@公司法@1@1,6203041@地方自治法@1@1,6204060@國際海洋法@1@1,6202019@民法債編總論（二）@2@1,6202024@民法物權（二）@2@1,6202026@民法繼承@2@1,6202032@刑法分則（二）@2@1,6202044@行政法總論（二）@2@1,6203023@保險法@2@1,6203064@勞動法各論@2@1,6203075@證券交易法@2@1,6202037@立法技術與程序@1@1,6203022@票據法@1@1,6203025@民法債編各論（一）@1@1,6203033@刑事訴訟法（一）@1@1,6203035@民事訴訟法（一）@1@1,6203047@環境法@1@1,6203048@行政程序法@1@1,6203061@社會法總論@1@1,6204012@國際私法@1@1,6204034@刑事法實例演習（一）@1@1,6203024@海商法@2@1,6203026@民法債編各論（二）@2@1,6203034@刑事訴訟法（二）@2@1,6203036@民事訴訟法（二）@2@1,6203044@經濟行政法@2@1,6203045@教育法@2@1,6203062@社會法各論@2@1,6204035@刑事法實例演習 (二)@2@1,6204052@法律服務（二）@2@1,6202039@行政法實例演習（一）@1@1,6203042@憲法實例演習（一）@1@1,6204001@訴願及行政訴訟法（一）@1@1,6204026@勞動法實例演習 (四)@1@1,6204051@法律服務（一）@1@1,6202036@憲法訴訟@2@1,6203046@傳播法@2@1,6203047@環境法@2@1,6204002@訴願及行政訴訟法（二）@2@1
401620001,80,70,77,89,86,82,75,67,NaN,70,82,73,79,76,73,87,75,85,77,90,70,82,78,84,82,82,NaN,88,73,80,76,88,83,82,88,NaN,75,75,82,83,78,NaN,90,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,91
401620002,92,78,NaN,NaN,80,86,70,NaN,90,85,86,78,71,85,81,83,88,NaN,82,85,67,91,84,86,71,77,81,92,NaN,65,77,NaN,66,77,85,92,73,70,65,82,75,NaN,77,NaN,NaN,NaN,88,85,NaN,NaN,NaN,64,NaN,89
401620003,94,68,75,88,80,85,78,67,NaN,80,82,96,78,85,87,78,90,92,81,100,89,78,80,NaN,86,79,NaN,94,75,72,87,84,84,86,90,86,86,82,77,88,72,91,80,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,83,NaN,96
401620004,84,71,73,NaN,81,85,74,71,90,87,91,96,62,76,88,78,80,NaN,84,98,81,84,84,84,76,70,NaN,98,82,NaN,NaN,NaN,69,80,90,NaN,81,73,NaN,NaN,78,92,75,NaN,NaN,80,NaN,90,NaN,NaN,NaN,NaN,NaN,90
401620005,70,52,62,87,75,60,NaN,50,NaN,60,78,51,63,73,61,73,80,NaN,66,64,63,68,71,87,60,68,NaN,70,52,49,70,NaN,41,83,60,92,77,NaN,55,63,79,76,71,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,60,76,80
401620006,95,78,86,NaN,87,89,85,71,90,90,91,99,82,80,90,92,85,NaN,87,100,86,86,90,94,94,92,86,98,76,80,81,90,84,89,88,NaN,92,77,85,90,83,NaN,86,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN
401620007,94,66,65,89,85,86,71,68,NaN,84,86,96,81,82,89,81,87,NaN,87,93,91,82,87,94,91,84,89,90,71,85,96,NaN,87,86,96,NaN,94,88,75,94,NaN,90,88,NaN,94,NaN,90,90,90,NaN,NaN,NaN,NaN,94
401620009,74,71,74,87,86,82,86,70,NaN,88,82,93,76,77,79,86,91,NaN,86,99,89,83,85,86,94,94,NaN,86,77,81,95,88,79,85,92,86,90,87,81,95,80,94,73,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,95
401620010,79,65,NaN,NaN,75,61,NaN,NaN,90,80,78,87,69,73,73,76,83,NaN,80,73,65,72,74,86,67,63,65,80,53,70,69,NaN,68,70,47,NaN,80,NaN,60,74,73,77,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86
401620011,70,71,69,88,74,75,80,71,NaN,80,66,80,83,NaN,85,60,85,NaN,77,71,79,NaN,85,85,62,64,83,86,66,70,60,NaN,73,77,NaN,NaN,89,54,71,63,72,NaN,77,NaN,NaN,71,NaN,76,NaN,86,NaN,NaN,NaN,85
401620012,82,60,60,NaN,75,77,71,60,90,80,75,73,67,67,82,73,80,NaN,73,65,66,71,78,NaN,74,69,NaN,65,56,70,60,76,NaN,71,60,NaN,83,53,68,69,NaN,71,73,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,79
401620013,89,83,88,89,81,92,85,77,NaN,88,93,88,93,74,92,87,90,NaN,84,87,84,89,88,80,80,75,NaN,80,81,81,85,90,85,84,99,NaN,95,77,80,91,NaN,91,81,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,96
