id,6201021@民法總則（一）@1@1,6201031@刑法總則（一）@1@1,6201041@憲法（一）@1@1,6201888@學系服務學習@1@1,6201022@民法總則（二）@2@1,6201032@刑法總則（二）@2@1,6201042@憲法（二）@2@1,6201888@學系服務學習@2@1,6203024@海商法@2@1,6203043@警察法@2@1,6203045@教育法@2@1,6202017@民法債編總論（一）@1@1,6202023@民法物權（一）@1@1,6202025@民法親屬@1@1,6202031@刑法分則（一）@1@1,6202043@行政法總論（一）@1@1,6203020@公司法@1@1,6203061@社會法總論@1@1,6203063@勞動法總論@1@1,6204026@勞動法實例演習 (四)@1@1,6202019@民法債編總論（二）@2@1,6202024@民法物權（二）@2@1,6202026@民法繼承@2@1,6202032@刑法分則（二）@2@1,6202036@憲法訴訟@2@1,6202041@國際公法@2@1,6202044@行政法總論（二）@2@1,6203023@保險法@2@1,6203044@經濟行政法@2@1,6203046@傳播法@2@1,6203047@環境法@2@1,6203062@社會法各論@2@1,6203075@證券交易法@2@1,6203022@票據法@1@1,6203025@民法債編各論（一）@1@1,6203033@刑事訴訟法（一）@1@1,6203035@民事訴訟法（一）@1@1,6203041@地方自治法@1@1,6203048@行政程序法@1@1,6204001@訴願及行政訴訟法（一）@1@1,6204012@國際私法@1@1,6204051@法律服務（一）@1@1,6202037@立法技術與程序@2@1,6203026@民法債編各論（二）@2@1,6203034@刑事訴訟法（二）@2@1,6203036@民事訴訟法（二）@2@1,6203064@勞動法各論@2@1,6204002@訴願及行政訴訟法（二）@2@1,6204035@刑事法實例演習 (二)@2@1,6204052@法律服務（二）@2@1
403620001,81,78,62,90,74,72,60,NaN,-1,NaN,NaN,82,70,76,80,74,74,80,74,NaN,65,92,80,74,NaN,71,71,83,84,NaN,NaN,-1,75,78,77,70,71,76,NaN,71,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
403620003,84,80,64,90,64,66,48,NaN,-1,80,NaN,54,NaN,63,76,68,76,78,77,NaN,75,NaN,68,72,NaN,73,63,68,-1,NaN,NaN,-1,-1,79,NaN,85,92,84,74,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403620004,90,85,74,NaN,80,64,65,80,-1,-1,NaN,79,75,79,80,74,78,82,81,NaN,70,82,81,76,NaN,78,85,-1,-1,NaN,NaN,-1,-1,80,76,76,83,71,76,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403620005,82,79,70,90,78,70,70,NaN,-1,-1,NaN,83,68,73,84,76,80,80,86,NaN,73,86,80,76,NaN,76,79,79,-1,NaN,NaN,-1,73,81,NaN,NaN,88,79,77,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403620006,84,82,78,NaN,87,80,64,80,80,80,NaN,94,100,81,86,85,84,86,80,80,80,98,84,77,NaN,82,87,80,88,83,NaN,-1,81,82,83,NaN,92,84,88,87,88,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN
403620008,84,83,80,NaN,83,79,70,80,92,85,NaN,85,96,89,91,81,83,91,80,NaN,82,100,86,77,NaN,86,90,90,-1,86,NaN,-1,85,82,92,NaN,92,88,88,92,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN
403620009,83,76,62,90,78,70,63,NaN,-1,NaN,NaN,80,88,76,78,87,67,86,79,NaN,75,89,82,74,NaN,73,92,-1,-1,NaN,NaN,-1,76,73,76,80,80,85,78,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1
403620010,88,75,77,NaN,88,73,87,80,-1,-1,NaN,81,100,80,87,86,86,87,87,NaN,76,95,87,76,NaN,80,86,72,82,84,NaN,-1,77,73,89,88,89,76,NaN,NaN,NaN,90,NaN,-1,-1,-1,-1,NaN,NaN,-1
403620011,73,86,72,90,81,68,70,NaN,-1,-1,NaN,81,66,76,90,80,69,90,80,NaN,74,77,78,76,NaN,80,80,68,-1,66,NaN,-1,74,79,NaN,80,91,86,84,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN
403620012,76,79,60,NaN,77,69,48,80,-1,-1,NaN,74,60,68,72,77,70,78,65,NaN,68,72,68,70,NaN,73,70,68,-1,NaN,NaN,-1,-1,72,65,NaN,83,60,74,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1
403620013,86,85,88,90,96,80,74,NaN,-1,-1,NaN,94,100,89,82,97,89,95,91,NaN,91,100,90,78,NaN,85,95,90,-1,85,NaN,-1,90,90,82,NaN,91,85,93,79,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1
