id,6201021@民法總則（一）@1@1,6201031@刑法總則（一）@1@1,6201041@憲法（一）@1@1,6201888@學系服務學習@1@1,6201022@民法總則（二）@2@1,6201032@刑法總則（二）@2@1,6201042@憲法（二）@2@1,6201888@學系服務學習@2@1,6203024@海商法@2@1,6203043@警察法@2@1
405620002,80,76,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
405620003,88,88,80,80,-1,-1,-1,NaN,NaN,-1
405620004,80,80,68,NaN,NaN,-1,-1,-1,NaN,NaN
405620005,83,70,84,80,-1,-1,-1,NaN,NaN,NaN
405620006,96,80,78,NaN,-1,-1,-1,-1,NaN,NaN
405620008,81,71,71,NaN,-1,-1,-1,-1,NaN,-1
405620009,78,72,75,80,-1,-1,-1,NaN,NaN,NaN
405620010,86,78,81,NaN,-1,-1,-1,-1,-1,-1
405620011,85,81,79,80,-1,-1,-1,NaN,NaN,NaN
405620012,83,77,80,NaN,-1,-1,-1,-1,NaN,-1
405620013,90,82,78,80,-1,-1,-1,NaN,NaN,NaN
405620014,90,80,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
405620015,83,78,83,80,-1,-1,-1,NaN,-1,NaN
405620016,88,87,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
405620017,94,NaN,NaN,80,-1,NaN,NaN,NaN,NaN,NaN
405620018,81,56,72,NaN,-1,NaN,-1,-1,NaN,NaN
405620019,77,NaN,NaN,80,-1,NaN,NaN,NaN,NaN,NaN
405620020,76,70,72,NaN,-1,-1,-1,-1,NaN,NaN
405620021,80,NaN,NaN,80,-1,NaN,NaN,NaN,NaN,NaN
405620023,90,78,67,80,-1,-1,-1,NaN,NaN,-1
405620024,76,70,71,NaN,-1,-1,-1,-1,NaN,-1
405620025,82,67,74,80,-1,-1,-1,NaN,-1,NaN
405620026,77,71,71,NaN,-1,-1,-1,-1,NaN,NaN
405620027,77,66,68,80,-1,-1,-1,NaN,NaN,NaN
405620028,80,73,78,NaN,-1,-1,-1,-1,-1,-1
405620029,89,NaN,NaN,80,-1,NaN,NaN,NaN,NaN,NaN
405620030,82,77,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
405620031,83,73,72,80,-1,-1,-1,NaN,NaN,-1
405620032,90,81,75,NaN,-1,-1,-1,-1,NaN,-1
405620033,85,73,65,80,-1,-1,-1,NaN,-1,-1
405620034,88,78,77,NaN,-1,-1,-1,-1,NaN,NaN
405620035,84,77,76,80,-1,-1,-1,NaN,NaN,NaN
405620036,78,70,81,NaN,-1,-1,-1,-1,NaN,NaN
405620037,70,56,56,80,-1,-1,NaN,NaN,NaN,NaN
405620038,90,83,80,NaN,-1,-1,-1,-1,NaN,NaN
405620039,71,54,71,80,-1,-1,-1,NaN,NaN,NaN
405620040,81,60,78,NaN,-1,-1,-1,-1,NaN,-1
405620042,83,70,68,NaN,-1,-1,-1,-1,NaN,NaN
405620043,76,60,69,80,-1,-1,-1,NaN,NaN,-1
405620044,90,76,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
405620007,NaN,77,NaN,80,-1,-1,NaN,NaN,NaN,NaN
