id,6201021@民法總則（一）@1@1,6201031@刑法總則（一）@1@1,6201041@憲法（一）@1@1,6201888@學系服務學習@1@1,6201022@民法總則（二）@2@1,6201032@刑法總則（二）@2@1,6201042@憲法（二）@2@1,6201888@學系服務學習@2@1,6203024@海商法@2@1,6203043@警察法@2@1,6203045@教育法@2@1,6202017@民法債編總論（一）@1@1,6202023@民法物權（一）@1@1,6202025@民法親屬@1@1,6202031@刑法分則（一）@1@1,6202037@立法技術與程序@1@1,6202043@行政法總論（一）@1@1,6203020@公司法@1@1,6203047@環境法@1@1,6202019@民法債編總論（二）@2@1,6202024@民法物權（二）@2@1,6202026@民法繼承@2@1,6202032@刑法分則（二）@2@1,6202041@國際公法@2@1,6202044@行政法總論（二）@2@1,6203023@保險法@2@1,6203075@證券交易法@2@1,6203022@票據法@1@1,6203025@民法債編各論（一）@1@1,6203033@刑事訴訟法（一）@1@1,6203035@民事訴訟法（一）@1@1,6203041@地方自治法@1@1,6203042@憲法實例演習（一）@1@1,6203048@行政程序法@1@1,6203061@社會法總論@1@1,6203063@勞動法總論@1@1,6204012@國際私法@1@1,6204026@勞動法實例演習 (四)@1@1,6204034@刑事法實例演習（一）@1@1,6202036@憲法訴訟@2@1,6203026@民法債編各論（二）@2@1,6203034@刑事訴訟法（二）@2@1,6203036@民事訴訟法（二）@2@1,6203044@經濟行政法@2@1,6203046@傳播法@2@1,6203047@環境法@2@1,6203062@社會法各論@2@1,6203064@勞動法各論@2@1,6204052@法律服務（二）@2@1,6204001@訴願及行政訴訟法（一）@1@1,6204051@法律服務（一）@1@1,6204061@海洋法@1@1,6202037@立法技術與程序@2@1,6204002@訴願及行政訴訟法（二）@2@1,6204035@刑事法實例演習 (二)@2@1
402620001,60,47,60,92,60,43,-1,NaN,65,54,56,NaN,26,60,50,NaN,48,35,NaN,67,60,65,70,70,52,80,45,60,44,NaN,58,70,NaN,45,86,60,NaN,NaN,NaN,NaN,44,NaN,52,NaN,NaN,NaN,81,55,NaN,NaN,NaN,NaN,NaN,-1,NaN
402620002,80,78,68,NaN,88,83,75,90,81,81,94,99,91,92,76,NaN,91,78,NaN,82,91,87,74,89,92,94,84,96,80,77,77,83,NaN,79,94,76,NaN,NaN,NaN,NaN,83,82,80,81,NaN,NaN,89,84,NaN,85,NaN,NaN,NaN,-1,NaN
402620003,82,80,93,92,87,89,88,NaN,94,88,93,99,100,87,80,92,95,82,NaN,90,100,88,81,92,87,82,75,97,94,87,91,91,NaN,89,96,91,NaN,NaN,NaN,NaN,89,89,90,91,NaN,NaN,92,90,NaN,94,NaN,NaN,NaN,-1,NaN
402620004,87,68,64,NaN,86,NaN,65,90,89,81,86,68,74,72,78,NaN,86,77,NaN,84,76,76,70,91,86,81,73,89,79,NaN,82,80,NaN,83,94,81,NaN,NaN,NaN,NaN,85,NaN,83,80,NaN,NaN,89,91,NaN,80,NaN,NaN,NaN,-1,NaN
402620005,70,56,60,92,79,NaN,55,NaN,70,77,NaN,63,66,65,68,60,76,62,NaN,71,45,70,82,72,80,60,75,85,69,69,75,73,NaN,64,90,69,68,NaN,90,NaN,85,71,71,-1,NaN,NaN,88,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402620006,80,67,61,NaN,77,NaN,60,90,87,76,80,65,67,88,66,NaN,70,68,NaN,76,70,81,63,83,81,80,87,78,77,NaN,78,80,NaN,73,91,83,83,NaN,NaN,NaN,86,NaN,75,-1,NaN,NaN,92,80,NaN,87,NaN,NaN,NaN,-1,NaN
402620007,74,70,68,92,90,65,60,NaN,NaN,80,71,64,23,65,60,NaN,56,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402620008,89,79,60,NaN,97,75,65,90,95,86,75,81,85,67,80,66,89,80,NaN,76,74,75,80,84,83,84,81,82,86,77,85,80,NaN,71,90,74,93,NaN,NaN,NaN,91,82,81,NaN,NaN,NaN,92,89,NaN,84,NaN,NaN,NaN,-1,NaN
402620009,82,73,60,92,78,60,64,NaN,70,91,NaN,66,72,80,81,NaN,74,69,NaN,79,79,87,71,83,79,92,79,78,84,NaN,83,76,NaN,80,90,81,63,NaN,NaN,NaN,89,NaN,80,-1,83,NaN,84,78,NaN,77,NaN,NaN,NaN,-1,NaN
402620010,84,80,63,NaN,88,73,68,90,82,87,87,81,NaN,81,NaN,NaN,80,80,NaN,90,NaN,87,NaN,NaN,84,87,86,82,72,83,88,83,NaN,79,93,87,80,NaN,NaN,NaN,85,86,88,NaN,80,NaN,88,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402620011,65,73,65,92,86,70,60,NaN,74,70,66,65,66,61,71,NaN,81,66,NaN,76,65,75,67,75,74,68,69,80,61,57,70,72,NaN,61,89,66,60,NaN,NaN,NaN,70,60,65,-1,NaN,NaN,82,69,NaN,60,NaN,NaN,-1,-1,NaN
402620012,80,75,81,NaN,93,NaN,76,90,85,80,83,83,NaN,89,85,NaN,89,79,NaN,84,NaN,80,74,89,87,94,82,98,89,NaN,92,82,NaN,88,94,90,NaN,NaN,NaN,NaN,81,NaN,90,90,90,NaN,89,92,NaN,80,NaN,NaN,NaN,-1,NaN
402620013,81,72,66,92,87,76,60,NaN,78,73,77,72,88,67,75,85,87,64,NaN,80,69,72,75,74,87,78,73,90,76,NaN,68,76,89,NaN,86,67,83,NaN,NaN,NaN,75,NaN,67,NaN,63,NaN,89,79,NaN,83,NaN,NaN,NaN,-1,NaN
402620014,83,78,73,NaN,77,70,65,90,90,85,NaN,77,NaN,90,NaN,NaN,86,73,NaN,86,90,84,NaN,NaN,87,92,81,89,80,76,86,83,NaN,76,93,84,94,NaN,NaN,NaN,90,83,93,81,83,89,89,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402620016,81,68,60,NaN,74,60,68,90,70,70,78,61,85,74,70,62,78,69,NaN,78,74,70,70,83,71,75,73,98,81,72,75,80,85,NaN,91,68,92,NaN,NaN,NaN,75,76,72,NaN,60,NaN,86,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402620017,72,NaN,61,92,81,NaN,55,NaN,88,70,NaN,73,68,74,75,73,70,64,NaN,74,68,74,67,76,78,78,74,65,NaN,NaN,67,73,NaN,60,94,81,NaN,NaN,NaN,NaN,NaN,NaN,74,63,NaN,NaN,85,78,88,73,NaN,NaN,NaN,-1,NaN
402620019,80,70,62,92,95,70,67,NaN,78,NaN,81,79,NaN,84,73,NaN,82,76,NaN,78,NaN,74,70,83,85,85,77,85,77,72,81,80,NaN,71,89,75,NaN,NaN,88,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN,68,NaN,NaN,NaN,-1,NaN
402620020,68,66,63,NaN,79,71,70,90,86,81,88,74,78,65,72,NaN,86,83,NaN,83,78,71,76,82,87,80,89,86,77,75,73,80,NaN,79,87,83,94,NaN,NaN,NaN,85,81,87,-1,77,NaN,87,78,NaN,92,NaN,90,-1,-1,NaN
402620021,73,62,50,92,76,NaN,50,NaN,78,73,75,73,NaN,60,69,NaN,68,64,NaN,73,NaN,81,60,78,69,81,60,91,71,75,73,80,NaN,60,85,72,NaN,NaN,82,NaN,64,75,73,60,NaN,NaN,82,81,NaN,68,91,92,NaN,-1,NaN
402620022,79,63,65,NaN,84,60,60,90,70,81,88,79,NaN,81,NaN,NaN,83,85,NaN,86,NaN,81,NaN,NaN,76,85,75,79,NaN,NaN,84,80,NaN,66,99,80,80,NaN,NaN,NaN,85,NaN,78,NaN,69,NaN,88,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402620023,73,55,60,92,80,53,55,NaN,68,70,77,61,71,69,71,NaN,79,67,NaN,70,NaN,65,60,70,75,70,72,79,NaN,NaN,77,80,NaN,60,92,60,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,86,79,86,68,NaN,90,NaN,-1,NaN
402620024,61,62,40,NaN,75,53,60,90,73,78,68,61,57,60,62,NaN,66,78,NaN,75,-1,60,65,-1,64,67,72,74,NaN,70,74,72,NaN,60,89,82,75,NaN,NaN,NaN,NaN,73,65,-1,NaN,NaN,77,69,NaN,NaN,NaN,NaN,-1,-1,NaN
402620025,71,67,60,92,88,54,55,NaN,77,80,82,76,66,87,69,NaN,84,80,NaN,79,86,95,75,81,82,85,80,75,NaN,NaN,92,75,NaN,73,96,74,78,NaN,NaN,NaN,NaN,NaN,79,60,NaN,NaN,86,88,NaN,81,NaN,NaN,NaN,-1,NaN
402620026,80,76,65,NaN,82,67,60,90,84,86,84,68,63,80,75,NaN,76,81,NaN,68,65,83,66,82,84,77,62,90,84,73,85,80,NaN,NaN,90,80,98,NaN,NaN,NaN,78,83,82,80,NaN,NaN,92,82,NaN,80,93,91,NaN,-1,NaN
402620027,74,62,40,92,65,60,50,NaN,85,73,71,61,NaN,74,NaN,NaN,60,82,NaN,77,NaN,80,NaN,NaN,78,84,82,65,NaN,76,84,76,NaN,65,96,71,68,NaN,NaN,NaN,NaN,79,77,60,NaN,NaN,86,84,NaN,84,NaN,NaN,NaN,NaN,-1
402620028,80,72,40,NaN,83,62,60,90,92,71,72,72,NaN,60,71,NaN,69,79,NaN,73,NaN,80,62,78,74,82,77,70,45,74,74,80,NaN,75,89,73,NaN,NaN,NaN,NaN,NaN,80,67,-1,NaN,NaN,89,79,NaN,74,90,92,NaN,-1,NaN
402620029,78,78,65,92,86,75,68,NaN,75,80,90,82,73,73,83,87,81,92,NaN,83,77,85,76,66,77,77,80,86,NaN,81,84,80,89,NaN,93,80,88,NaN,90,76,NaN,85,89,79,NaN,NaN,81,83,NaN,NaN,90,NaN,NaN,NaN,NaN
402620030,73,78,60,NaN,85,70,68,90,82,88,87,83,NaN,85,NaN,NaN,73,71,NaN,82,NaN,81,NaN,NaN,85,92,70,NaN,79,80,82,80,NaN,68,89,81,NaN,NaN,NaN,NaN,87,83,82,NaN,66,90,88,80,NaN,74,NaN,NaN,NaN,-1,NaN
402620031,78,NaN,62,92,81,NaN,70,NaN,80,80,73,72,53,67,NaN,NaN,70,70,NaN,72,57,73,NaN,NaN,79,67,73,81,NaN,NaN,77,80,NaN,73,92,71,83,NaN,NaN,NaN,NaN,NaN,78,60,NaN,NaN,80,86,NaN,76,NaN,NaN,NaN,NaN,-1
402620032,90,76,72,NaN,91,73,70,90,71,88,NaN,81,93,75,NaN,NaN,89,75,NaN,82,78,77,NaN,NaN,87,90,79,90,82,NaN,84,80,NaN,81,89,81,80,NaN,NaN,NaN,85,NaN,82,NaN,63,86,84,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402620033,77,68,67,92,82,72,60,NaN,80,89,82,81,72,70,81,75,84,71,NaN,80,72,79,68,81,81,70,83,78,90,NaN,96,81,87,87,87,84,94,NaN,NaN,NaN,87,NaN,86,NaN,65,NaN,87,88,NaN,85,NaN,NaN,NaN,-1,NaN
402620034,80,75,73,NaN,86,81,65,90,96,86,89,74,94,83,75,67,85,90,NaN,84,85,77,80,89,83,76,86,90,88,88,92,86,90,NaN,87,90,84,NaN,94,80,80,87,90,85,80,NaN,87,86,-1,NaN,95,NaN,NaN,NaN,NaN
402620035,82,72,71,92,89,77,77,NaN,82,80,82,81,83,88,78,73,84,75,NaN,85,82,79,76,81,86,85,89,86,NaN,NaN,83,74,NaN,69,94,74,64,NaN,NaN,NaN,NaN,NaN,79,74,NaN,NaN,92,80,NaN,86,NaN,NaN,NaN,-1,NaN
402620036,79,68,70,NaN,91,NaN,65,90,90,85,80,76,86,85,82,NaN,83,80,NaN,87,85,84,72,90,84,84,78,83,82,80,85,80,NaN,80,94,88,NaN,NaN,NaN,NaN,78,83,89,81,77,NaN,89,92,NaN,82,NaN,NaN,NaN,-1,NaN
402620037,79,70,70,92,96,70,63,NaN,85,85,84,71,90,85,72,NaN,76,76,NaN,84,83,80,67,70,78,70,NaN,80,NaN,76,81,80,NaN,70,96,75,80,NaN,NaN,NaN,NaN,82,81,71,NaN,NaN,86,86,NaN,87,NaN,NaN,NaN,NaN,NaN
402620038,80,72,65,NaN,83,75,78,90,70,75,83,74,89,74,74,41,79,72,NaN,78,81,81,70,80,84,92,82,67,84,76,76,80,NaN,72,90,81,89,NaN,NaN,NaN,83,79,69,NaN,60,NaN,87,76,NaN,82,NaN,94,NaN,-1,NaN
402620039,92,76,73,92,90,76,72,NaN,70,78,87,77,82,86,72,67,86,79,NaN,80,95,85,75,81,84,93,83,87,86,73,77,80,NaN,81,90,82,94,NaN,NaN,NaN,78,79,78,-1,73,NaN,87,80,NaN,82,NaN,NaN,NaN,-1,NaN
402620040,88,74,65,NaN,87,73,60,90,89,74,87,81,79,78,75,69,79,65,NaN,80,85,81,75,86,88,92,92,88,93,NaN,96,87,88,89,89,90,84,NaN,NaN,NaN,84,NaN,88,NaN,NaN,NaN,89,87,NaN,91,NaN,NaN,NaN,-1,NaN
402620041,84,72,69,92,88,73,60,NaN,85,85,86,71,NaN,69,NaN,NaN,88,70,NaN,81,NaN,74,NaN,NaN,88,93,76,78,85,73,73,88,NaN,73,89,74,93,92,84,NaN,70,78,87,77,77,NaN,81,75,NaN,89,NaN,NaN,NaN,-1,NaN
402620042,95,87,76,NaN,96,83,80,90,83,80,NaN,99,100,NaN,78,74,90,81,NaN,86,NaN,86,80,92,88,90,87,92,91,85,86,87,NaN,87,94,94,NaN,NaN,NaN,NaN,88,89,96,82,83,NaN,89,82,NaN,94,NaN,NaN,NaN,-1,NaN
402620043,76,76,63,92,86,NaN,60,NaN,70,70,81,72,NaN,78,75,NaN,84,78,NaN,78,NaN,77,71,76,93,92,66,75,NaN,76,92,80,NaN,71,92,73,NaN,NaN,83,NaN,NaN,78,81,62,NaN,NaN,84,81,NaN,64,NaN,NaN,NaN,-1,NaN
402620044,93,NaN,NaN,NaN,79,NaN,NaN,80,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,69,NaN,85,72,93,65,NaN,77,70,NaN,71,85,79,73,NaN,83,70,75,NaN,72,79,55,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402620045,61,NaN,NaN,80,-1,NaN,NaN,NaN,90,77,NaN,84,NaN,NaN,69,NaN,NaN,73,NaN,84,NaN,85,78,-1,75,60,81,87,71,NaN,NaN,82,84,89,82,76,NaN,NaN,NaN,85,65,NaN,NaN,-1,60,NaN,72,74,NaN,77,NaN,85,-1,-1,NaN
