id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6301007@刑法總則（一）@1@1,6301018@法學緒論（一）@1@1,6301888@學系服務學習@1@1,6302015@行政法總論（一）@1@1,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6301014@刑法總則（二）@2@1,6301019@法學緒論（二）@2@1,6301888@學系服務學習@2@1,6302016@行政法總論（二）@2@1,6302025@所得稅法@2@1,6303012@公平交易法@2@1,6302001@民法親屬@1@1,6302003@國際公法（一）@1@1,6302009@消費者保護法@1@1,6302012@營業稅法@1@1,6302013@民法物權（一）@1@1,6302017@英美法導論（一）@1@1,6302019@民法債編總論（一）@1@1,6304016@著作權法@1@1,6304027@法律實務(一)@1@1,6302002@民法繼承@2@1,6302004@國際公法（二）@2@1,6302014@民法物權（二）@2@1,6302020@民法債編總論（二）@2@1,6302024@法學英文@2@1,6303018@保險法@2@1,6303019@海商法@2@1,6303029@稅法實例演習@2@1,6304006@證券交易法@2@1,6303001@民法債編各論（一）@1@1,6303008@商事法總論及公司法@1@1,6303009@票據法@1@1,6303021@刑事訴訟法（一）@1@1,6303024@稅法總論@1@1,6303036@商標法@1@1,6303038@銀行法@1@1,6304007@國際私法（一）@1@1,6304015@行政救濟法@1@1,6304029@國際貿易法@1@1,6303002@民法債編各論（二）@2@1,6303015@金融法@2@1,6303022@刑事訴訟法（二）@2@1,6303034@法律倫理學@2@1,6303035@兩岸信託法@2@1,6303037@專利法@2@1,6304008@國際私法（二）@2@1,6304012@行政法實例演習@2@1,6302060@商事法@1@1,6304005@強制執行法@1@1,6304006@證券交易法@1@1,6304033@刑事證據法(一)@1@1,6304036@智慧財產權法實例演習@1@1,6304056@企業併購法@1@1,6303020@信託法@2@1,6303033@稅捐稽徵法@2@1,6303042@破產法暨消費者債務清理條例@2@1
402630001,86,70,60,75,79,68,66,81,77,NaN,NaN,74,83,NaN,86,74,NaN,90,73,NaN,80,71,NaN,76,75,77,65,NaN,80,71,92,NaN,78,73,84,80,88,64,80,NaN,91,83,74,85,68,84,84,62,NaN,NaN,NaN,NaN,80,NaN,89,87,NaN,-1,NaN
402630002,80,89,64,75,NaN,80,84,85,60,NaN,79,80,70,NaN,77,76,NaN,NaN,78,NaN,71,82,NaN,77,82,78,80,79,79,79,NaN,NaN,85,78,84,77,92,64,75,NaN,75,86,81,73,72,83,NaN,60,NaN,88,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN
402630004,55,60,45,NaN,NaN,NaN,50,45,40,NaN,80,0,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52,41,55,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402630005,79,75,66,82,75,84,67,84,60,79,NaN,86,80,NaN,74,82,NaN,NaN,71,80,79,80,NaN,74,85,74,67,NaN,78,81,NaN,NaN,74,80,87,78,88,74,89,NaN,94,92,79,80,80,68,NaN,72,NaN,87,NaN,NaN,80,87,NaN,87,NaN,-1,NaN
402630006,91,75,70,77,NaN,80,91,84,72,83,80,80,85,NaN,89,82,NaN,NaN,86,NaN,81,91,NaN,82,83,75,84,82,82,88,NaN,NaN,94,88,93,82,90,68,NaN,NaN,88,86,96,84,79,87,NaN,71,NaN,88,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
402630007,88,78,69,83,75,91,95,82,81,85,NaN,75,85,NaN,91,89,88,NaN,83,NaN,83,88,NaN,92,88,85,92,72,93,80,NaN,NaN,79,91,92,79,88,70,92,NaN,94,87,72,88,77,94,89,74,NaN,NaN,NaN,NaN,82,NaN,NaN,89,NaN,NaN,NaN
402630008,89,73,67,84,NaN,74,76,81,76,78,80,76,96,NaN,79,79,NaN,85,72,NaN,71,84,NaN,69,80,77,75,NaN,79,83,NaN,NaN,80,77,81,75,88,68,86,NaN,74,95,87,94,79,84,NaN,62,NaN,88,NaN,NaN,87,83,NaN,NaN,NaN,NaN,NaN
402630010,90,62,72,NaN,NaN,90,89,83,67,81,80,80,80,NaN,96,77,NaN,90,84,NaN,90,NaN,NaN,77,80,87,88,77,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402630011,79,85,62,NaN,73,78,70,81,60,NaN,NaN,77,85,NaN,85,76,NaN,86,78,91,82,87,NaN,77,79,78,79,87,83,87,NaN,NaN,82,79,84,80,90,69,84,NaN,94,85,91,90,75,74,NaN,65,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN
402630012,81,87,70,NaN,NaN,77,89,84,66,NaN,80,80,88,NaN,85,75,NaN,NaN,77,NaN,87,82,NaN,83,82,81,85,NaN,91,86,NaN,NaN,87,84,91,80,90,70,NaN,NaN,97,93,82,84,68,87,NaN,74,NaN,88,NaN,NaN,86,78,84,NaN,NaN,-1,NaN
