id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6301007@刑法總則（一）@1@1,6301888@學系服務學習@1@1,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6301014@刑法總則（二）@2@1,6301019@法學緒論（二）@2@1,6301888@學系服務學習@2@1,6302002@民法繼承@2@1,6302020@民法債編總論（二）@2@1,6303019@海商法@2@1,6303042@破產法暨消費者債務清理條例@2@1
405630001,99,84,75,89,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405630002,90,84,69,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405630003,95,92,70,89,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630004,83,86,64,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
405630005,90,90,75,89,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405630006,71,84,62,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405630007,81,83,50,89,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630008,84,86,75,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405630009,80,83,72,89,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405630011,93,84,84,87,-1,-1,-1,NaN,NaN,-1,NaN,NaN,-1
405630012,88,92,69,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
405630013,79,78,70,42,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
405630014,88,86,69,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN
405630015,91,92,80,89,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630016,95,86,74,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405630017,82,82,63,89,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630018,57,76,60,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
405630019,88,86,78,89,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630020,86,84,71,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405630021,94,90,81,91,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630022,78,88,62,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN
405630023,90,84,66,89,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405630024,80,86,72,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN
405630025,91,78,65,89,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630026,69,80,60,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405630027,88,86,72,89,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630029,70,88,62,91,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630030,97,86,72,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN
405630031,93,84,67,91,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630032,93,82,82,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405630033,77,82,67,89,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630034,94,92,74,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
405630035,94,80,72,89,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405630036,73,80,64,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405630037,99,86,82,91,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630038,79,86,71,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN
405630039,88,83,67,87,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405630040,55,75,56,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN
405630041,64,77,70,87,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630043,98,86,70,89,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405630044,74,83,72,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN
405630045,89,76,74,89,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405630046,80,88,67,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405630047,71,77,77,40,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405630048,74,81,72,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
405630049,88,85,64,89,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630050,99,88,67,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405630051,79,82,66,89,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405630052,77,80,66,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405630053,99,89,75,89,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
