id,6305030@著作權法專題研究@1@1,6306009@刑事訴訟法專題研究（一）@1@1,6306011@兩岸民事法專題研究（一）@1@1,6306021@法學英文（一）@1@1,6306105@國際貿易法專題研究（一）@1@1,6306207@智慧財產權法總論專題研究（一）@1@1,6306210@商標制度專題研究@1@1,6306216@生物科技法律專題研究@1@1,6306402@公司法專題研究@1@1,6306502@憲法專題研究@1@1,6306504@國際經濟法專題研究（一）@1@1,6306505@稅法基礎理論專題研究（一）@1@1,6306512@稅捐稽徵法專題研究（三）@1@1,6305072@國際智慧財產權法專題研究@2@1,6306012@兩岸民事法專題研究（二）@2@1,6306022@法學英文（二）@2@1,6306108@證券交易法專題研究@2@1,6306125@行政法專題研究@2@1,6306213@智慧財產權法總論專題研究（二）@2@1,6306303@金融法專題研究@2@1,6306316@美國法總論專題研究（二）@2@1,6306514@國際經濟法專題研究（二）@2@1,6306515@稅法基礎理論專題研究（二）@2@1,6306517@稅捐稽徵法專題研究（四）@2@1,6305001@財政憲法專題研究@1@1,6305029@企業契約法專題研究@1@1,6306115@消費者保護法專題研究@1@1,6306315@美國法總論專題研究（一）@1@1,6306507@稅法基礎理論專題研究（三）@1@1,6306509@稅捐稽徵法專題研究（一）@1@1,6305002@納稅者權利保護專題研究@2@1,6305003@法學英文(二)-契約法@2@1,6305080@智慧財產權授權契約專題研究@2@1,6306008@兩岸侵權責任法專題研究@2@1,6306010@刑事訴訟法專題研究（二）@2@1,6306014@原住民族權利與部落經濟發展@2@1,6306016@行政執行法@2@1,6306106@國際貿易法專題研究（二）@2@1,6306116@公平交易法專題研究@2@1,6306209@專利制度專題研究@2@1,6306508@稅法基礎理論專題研究（四）@2@1,6306510@稅捐稽徵法專題研究（二）@2@1,6305076@所得稅法專題研究@1@1,6305083@稅法案例專題研究（一）@1@1,6305084@稅法案例專題研究（二）@2@1,6306018@法律實務(二)@2@1,6306512@稅捐稽徵法專題研究（三）@2@1,6306001@稅法案例專題研究（三）@1@1,6306503@稅捐救濟專題研究（一）@1@1
601630002,89,NaN,94,91,NaN,87,89,NaN,87,95,88,NaN,NaN,91,NaN,90,NaN,97,91,88,87,88,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601630010,90,NaN,NaN,87,88,78,NaN,89,82,93,87,NaN,NaN,86,NaN,87,NaN,80,87,84,NaN,87,NaN,NaN,NaN,NaN,94,87,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601630013,88,NaN,NaN,94,91,80,NaN,NaN,86,96,95,NaN,NaN,NaN,91,88,NaN,86,72,84,NaN,87,NaN,NaN,NaN,NaN,94,NaN,91,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601630016,87,NaN,93,88,NaN,83,NaN,NaN,86,82,86,NaN,NaN,87,91,88,NaN,86,85,87,NaN,87,NaN,NaN,NaN,92,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601630018,NaN,86,NaN,86,NaN,85,89,NaN,84,88,83,NaN,NaN,NaN,NaN,NaN,94,90,81,91,87,84,90,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601630003,NaN,NaN,93,85,NaN,78,NaN,NaN,86,91,90,NaN,NaN,NaN,92,88,NaN,92,84,85,NaN,85,NaN,89,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601630009,NaN,NaN,94,91,NaN,80,87,NaN,83,85,93,NaN,NaN,NaN,NaN,86,NaN,89,86,81,88,86,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601630017,NaN,NaN,92,87,NaN,84,89,88,84,83,86,NaN,NaN,89,NaN,91,NaN,89,87,85,87,86,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601630019,NaN,NaN,93,88,NaN,84,NaN,NaN,85,92,93,NaN,NaN,NaN,91,89,NaN,87,80,80,NaN,89,NaN,NaN,NaN,93,93,NaN,NaN,90,NaN,NaN,NaN,93,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601630021,NaN,NaN,92,93,NaN,86,NaN,NaN,83,86,93,NaN,NaN,NaN,92,91,NaN,89,91,80,NaN,89,NaN,NaN,NaN,93,93,NaN,NaN,90,NaN,NaN,NaN,93,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
