id,6305001@財政憲法專題研究@1@1,6305004@法學英文(三)-刑法@1@1,6305007@兩岸企業併購法專題研究@1@1,6305008@兩岸企業契約法專題研究@1@1,6305030@著作權法專題研究@1@1,6305067@國際投資法專題研究（一）@1@1,6305076@所得稅法專題研究@1@1,6305083@稅法案例專題研究（一）@1@1,6306002@金融刑法專題研究（一）@1@1,6306009@刑事訴訟法專題研究（一）@1@1,6306105@國際貿易法專題研究（一）@1@1,6306115@消費者保護法專題研究@1@1,6306207@智慧財產權法總論專題研究（一）@1@1,6306210@商標制度專題研究@1@1,6306315@美國法總論專題研究（一）@1@1,6306402@公司法專題研究@1@1,6306504@國際經濟法專題研究（一）@1@1,6305002@納稅者權利保護專題研究@2@1,6305005@法學英文(四)-刑事訴訟法@2@1,6305068@國際投資法專題研究（二）@2@1,6305080@智慧財產權授權契約專題研究@2@1,6305084@稅法案例專題研究（二）@2@1,6306005@金融刑法專題研究（二）@2@1,6306010@刑事訴訟法專題研究（二）@2@1,6306017@兩岸企業經營者責任法專題研究@2@1,6306018@法律實務(二)@2@1,6306106@國際貿易法專題研究（二）@2@1,6306209@專利制度專題研究@2@1,6306213@智慧財產權法總論專題研究（二）@2@1,6306303@金融法專題研究@2@1,6306316@美國法總論專題研究（二）@2@1,6306512@稅捐稽徵法專題研究（三）@2@1,6306514@國際經濟法專題研究（二）@2@1,6305006@法學英文(一)-侵權行為法@1@1,6306001@稅法案例專題研究（三）@1@1,6306019@兩岸民法專題研究(一)@1@1,6306211@比較商法專題研究（一）@1@1,6306503@稅捐救濟專題研究（一）@1@1,6306006@稅法案例專題研究（四）@2@1,6306020@兩岸民法專題研究(二)@2@1,6306513@稅捐救濟專題研究（二）@2@1,6305009@企業併購法專題研究@1@1,6305013@國際經貿法專題研究(一)@1@1,6305012@兩岸消費者保護法專題研究(二)@2@1,6306025@商事法實務研習與專題研究@2@1
603630005,92,91,NaN,NaN,NaN,NaN,89,92,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,91,90,NaN,NaN,92,NaN,NaN,NaN,84,NaN,NaN,84,86,NaN,89,NaN,NaN,92,NaN,94,89,92,NaN,89,NaN,NaN,NaN,NaN
603630006,91,NaN,NaN,NaN,NaN,NaN,90,92,NaN,87,84,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,92,NaN,86,NaN,NaN,80,NaN,NaN,89,NaN,88,NaN,NaN,92,NaN,NaN,89,92,NaN,88,NaN,NaN,NaN,NaN
603630008,92,NaN,NaN,NaN,NaN,NaN,90,93,NaN,86,91,NaN,NaN,NaN,NaN,93,NaN,92,NaN,NaN,NaN,93,NaN,87,NaN,NaN,97,NaN,NaN,NaN,NaN,90,NaN,NaN,94,NaN,NaN,91,93,NaN,91,NaN,NaN,NaN,NaN
603630012,91,87,NaN,NaN,92,NaN,90,92,NaN,86,NaN,NaN,NaN,NaN,89,NaN,NaN,91,NaN,NaN,88,92,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,92,NaN,NaN,89,92,NaN,88,NaN,NaN,NaN,NaN
603630002,NaN,89,NaN,NaN,91,NaN,NaN,NaN,86,NaN,95,NaN,89,88,89,91,86,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,92,86,91,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603630003,NaN,89,NaN,NaN,89,NaN,NaN,NaN,86,NaN,95,NaN,89,NaN,88,89,86,NaN,89,NaN,89,NaN,NaN,NaN,NaN,NaN,91,NaN,85,87,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603630009,NaN,88,NaN,88,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,83,NaN,NaN,89,86,NaN,82,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,85,82,90,NaN,NaN,86,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN
603630011,NaN,87,89,NaN,NaN,NaN,NaN,NaN,86,NaN,97,NaN,87,NaN,85,91,90,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,85,89,NaN,NaN,89,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
603630016,NaN,87,90,NaN,89,NaN,NaN,NaN,NaN,87,91,NaN,89,NaN,87,93,90,NaN,85,NaN,89,NaN,NaN,NaN,NaN,NaN,84,NaN,84,89,NaN,NaN,84,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603630017,NaN,89,93,NaN,NaN,NaN,NaN,NaN,86,NaN,93,NaN,92,NaN,86,94,87,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,87,88,NaN,NaN,88,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
