id,6305001@財政憲法專題研究@1@1,6305029@企業契約法專題研究@1@1,6305030@著作權法專題研究@1@1,6306021@法學英文（一）@1@1,6306105@國際貿易法專題研究（一）@1@1,6306115@消費者保護法專題研究@1@1,6306207@智慧財產權法總論專題研究（一）@1@1,6306216@生物科技法律專題研究@1@1,6306402@公司法專題研究@1@1,6306504@國際經濟法專題研究（一）@1@1,6306507@稅法基礎理論專題研究（三）@1@1,6306509@稅捐稽徵法專題研究（一）@1@1,6305002@納稅者權利保護專題研究@2@1,6305003@法學英文(二)-契約法@2@1,6305080@智慧財產權授權契約專題研究@2@1,6306005@金融刑法專題研究（二）@2@1,6306010@刑事訴訟法專題研究（二）@2@1,6306014@原住民族權利與部落經濟發展@2@1,6306016@行政執行法@2@1,6306106@國際貿易法專題研究（二）@2@1,6306116@公平交易法專題研究@2@1,6306213@智慧財產權法總論專題研究（二）@2@1,6306303@金融法專題研究@2@1,6306508@稅法基礎理論專題研究（四）@2@1,6306510@稅捐稽徵法專題研究（二）@2@1,6306514@國際經濟法專題研究（二）@2@1,6305004@法學英文(三)-刑法@1@1,6305007@兩岸企業併購法專題研究@1@1,6305067@國際投資法專題研究（一）@1@1,6305076@所得稅法專題研究@1@1,6305083@稅法案例專題研究（一）@1@1,6306002@金融刑法專題研究（一）@1@1,6306009@刑事訴訟法專題研究（一）@1@1,6306315@美國法總論專題研究（一）@1@1,6305068@國際投資法專題研究（二）@2@1,6305084@稅法案例專題研究（二）@2@1,6306018@法律實務(二)@2@1,6306209@專利制度專題研究@2@1,6306316@美國法總論專題研究（二）@2@1,6306512@稅捐稽徵法專題研究（三）@2@1,6306503@稅捐救濟專題研究（一）@1@1,6306513@稅捐救濟專題研究（二）@2@1,6305009@企業併購法專題研究@1@1,6305010@法律實習@1@1,6305013@國際經貿法專題研究(一)@1@1,6306306@信託法專題研究@1@1,6306505@稅法基礎理論專題研究（一）@1@1,6305005@法學英文(四)-刑事訴訟法@2@1,6305014@國際經貿法專題研究(二)@2@1,6306025@商事法實務研習與專題研究@2@1,6306515@稅法基礎理論專題研究（二）@2@1
602630004,90,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,90,89,91,NaN,NaN,NaN,83,NaN,85,88,NaN,NaN,NaN,92,88,NaN,NaN,NaN,NaN,88,91,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630005,91,NaN,NaN,NaN,93,NaN,NaN,NaN,86,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630010,90,NaN,87,95,93,NaN,87,86,90,88,NaN,NaN,NaN,89,NaN,NaN,87,NaN,NaN,95,NaN,78,91,NaN,NaN,89,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630012,92,NaN,NaN,95,93,NaN,NaN,NaN,NaN,89,92,89,95,97,NaN,NaN,86,NaN,NaN,89,NaN,NaN,NaN,96,88,88,NaN,NaN,NaN,89,93,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630015,91,NaN,NaN,NaN,90,90,NaN,NaN,NaN,NaN,NaN,89,92,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,92,88,NaN,85,NaN,NaN,88,92,NaN,87,NaN,NaN,92,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630019,92,NaN,NaN,NaN,93,NaN,85,89,85,88,92,89,93,NaN,NaN,88,88,NaN,NaN,89,NaN,85,93,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630020,91,NaN,NaN,93,93,90,86,NaN,91,86,NaN,NaN,NaN,93,NaN,NaN,86,NaN,NaN,88,90,88,92,NaN,NaN,87,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630006,NaN,90,NaN,NaN,94,NaN,87,NaN,95,85,NaN,89,NaN,NaN,NaN,NaN,87,92,NaN,NaN,NaN,80,92,NaN,NaN,87,85,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630007,NaN,88,NaN,95,92,NaN,92,NaN,94,85,NaN,NaN,NaN,87,NaN,88,NaN,NaN,NaN,91,NaN,85,89,NaN,NaN,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630008,NaN,89,NaN,87,NaN,NaN,90,NaN,90,94,NaN,NaN,NaN,NaN,NaN,NaN,88,92,NaN,NaN,NaN,84,89,NaN,NaN,87,NaN,95,88,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,88,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630009,NaN,86,NaN,89,92,NaN,85,86,91,75,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,89,NaN,79,91,NaN,NaN,85,NaN,93,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630018,NaN,NaN,86,88,88,NaN,84,88,85,78,NaN,NaN,NaN,NaN,89,87,87,NaN,NaN,89,NaN,79,84,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630003,NaN,NaN,89,86,93,NaN,86,NaN,85,88,NaN,NaN,NaN,86,NaN,NaN,86,NaN,NaN,88,NaN,80,83,NaN,NaN,87,NaN,88,NaN,NaN,NaN,87,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630011,NaN,NaN,NaN,91,90,90,87,NaN,96,93,NaN,NaN,NaN,92,NaN,87,87,NaN,NaN,NaN,91,88,97,NaN,NaN,92,NaN,97,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630013,NaN,NaN,NaN,88,93,NaN,85,NaN,92,85,NaN,NaN,NaN,88,NaN,NaN,84,NaN,NaN,88,NaN,84,92,NaN,NaN,88,NaN,96,NaN,NaN,NaN,86,84,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,87,NaN,90,NaN,NaN,NaN,-1,NaN
602630014,NaN,NaN,NaN,91,93,NaN,85,NaN,86,93,NaN,NaN,NaN,94,NaN,NaN,89,NaN,NaN,88,NaN,79,90,NaN,NaN,87,NaN,88,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630002,NaN,NaN,NaN,NaN,94,NaN,86,87,91,90,NaN,NaN,NaN,NaN,NaN,86,87,NaN,NaN,88,NaN,82,87,NaN,NaN,92,NaN,89,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602630016,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,89,NaN,NaN,NaN,92,86,92,-1,-1,-1,-1
