id,3401014@成人心理@1@1,3401015@生涯探索@1@1,3401020@口語傳播@1@1,3401024@教育傳播與科技@1@1,3401101@成人教育導論@1@1,3401110@成人基本教育@1@1,3401888@學系服務學習@1@1,3401016@創造力發展@2@1,3401017@成人學習@2@1,3401019@成人教育英文名著導讀@2@1,3401022@社區資源開發@2@1,3401023@人力資源發展與管理@2@1,3401888@學系服務學習@2@1,3401031@成人教育生涯探索@1@1,3402009@成人教育方案規劃@1@1,3402016@生涯規劃@1@1,3402018@溝通與領導@1@1,3402522@教育統計（上）@1@1,3402523@社區教育@1@1,3402524@教育傳播與科技@1@1,3402020@教育統計（下）@2@1,3402021@成人教學@2@1,3402027@教育訓練與發展@2@1,3402028@成人教材設計與評量@2@1,3402230@老人健康保健@2@1,3404204@性別與學習@2@1,3402026@成人教育行銷@1@1,3403026@教育研究法@1@1,3403028@網路學習@1@1,3403031@成人教育專案管理@1@1,3403040@高齡教育學@1@1,3404012@社會老年學@1@1,3403013@比較成人教育@2@1,3403032@高齡學習@2@1,3403033@成人教育行政與組織管理@2@1,3403034@成人教育社會學@2@1,3403520@樂齡教育與相關產業@2@1,3403010@成人教育實習@1@1,3404013@成人教育史哲@1@1,3403036@數位教材設計與製作@2@1
401710001,92,86,83,NaN,87,NaN,86,88,91,NaN,93,84,NaN,NaN,95,90,87,88,83,92,91,84,94,80,89,92,NaN,91,75,NaN,90,NaN,92,91,87,90,NaN,92,93,NaN
401710002,86,80,82,NaN,89,80,NaN,82,91,NaN,94,86,85,NaN,90,90,80,92,85,84,92,76,88,91,NaN,NaN,NaN,77,71,NaN,82,NaN,90,NaN,81,83,93,85,90,NaN
401710003,80,80,83,NaN,86,NaN,86,82,88,NaN,93,87,NaN,NaN,86,90,76,89,84,82,92,74,NaN,91,87,86,NaN,76,71,88,78,NaN,91,NaN,79,85,89,89,88,NaN
401710004,86,85,90,NaN,84,85,NaN,86,85,NaN,NaN,86,85,NaN,79,88,80,77,86,81,83,78,NaN,NaN,84,NaN,88,90,72,89,86,NaN,92,90,89,90,NaN,90,92,NaN
401710005,85,86,83,NaN,89,91,87,91,82,80,91,86,NaN,NaN,88,90,85,78,87,65,84,76,NaN,NaN,85,NaN,NaN,87,74,88,63,NaN,91,89,81,89,NaN,93,90,NaN
401710006,86,80,88,NaN,89,NaN,NaN,82,87,NaN,NaN,86,85,NaN,91,NaN,NaN,82,84,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,90,NaN,NaN,NaN
401710007,92,88,92,NaN,92,94,87,81,80,NaN,93,90,NaN,NaN,96,92,83,92,85,86,90,71,NaN,90,NaN,NaN,NaN,89,67,90,91,NaN,93,NaN,80,90,NaN,92,94,NaN
401710008,91,80,88,NaN,90,NaN,NaN,89,87,NaN,94,86,85,NaN,86,92,76,83,82,82,87,73,93,92,85,NaN,NaN,84,71,NaN,84,NaN,93,89,82,89,NaN,88,93,NaN
401710009,84,80,82,NaN,82,87,87,87,83,NaN,93,86,NaN,NaN,86,90,71,82,82,88,86,72,90,85,86,NaN,NaN,86,66,88,85,NaN,93,81,81,88,NaN,87,93,NaN
401710010,91,80,92,88,90,94,NaN,91,93,86,87,88,85,NaN,92,92,NaN,88,84,NaN,90,74,90,93,90,90,88,82,73,NaN,67,NaN,92,NaN,82,90,NaN,91,90,NaN
