id,3401014@成人心理@1@1,3401020@口語傳播@1@1,3401031@成人教育生涯探索@1@1,3401101@成人教育導論@1@1,3401110@成人基本教育@1@1,3401888@學系服務學習@1@1,3401016@創造力發展@2@1,3401017@成人學習@2@1,3401022@社區資源開發@2@1,3401023@人力資源發展與管理@2@1,3401888@學系服務學習@2@1,3402009@成人教育方案規劃@1@1,3402018@溝通與領導@1@1,3402026@成人教育行銷@1@1,3402522@教育統計（上）@1@1,3402523@社區教育@1@1,3402524@教育傳播與科技@1@1,3402531@成人教育生涯規劃@1@1,3404012@社會老年學@1@1,3401019@成人教育英文名著導讀@2@1,3402020@教育統計（下）@2@1,3402021@成人教學@2@1,3402027@教育訓練與發展@2@1,3402028@成人教材設計與評量@2@1,3402230@老人健康保健@2@1,3403032@高齡學習@2@1,3403520@樂齡教育與相關產業@2@1,3404204@性別與學習@2@1,3403010@成人教育實習@1@1,3403026@教育研究法@1@1,3403028@網路學習@1@1,3403031@成人教育專案管理@1@1,3403040@高齡教育學@1@1,3403100@成人教育生涯定向@1@1,3403013@比較成人教育@2@1,3403033@成人教育行政與組織管理@2@1,3403034@成人教育社會學@2@1,3403036@數位教材設計與製作@2@1,3404013@成人教育史哲@1@1
402710001,80,86,94,85,86,90,85,82,86,84,NaN,84,NaN,NaN,76,85,NaN,89,NaN,84,79,77,NaN,82,NaN,NaN,NaN,90,95,86,73,87,86,89,91,78,86,NaN,88
402710003,81,90,89,87,NaN,90,83,91,NaN,80,NaN,77,NaN,NaN,85,85,NaN,90,86,NaN,81,74,-1,NaN,88,NaN,90,-1,86,88,74,66,92,65,93,75,88,NaN,92
402710005,87,86,91,90,87,90,90,86,87,85,NaN,86,NaN,NaN,88,86,79,88,93,NaN,91,77,NaN,NaN,91,NaN,90,93,93,85,78,86,92,90,92,84,89,NaN,92
402710006,77,86,87,87,NaN,NaN,85,60,NaN,81,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402710007,85,87,87,88,88,90,81,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402710008,78,90,84,92,90,NaN,86,70,81,82,90,67,NaN,NaN,80,72,NaN,80,NaN,NaN,90,83,NaN,78,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402710009,92,93,89,92,92,90,87,92,86,86,NaN,85,90,NaN,83,89,82,85,91,NaN,91,79,NaN,96,90,NaN,89,-1,90,86,76,87,94,92,92,90,92,NaN,91
402710010,87,88,91,88,75,NaN,88,84,91,84,90,85,NaN,89,89,88,87,92,NaN,NaN,92,79,NaN,NaN,92,NaN,92,NaN,90,90,80,NaN,88,91,93,80,90,NaN,92
402710011,90,88,87,90,NaN,90,89,89,87,88,NaN,89,88,NaN,90,83,NaN,90,NaN,NaN,94,81,NaN,NaN,92,NaN,89,92,93,87,80,88,94,92,92,90,91,NaN,93
402710012,91,90,96,88,90,NaN,94,94,91,88,90,91,89,NaN,93,84,89,94,NaN,NaN,93,81,NaN,NaN,90,NaN,89,96,95,89,76,NaN,92,90,93,93,94,NaN,92
