id,3401014@成人心理@1@1,3401020@口語傳播@1@1,3401031@成人教育生涯探索@1@1,3401101@成人教育導論@1@1,3401888@學系服務學習@1@1,3402026@成人教育行銷@1@1,3402524@教育傳播與科技@1@1,3401016@創造力發展@2@1,3401017@成人學習@2@1,3401019@成人教育英文名著導讀@2@1,3401022@社區資源開發@2@1,3401023@人力資源發展與管理@2@1,3401888@學系服務學習@2@1,3402009@成人教育方案規劃@2@1,3402230@老人健康保健@2@1
405710001,87,94,94,91,92,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,NaN
405710002,88,89,93,91,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN
405710003,86,89,89,91,95,NaN,80,-1,-1,NaN,-1,-1,NaN,-1,NaN
405710004,91,90,93,90,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN
405710005,87,90,92,89,93,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1
405710006,84,91,87,90,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,-1,-1
405710007,85,91,86,90,83,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN
405710008,81,90,90,90,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,-1,NaN
405710009,89,91,93,92,89,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1
405710010,84,86,87,88,NaN,NaN,82,-1,-1,NaN,-1,-1,-1,-1,NaN
405710011,87,90,86,88,91,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN
405710012,82,92,90,91,NaN,NaN,82,-1,-1,NaN,-1,-1,-1,-1,NaN
405710013,78,90,88,87,91,NaN,82,-1,-1,NaN,-1,-1,NaN,-1,NaN
405710014,86,88,89,88,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN
405710015,86,90,91,88,93,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,-1
405710016,88,94,91,90,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,-1,NaN
405710017,67,90,92,89,88,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,-1
405710018,83,93,88,92,NaN,89,NaN,-1,-1,NaN,NaN,-1,-1,-1,NaN
405710019,81,89,86,89,92,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1
405710020,73,89,88,90,NaN,NaN,81,-1,-1,NaN,-1,-1,-1,-1,NaN
405710022,67,88,85,89,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN
405710023,86,89,90,90,92,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,-1
405710024,82,70,83,90,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,-1,NaN
405710025,79,89,87,90,92,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN
405710026,89,90,85,88,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,-1,NaN
405710027,82,90,91,87,93,NaN,90,-1,-1,NaN,NaN,-1,NaN,-1,NaN
405710028,81,89,90,88,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,-1,NaN
405710029,67,86,81,89,69,NaN,79,-1,-1,NaN,NaN,-1,NaN,-1,NaN
405710031,81,90,85,92,92,NaN,81,-1,-1,NaN,NaN,-1,NaN,-1,NaN
405710032,82,90,91,90,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN
405710033,85,90,83,89,90,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN
