id,3405068@成人發展與老化研究@2@1,3405076@成人教育方案規劃研究@2@1,3405005@教育研究方法（上）@1@1,3405604@非營利組織經營與管理研究@1@1,3405703@人力資源發展與管理研究@1@1,3405902@創造力發展研究@1@1,3406206@中高齡學習專題研究：性別觀點@1@1,3405004@教育研究法（下）@2@1,3405061@多變量分析@2@1,3405108@教育訓練與發展研究@2@1,3405118@成人教育行銷研究@2@1,3405231@比較成人教育研究@2@1,3405284@網路學習研究@2@1,3405605@組織學習研究@2@1,3405008@質性教育研究法@1@1,3405019@教育研究法（上）@1@1,3405020@成人與高齡教育學研究@1@1,3405056@教育統計及電子計算機應用@1@1,3405113@成人教學研究@1@1,3406107@成人教育實習@1@1,3407402@成人教育社會學專題研究@1@1,3408112@成人教育哲學思想專題研究@1@1,3405021@教育研究法(下)@2@1,3408206@高齡教育與相關產業研究@2@1,3405189@成人諮商與輔導研究@2@1
601710005,90,92,91,92,NaN,NaN,90,92,NaN,NaN,90,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,92,89,NaN,NaN,NaN,NaN
601710002,NaN,NaN,91,NaN,90,94,NaN,92,93,NaN,NaN,93,NaN,90,NaN,NaN,NaN,95,NaN,90,92,NaN,NaN,NaN,NaN
601710003,NaN,NaN,87,92,NaN,92,NaN,89,NaN,NaN,89,89,NaN,NaN,87,NaN,NaN,NaN,NaN,88,NaN,85,NaN,NaN,NaN
601710004,NaN,88,88,NaN,89,91,88,90,NaN,93,NaN,91,NaN,NaN,NaN,NaN,NaN,93,NaN,90,87,NaN,NaN,88,NaN
601710008,NaN,88,88,NaN,90,93,87,87,NaN,NaN,89,89,NaN,NaN,86,NaN,NaN,NaN,NaN,89,87,NaN,NaN,90,NaN
601710009,NaN,88,88,90,92,90,NaN,87,NaN,89,NaN,91,NaN,91,NaN,NaN,NaN,94,NaN,89,86,NaN,NaN,NaN,NaN
601710010,NaN,89,86,NaN,88,NaN,87,87,NaN,88,88,NaN,NaN,91,NaN,NaN,NaN,89,NaN,83,87,86,NaN,NaN,NaN
601710011,NaN,91,90,93,NaN,90,88,90,NaN,91,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,94,89,89,NaN,90,NaN
601710012,NaN,NaN,90,92,90,90,NaN,90,NaN,90,89,93,NaN,92,92,NaN,NaN,NaN,NaN,90,89,NaN,NaN,NaN,NaN
601710013,NaN,NaN,87,NaN,89,90,NaN,88,NaN,88,89,91,NaN,NaN,86,NaN,NaN,95,NaN,93,NaN,87,NaN,88,NaN
601710015,82,88,NaN,90,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,71,NaN,85,81,88,NaN,NaN,89,NaN,NaN,86,87,NaN
601710001,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601710014,NaN,89,NaN,90,91,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,88,91,90,48,88,90,88,NaN,88,89,87
