id,3405019@教育研究法（上）@1@1,3405020@成人與高齡教育學研究@1@1,3405113@成人教學研究@1@1,3405604@非營利組織經營與管理研究@1@1,3405902@創造力發展研究@1@1,3405021@教育研究法(下)@2@1,3405252@社區教育研究@2@1,3405259@成人教育行政與組織管理研究@2@1,3405275@成人與高齡教育方案規劃研究@2@1,3405276@教育訓練與發展研究@2@1,3405277@專案管理研究@2@1,3405008@質性教育研究法@1@1,3405056@教育統計及電子計算機應用@1@1,3405404@終身學習研究@1@1,3406107@成人教育實習@1@1,3407182@成人學習理論專題研究@1@1,3407402@成人教育社會學專題研究@1@1,3408206@高齡教育與相關產業研究@1@1,3405053@高等統計學@2@1,3405068@成人發展與老化研究@2@1,3405189@成人諮商與輔導研究@2@1,3405231@比較成人教育研究@2@1,3405288@數位教材設計研究@2@1,3406204@組織學習研究@2@1
604710001,91,87,89,NaN,86,93,NaN,NaN,92,92,92,NaN,86,NaN,88,85,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
604710003,88,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604710005,91,87,NaN,NaN,88,93,NaN,NaN,92,92,92,84,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN
604710006,90,87,89,NaN,86,90,88,NaN,NaN,NaN,NaN,NaN,87,NaN,89,88,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
604710009,89,87,NaN,NaN,89,90,NaN,NaN,90,90,90,NaN,83,NaN,90,87,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
604710011,88,87,NaN,91,NaN,87,NaN,88,89,89,89,NaN,86,NaN,90,88,NaN,90,-1,NaN,NaN,NaN,NaN,NaN
604710013,92,89,89,NaN,NaN,90,NaN,NaN,90,90,90,NaN,80,NaN,88,87,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
604710014,89,81,NaN,NaN,87,87,90,NaN,NaN,NaN,NaN,NaN,88,89,91,NaN,90,92,NaN,NaN,NaN,NaN,NaN,-1
604710015,91,90,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,78,90,92,87,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
604710018,90,86,NaN,NaN,86,87,88,NaN,NaN,NaN,NaN,92,NaN,NaN,90,NaN,88,86,NaN,NaN,-1,-1,NaN,NaN
604710002,90,89,NaN,NaN,89,-1,NaN,NaN,92,92,92,NaN,NaN,89,92,NaN,NaN,89,-1,NaN,NaN,NaN,NaN,-1
604710004,90,88,NaN,NaN,90,-1,NaN,NaN,93,93,93,NaN,NaN,91,92,NaN,NaN,89,-1,NaN,NaN,NaN,NaN,-1
