id,3405019@教育研究法（上）@1@1,3405020@成人與高齡教育學研究@1@1,3405902@創造力發展研究@1@1,3406206@中高齡學習專題研究：性別觀點@1@1,3408207@高齡健康與照護政策研究@1@1,3405021@教育研究法(下)@2@1,3405068@成人發展與老化研究@2@1,3405218@成人教育行銷研究@2@1,3405252@社區教育研究@2@1,3405259@成人教育行政與組織管理研究@2@1,3405275@成人與高齡教育方案規劃研究@2@1,3405278@成人與高齡教育方案評鑑研究@2@1,3405288@數位教材設計研究@2@1
605710002,86,85,88,NaN,90,-1,NaN,-1,NaN,-1,-1,-1,NaN
605710003,88,88,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1
605710004,89,85,NaN,89,NaN,-1,-1,-1,NaN,NaN,-1,-1,NaN
605710007,85,80,91,NaN,88,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
605710008,87,83,91,NaN,88,-1,-1,-1,-1,NaN,-1,-1,NaN
605710009,87,81,86,NaN,86,-1,-1,-1,-1,NaN,-1,-1,NaN
605710010,90,90,95,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN
605710011,87,89,92,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN
605710012,85,80,85,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,NaN
605710013,87,89,92,NaN,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN
605710014,86,83,NaN,88,NaN,-1,NaN,-1,NaN,NaN,-1,-1,-1
605710016,86,86,NaN,88,NaN,-1,NaN,-1,-1,NaN,-1,-1,-1
