id,3405061@多變量分析@2@1,3405076@成人教育方案規劃研究@2@1,3405118@成人教育行銷研究@2@1,3405284@網路學習研究@2@1,3405605@組織學習研究@2@1,3405019@教育研究法（上）@1@1,3405020@成人與高齡教育學研究@1@1,3405113@成人教學研究@1@1,3405703@人力資源發展與管理研究@1@1,3405902@創造力發展研究@1@1,3406107@成人教育實習@1@1,3408112@成人教育哲學思想專題研究@1@1,3405021@教育研究法(下)@2@1,3405053@高等統計學@2@1,3405288@數位教材設計研究@2@1,3408206@高齡教育與相關產業研究@2@1,3405008@質性教育研究法@1@1,3405030@成人與高齡教育學研究（一）@1@1,3405031@成人與高齡教育學研究（二）@1@1,3405056@教育統計及電子計算機應用@1@1,3405404@終身學習研究@1@1,3405604@非營利組織經營與管理研究@1@1,3406206@中高齡學習專題研究：性別觀點@1@1,3407182@成人學習理論專題研究@1@1,3405068@成人發展與老化研究@2@1,3405189@成人諮商與輔導研究@2@1,3406204@組織學習研究@2@1,3407402@成人教育社會學專題研究@1@1,3405252@社區教育研究@2@1,3405276@教育訓練與發展研究@2@1
602710001,90,88,91,NaN,91,84,88,NaN,92,NaN,82,NaN,87,NaN,75,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602710005,NaN,75,90,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602710002,NaN,NaN,NaN,NaN,NaN,89,85,NaN,89,NaN,87,84,89,NaN,86,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,88,NaN,NaN,NaN,NaN
602710003,NaN,90,90,NaN,91,94,93,NaN,92,91,90,NaN,94,NaN,NaN,NaN,92,NaN,NaN,NaN,92,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
602710004,NaN,91,NaN,NaN,93,94,89,92,NaN,91,96,90,92,NaN,NaN,NaN,92,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602710006,NaN,90,NaN,NaN,94,91,90,89,NaN,92,90,NaN,90,88,NaN,NaN,91,NaN,NaN,NaN,93,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
602710007,NaN,92,89,NaN,NaN,91,92,NaN,NaN,NaN,90,NaN,90,88,88,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
602710008,NaN,88,90,NaN,90,86,87,89,NaN,NaN,92,NaN,88,NaN,NaN,91,85,NaN,NaN,NaN,NaN,NaN,85,NaN,87,NaN,NaN,NaN,NaN,NaN
602710009,NaN,NaN,89,NaN,92,89,89,NaN,NaN,90,90,NaN,90,NaN,85,NaN,NaN,NaN,NaN,70,92,92,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN
602710011,NaN,88,88,NaN,90,92,90,NaN,NaN,NaN,90,87,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,87,NaN,NaN,NaN,92
602710013,NaN,90,88,NaN,92,90,88,89,NaN,90,93,NaN,89,NaN,85,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN
602710012,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,94,NaN,90,NaN,NaN,NaN,91,93,90,NaN,NaN,92,NaN,NaN,NaN,90,93,92,89,NaN
